compound,name,negative,neutral,positive,ticker
0.9979,REBGLO,0.015,0.902,0.083,CUZ
0.9984,REBGLO,0.03,0.883,0.087,CUZ
0.9956,REBGLO,0.017,0.912,0.072,CUZ
0.9909,REBGLO,0.033,0.827,0.14,CUZ
0.9982,REBGLO,0.067,0.854,0.079,CUZ
-0.9999,REBGLO,0.12,0.792,0.088,CUZ
-0.9999,REBGLO,0.106,0.813,0.082,CUZ
0.9991,REBGLO,0.023,0.773,0.204,CUZ
0.9992,REBGLO,0.042,0.856,0.102,CUZ
0.8445,REBGLO,0.066,0.776,0.158,CUZ
0.9354,REBGLO,0.074,0.786,0.141,CUZ
0.9572,REBGLO,0.043,0.792,0.164,CUZ
0.9903,REBGLO,0.067,0.702,0.231,CUZ
-0.9854,REBGLO,0.11,0.803,0.087,CUZ
0.9997,REBGLO,0.021,0.863,0.116,CUZ
0.9992,REBGLO,0.042,0.857,0.101,CUZ
0.9994,REBGLO,0.075,0.839,0.085,CUZ
0.9981,REBGLO,0.013,0.855,0.132,CUZ
