compound,name,negative,neutral,positive,ticker
0.7964,REBGLO,0.023,0.915,0.062,DAN
-0.9438,REBGLO,0.046,0.938,0.015,DAN
0.9671,REBGLO,0.052,0.851,0.097,DAN
0.7269,REBGLO,0.035,0.903,0.063,DAN
0.7345,REBGLO,0.0,0.869,0.131,DAN
0.9451,REBGLO,0.057,0.824,0.119,DAN
0.7345,REBGLO,0.0,0.872,0.128,DAN
0.4602,REBGLO,0.066,0.863,0.07,DAN
-0.1476,REBGLO,0.056,0.891,0.053,DAN
0.9922,REBGLO,0.056,0.845,0.099,DAN
-0.1476,REBGLO,0.056,0.891,0.053,DAN
0.9671,REBGLO,0.052,0.851,0.097,DAN
0.0015,REBGLO,0.071,0.87,0.06,DAN
0.6908,REBGLO,0.0,0.759,0.241,DAN
0.9922,REBGLO,0.004,0.869,0.127,DAN
0.7345,REBGLO,0.0,0.872,0.128,DAN
0.9983,REBGLO,0.005,0.857,0.138,DAN
-0.9997,REBGLO,0.064,0.897,0.038,DAN
0.9907,REBGLO,0.024,0.919,0.057,DAN
0.7184,REBGLO,0.006,0.982,0.012,DAN
-0.7334,REBGLO,0.058,0.894,0.048,DAN
0.3612,REBGLO,0.008,0.975,0.017,DAN
-0.9614,REBGLO,0.11,0.801,0.089,DAN
0.9998,REBGLO,0.056,0.849,0.095,DAN
0.9923,REBGLO,0.013,0.862,0.125,DAN
0.9998,REBGLO,0.035,0.842,0.123,DAN
0.9878,REBGLO,0.024,0.848,0.128,DAN
0.1779,REBGLO,0.0,0.941,0.059,DAN
0.9563,REBGLO,0.014,0.881,0.105,DAN
-0.8724,REBGLO,0.133,0.761,0.106,DAN
0.9981,REBGLO,0.015,0.95,0.035,DAN
-0.9873,REBGLO,0.112,0.83,0.058,DAN
0.9776,REBGLO,0.006,0.924,0.07,DAN
0.9368,REBGLO,0.016,0.884,0.101,DAN
0.7121,REBGLO,0.0,0.99,0.01,DAN
0.8398,REBGLO,0.048,0.81,0.141,DAN
0.8271,REBGLO,0.054,0.794,0.152,DAN
0.8271,REBGLO,0.046,0.825,0.129,DAN
0.5803,REBGLO,0.024,0.941,0.035,DAN
0.8617,REBGLO,0.0,0.903,0.097,DAN
0.6523,REBGLO,0.011,0.967,0.022,DAN
0.998,REBGLO,0.026,0.856,0.117,DAN
0.9953,REBGLO,0.015,0.89,0.096,DAN
0.6523,REBGLO,0.011,0.967,0.022,DAN
0.9023,REBGLO,0.058,0.858,0.084,DAN
0.9965,REBGLO,0.005,0.909,0.086,DAN
0.9998,REBGLO,0.035,0.841,0.123,DAN
0.9971,REBGLO,0.045,0.865,0.091,DAN
0.9844,REBGLO,0.028,0.848,0.123,DAN
0.7345,REBGLO,0.0,0.872,0.128,DAN
-0.9009,REBGLO,0.043,0.934,0.023,DAN
0.128,REBGLO,0.022,0.963,0.015,DAN
0.9837,REBGLO,0.021,0.901,0.078,DAN
0.9998,REBGLO,0.036,0.814,0.15,DAN
1.0,REBGLO,0.025,0.774,0.201,DAN
-0.4019,REBGLO,0.016,0.984,0.0,DAN
-0.4939,REBGLO,0.04,0.948,0.012,DAN
0.9712,REBGLO,0.093,0.794,0.113,DAN
-0.9998,REBGLO,0.109,0.801,0.091,DAN
-0.9893,REBGLO,0.099,0.807,0.094,DAN
-0.9893,REBGLO,0.099,0.807,0.094,DAN
0.3182,REBGLO,0.0,0.987,0.013,DAN
0.7621,REBGLO,0.115,0.765,0.12,DAN
0.9972,REBGLO,0.068,0.767,0.165,DAN
0.9629,REBGLO,0.043,0.754,0.203,DAN
0.8791,REBGLO,0.036,0.841,0.123,DAN
0.9763,REBGLO,0.019,0.92,0.061,DAN
0.9999,REBGLO,0.024,0.867,0.109,DAN
-0.9626,REBGLO,0.095,0.892,0.013,DAN
-0.755,REBGLO,0.084,0.888,0.028,DAN
0.98,REBGLO,0.028,0.878,0.094,DAN
-0.9998,REBGLO,0.109,0.801,0.091,DAN
-0.9419,REBGLO,0.105,0.878,0.017,DAN
0.6662,REBGLO,0.0,0.98,0.02,DAN
0.9998,REBGLO,0.035,0.842,0.123,DAN
0.9843,REBGLO,0.003,0.891,0.107,DAN
0.7345,REBGLO,0.0,0.872,0.128,DAN
0.9832,REBGLO,0.049,0.886,0.064,DAN
0.9928,REBGLO,0.035,0.792,0.173,DAN
