compound,name,negative,neutral,positive,ticker
1.0,REBGLO,0.014,0.782,0.205,DCT
0.7262,REBGLO,0.079,0.808,0.113,DCT
0.9635,REBGLO,0.074,0.767,0.158,DCT
0.9937,REBGLO,0.046,0.84,0.113,DCT
0.6428,REBGLO,0.045,0.863,0.092,DCT
0.8957,REBGLO,0.057,0.752,0.191,DCT
0.9826,REBGLO,0.061,0.809,0.13,DCT
0.9811,REBGLO,0.053,0.837,0.11,DCT
0.8609,REBGLO,0.057,0.836,0.106,DCT
0.9935,REBGLO,0.037,0.866,0.097,DCT
-0.9725,REBGLO,0.156,0.782,0.061,DCT
0.9965,REBGLO,0.003,0.883,0.114,DCT
0.0991,REBGLO,0.039,0.926,0.034,DCT
0.9997,REBGLO,0.033,0.803,0.164,DCT
0.9997,REBGLO,0.033,0.803,0.164,DCT
-0.9806,REBGLO,0.134,0.786,0.08,DCT
0.9174,REBGLO,0.05,0.782,0.168,DCT
0.1441,REBGLO,0.182,0.637,0.18,DCT
0.5061,REBGLO,0.098,0.803,0.099,DCT
0.8689,REBGLO,0.033,0.864,0.102,DCT
-0.9608,REBGLO,0.143,0.78,0.077,DCT
0.9865,REBGLO,0.015,0.839,0.146,DCT
1.0,REBGLO,0.054,0.795,0.151,DCT
0.98,REBGLO,0.032,0.871,0.097,DCT
0.9832,REBGLO,0.028,0.87,0.102,DCT
0.805,REBGLO,0.066,0.722,0.212,DCT
0.9468,REBGLO,0.051,0.795,0.154,DCT
0.9469,REBGLO,0.042,0.862,0.096,DCT
0.9832,REBGLO,0.028,0.87,0.102,DCT
0.8555,REBGLO,0.0,0.778,0.222,DCT
0.3498,REBGLO,0.082,0.811,0.108,DCT
0.9982,REBGLO,0.067,0.854,0.079,DCT
0.9812,REBGLO,0.041,0.796,0.163,DCT
-0.413,REBGLO,0.068,0.892,0.039,DCT
0.2114,REBGLO,0.093,0.823,0.084,DCT
-0.9074,REBGLO,0.124,0.776,0.1,DCT
0.9958,REBGLO,0.007,0.843,0.15,DCT
-0.9999,REBGLO,0.139,0.774,0.086,DCT
-0.5719,REBGLO,0.017,0.978,0.005,DCT
0.9909,REBGLO,0.025,0.791,0.184,DCT
0.9924,REBGLO,0.015,0.827,0.158,DCT
-0.0258,REBGLO,0.056,0.883,0.061,DCT
0.966,REBGLO,0.02,0.801,0.179,DCT
0.9599,REBGLO,0.018,0.864,0.118,DCT
0.9979,REBGLO,0.061,0.814,0.126,DCT
0.8625,REBGLO,0.094,0.77,0.136,DCT
0.9957,REBGLO,0.005,0.828,0.166,DCT
0.9999,REBGLO,0.032,0.843,0.125,DCT
-0.2268,REBGLO,0.079,0.852,0.07,DCT
-0.9794,REBGLO,0.202,0.749,0.049,DCT
0.978,REBGLO,0.047,0.803,0.15,DCT
0.9423,REBGLO,0.075,0.823,0.102,DCT
0.9992,REBGLO,0.031,0.827,0.142,DCT
0.9081,REBGLO,0.058,0.85,0.093,DCT
0.9313,REBGLO,0.061,0.842,0.097,DCT
0.9313,REBGLO,0.061,0.842,0.097,DCT
0.9832,REBGLO,0.028,0.87,0.102,DCT
0.9989,REBGLO,0.047,0.786,0.167,DCT
0.0638,REBGLO,0.054,0.897,0.049,DCT
0.9313,REBGLO,0.061,0.842,0.097,DCT
0.6111,REBGLO,0.057,0.873,0.071,DCT
0.8791,REBGLO,0.059,0.846,0.095,DCT
0.9971,REBGLO,0.045,0.865,0.091,DCT
0.985,REBGLO,0.047,0.832,0.122,DCT
0.7291,REBGLO,0.084,0.78,0.136,DCT
0.8989,REBGLO,0.071,0.828,0.101,DCT
0.992,REBGLO,0.043,0.879,0.077,DCT
0.9989,REBGLO,0.047,0.786,0.167,DCT
0.9985,REBGLO,0.022,0.843,0.135,DCT
-0.9433,REBGLO,0.203,0.664,0.133,DCT
0.9959,REBGLO,0.036,0.878,0.087,DCT
0.9146,REBGLO,0.037,0.802,0.16,DCT
0.4105,REBGLO,0.053,0.889,0.058,DCT
0.9468,REBGLO,0.051,0.795,0.154,DCT
0.9992,REBGLO,0.049,0.747,0.204,DCT
-0.9984,REBGLO,0.133,0.756,0.111,DCT
0.8993,REBGLO,0.0,0.775,0.225,DCT
0.9998,REBGLO,0.021,0.822,0.157,DCT
0.896,REBGLO,0.015,0.879,0.106,DCT
0.9677,REBGLO,0.022,0.841,0.137,DCT
0.9995,REBGLO,0.007,0.877,0.116,DCT
-0.7789,REBGLO,0.037,0.945,0.018,DCT
-0.3963,REBGLO,0.088,0.821,0.091,DCT
0.9936,REBGLO,0.066,0.844,0.089,DCT
-0.9881,REBGLO,0.244,0.719,0.037,DCT
0.7225,REBGLO,0.077,0.832,0.091,DCT
-0.1779,REBGLO,0.066,0.934,0.0,DCT
0.6121,REBGLO,0.076,0.823,0.101,DCT
-0.9243,REBGLO,0.193,0.703,0.104,DCT
