compound,name,negative,neutral,positive,ticker
0.4824,REBGLO,0.015,0.965,0.02,DEAL
0.4824,REBGLO,0.015,0.965,0.02,DEAL
0.368,REBGLO,0.01,0.976,0.014,DEAL
0.9473,REBGLO,0.025,0.911,0.064,DEAL
0.875,REBGLO,0.071,0.852,0.076,DEAL
0.9972,REBGLO,0.022,0.895,0.083,DEAL
0.9996,REBGLO,0.074,0.817,0.109,DEAL
-0.8978,REBGLO,0.057,0.924,0.018,DEAL
0.9974,REBGLO,0.005,0.837,0.158,DEAL
-0.7096,REBGLO,0.018,0.978,0.004,DEAL
-0.5719,REBGLO,0.017,0.978,0.005,DEAL
0.0772,REBGLO,0.012,0.976,0.012,DEAL
0.2023,REBGLO,0.011,0.977,0.013,DEAL
-0.4939,REBGLO,0.017,0.974,0.009,DEAL
-0.0772,REBGLO,0.005,0.991,0.004,DEAL
0.9945,REBGLO,0.026,0.886,0.087,DEAL
0.34,REBGLO,0.0,0.982,0.018,DEAL
0.0857,REBGLO,0.015,0.972,0.013,DEAL
-0.0943,REBGLO,0.02,0.963,0.017,DEAL
0.5622,REBGLO,0.013,0.966,0.021,DEAL
-0.3612,REBGLO,0.011,0.985,0.005,DEAL
-0.7964,REBGLO,0.027,0.968,0.005,DEAL
-0.3612,REBGLO,0.012,0.982,0.005,DEAL
-0.5719,REBGLO,0.018,0.977,0.005,DEAL
-0.3612,REBGLO,0.01,0.985,0.005,DEAL
0.9994,REBGLO,0.009,0.938,0.053,DEAL
0.9711,REBGLO,0.03,0.874,0.096,DEAL
0.9893,REBGLO,0.016,0.913,0.071,DEAL
-0.5493,REBGLO,0.048,0.916,0.036,DEAL
0.9957,REBGLO,0.011,0.833,0.156,DEAL
-0.2263,REBGLO,0.015,0.974,0.011,DEAL
0.5994,REBGLO,0.01,0.971,0.019,DEAL
-0.7096,REBGLO,0.02,0.975,0.004,DEAL
0.34,REBGLO,0.015,0.967,0.018,DEAL
0.8481,REBGLO,0.0,0.977,0.023,DEAL
-0.2263,REBGLO,0.016,0.972,0.012,DEAL
0.4019,REBGLO,0.009,0.978,0.013,DEAL
0.7717,REBGLO,0.005,0.974,0.021,DEAL
0.9992,REBGLO,0.041,0.827,0.131,DEAL
0.9914,REBGLO,0.014,0.872,0.113,DEAL
0.9775,REBGLO,0.03,0.909,0.061,DEAL
0.3612,REBGLO,0.006,0.982,0.012,DEAL
0.4939,REBGLO,0.016,0.964,0.021,DEAL
0.2023,REBGLO,0.015,0.964,0.021,DEAL
-0.7096,REBGLO,0.03,0.963,0.006,DEAL
-0.5719,REBGLO,0.023,0.97,0.007,DEAL
-0.7096,REBGLO,0.025,0.969,0.005,DEAL
-0.5719,REBGLO,0.021,0.973,0.006,DEAL
-0.1027,REBGLO,0.02,0.962,0.018,DEAL
-0.7964,REBGLO,0.036,0.958,0.006,DEAL
0.7456,REBGLO,0.01,0.967,0.023,DEAL
-0.2263,REBGLO,0.024,0.96,0.017,DEAL
0.4824,REBGLO,0.014,0.967,0.019,DEAL
0.7125,REBGLO,0.015,0.959,0.026,DEAL
1.0,REBGLO,0.014,0.782,0.205,DEAL
1.0,REBGLO,0.017,0.825,0.158,DEAL
-1.0,REBGLO,0.153,0.766,0.081,DEAL
0.9993,REBGLO,0.021,0.886,0.092,DEAL
1.0,REBGLO,0.065,0.821,0.114,DEAL
0.9999,REBGLO,0.044,0.829,0.127,DEAL
0.3818,REBGLO,0.063,0.84,0.097,DEAL
0.4205,REBGLO,0.04,0.884,0.076,DEAL
0.2263,REBGLO,0.0,0.99,0.01,DEAL
0.9985,REBGLO,0.033,0.752,0.214,DEAL
0.87,REBGLO,0.005,0.969,0.026,DEAL
0.368,REBGLO,0.01,0.977,0.013,DEAL
0.981,REBGLO,0.02,0.915,0.065,DEAL
-0.0173,REBGLO,0.02,0.962,0.018,DEAL
0.0857,REBGLO,0.014,0.973,0.013,DEAL
0.368,REBGLO,0.01,0.977,0.013,DEAL
-0.3612,REBGLO,0.016,0.977,0.007,DEAL
-0.0772,REBGLO,0.007,0.986,0.006,DEAL
0.368,REBGLO,0.01,0.977,0.013,DEAL
-0.0688,REBGLO,0.022,0.96,0.018,DEAL
0.3612,REBGLO,0.007,0.979,0.014,DEAL
0.2263,REBGLO,0.0,0.993,0.007,DEAL
0.3612,REBGLO,0.008,0.975,0.017,DEAL
-0.765,REBGLO,0.03,0.96,0.009,DEAL
-0.2263,REBGLO,0.017,0.97,0.012,DEAL
-0.5514,REBGLO,0.173,0.763,0.064,DEAL
-0.7096,REBGLO,0.032,0.961,0.007,DEAL
0.9968,REBGLO,0.0,0.814,0.186,DEAL
0.0772,REBGLO,0.015,0.969,0.016,DEAL
-0.5719,REBGLO,0.021,0.973,0.006,DEAL
-0.8271,REBGLO,0.047,0.938,0.014,DEAL
-0.25,REBGLO,0.014,0.975,0.011,DEAL
0.7125,REBGLO,0.014,0.962,0.024,DEAL
0.8286,REBGLO,0.0,0.981,0.019,DEAL
0.2023,REBGLO,0.014,0.965,0.02,DEAL
0.5719,REBGLO,0.0,0.983,0.017,DEAL
0.5719,REBGLO,0.0,0.984,0.016,DEAL
0.9792,REBGLO,0.014,0.872,0.114,DEAL
-0.0772,REBGLO,0.007,0.986,0.006,DEAL
0.6369,REBGLO,0.0,0.983,0.017,DEAL
0.9837,REBGLO,0.034,0.876,0.09,DEAL
-0.5719,REBGLO,0.018,0.976,0.005,DEAL
-0.4939,REBGLO,0.181,0.819,0.0,DEAL
-0.9728,REBGLO,0.266,0.682,0.052,DEAL
0.3612,REBGLO,0.012,0.962,0.026,DEAL
-0.9678,REBGLO,0.274,0.703,0.023,DEAL
