compound,name,negative,neutral,positive,ticker
0.7272,REBGLO,0.044,0.902,0.054,DEC
-0.5493,REBGLO,0.048,0.916,0.036,DEC
0.9745,REBGLO,0.024,0.886,0.09,DEC
0.9794,REBGLO,0.049,0.891,0.06,DEC
0.9844,REBGLO,0.014,0.841,0.145,DEC
0.9811,REBGLO,0.053,0.837,0.11,DEC
0.5719,REBGLO,0.0,0.98,0.02,DEC
0.8843,REBGLO,0.026,0.914,0.06,DEC
-0.9987,REBGLO,0.07,0.879,0.05,DEC
-0.9986,REBGLO,0.071,0.881,0.048,DEC
-0.9981,REBGLO,0.071,0.88,0.049,DEC
-0.999,REBGLO,0.072,0.878,0.05,DEC
-0.9979,REBGLO,0.067,0.886,0.047,DEC
-0.998,REBGLO,0.069,0.883,0.048,DEC
-0.9986,REBGLO,0.066,0.885,0.048,DEC
-0.8204,REBGLO,0.154,0.71,0.135,DEC
0.9385,REBGLO,0.116,0.75,0.134,DEC
0.9974,REBGLO,0.023,0.87,0.107,DEC
0.9979,REBGLO,0.005,0.978,0.017,DEC
-0.8516,REBGLO,0.044,0.932,0.024,DEC
-0.9965,REBGLO,0.08,0.866,0.054,DEC
-0.997,REBGLO,0.078,0.866,0.057,DEC
-0.9517,REBGLO,0.098,0.813,0.089,DEC
0.9796,REBGLO,0.014,0.97,0.016,DEC
-0.9451,REBGLO,0.098,0.812,0.09,DEC
-0.9661,REBGLO,0.1,0.813,0.087,DEC
-0.9678,REBGLO,0.097,0.818,0.085,DEC
0.9923,REBGLO,0.04,0.869,0.09,DEC
0.0772,REBGLO,0.006,0.988,0.006,DEC
-0.1531,REBGLO,0.021,0.962,0.017,DEC
0.7096,REBGLO,0.009,0.97,0.021,DEC
-0.2695,REBGLO,0.007,0.987,0.006,DEC
0.0772,REBGLO,0.002,0.995,0.002,DEC
-0.0772,REBGLO,0.004,0.992,0.004,DEC
-0.6103,REBGLO,0.005,0.991,0.003,DEC
0.1926,REBGLO,0.024,0.95,0.026,DEC
0.9955,REBGLO,0.027,0.908,0.065,DEC
0.9986,REBGLO,0.007,0.924,0.069,DEC
-0.81,REBGLO,0.049,0.923,0.028,DEC
0.3818,REBGLO,0.0,0.963,0.037,DEC
0.9989,REBGLO,0.047,0.786,0.167,DEC
0.9995,REBGLO,0.012,0.929,0.06,DEC
0.9986,REBGLO,0.016,0.853,0.131,DEC
0.872,REBGLO,0.104,0.75,0.146,DEC
0.872,REBGLO,0.108,0.74,0.152,DEC
0.6908,REBGLO,0.109,0.753,0.138,DEC
0.9894,REBGLO,0.012,0.805,0.183,DEC
0.9904,REBGLO,0.0,0.777,0.223,DEC
0.9456,REBGLO,0.02,0.929,0.051,DEC
0.9456,REBGLO,0.02,0.929,0.051,DEC
0.8992,REBGLO,0.019,0.934,0.047,DEC
-0.9455,REBGLO,0.114,0.8,0.087,DEC
0.8729,REBGLO,0.085,0.803,0.112,DEC
0.9595,REBGLO,0.056,0.853,0.091,DEC
-0.9015,REBGLO,0.17,0.83,0.0,DEC
0.9989,REBGLO,0.047,0.786,0.167,DEC
-0.9739,REBGLO,0.082,0.837,0.081,DEC
0.9785,REBGLO,0.025,0.944,0.031,DEC
0.9997,REBGLO,0.063,0.801,0.136,DEC
0.7059,REBGLO,0.072,0.849,0.078,DEC
0.9287,REBGLO,0.084,0.773,0.143,DEC
-0.9888,REBGLO,0.098,0.807,0.095,DEC
0.8924,REBGLO,0.021,0.933,0.046,DEC
0.9436,REBGLO,0.009,0.921,0.069,DEC
0.9974,REBGLO,0.013,0.867,0.121,DEC
0.9992,REBGLO,0.002,0.9,0.098,DEC
-0.9998,REBGLO,0.109,0.801,0.091,DEC
0.8286,REBGLO,0.0,0.982,0.018,DEC
0.9485,REBGLO,0.07,0.838,0.092,DEC
0.9912,REBGLO,0.033,0.879,0.088,DEC
0.993,REBGLO,0.031,0.878,0.091,DEC
-0.9998,REBGLO,0.109,0.801,0.091,DEC
0.9212,REBGLO,0.042,0.895,0.063,DEC
0.9922,REBGLO,0.033,0.876,0.091,DEC
0.9912,REBGLO,0.033,0.878,0.089,DEC
