compound,name,negative,neutral,positive,ticker
0.9997,REBGLO,0.027,0.861,0.113,DES
0.6369,REBGLO,0.0,0.867,0.133,DES
0.4849,REBGLO,0.045,0.902,0.053,DES
0.3818,REBGLO,0.063,0.84,0.097,DES
0.4607,REBGLO,0.1,0.778,0.121,DES
0.6908,REBGLO,0.0,0.759,0.241,DES
0.7906,REBGLO,0.0,0.771,0.229,DES
0.9526,REBGLO,0.035,0.828,0.137,DES
0.9993,REBGLO,0.011,0.766,0.223,DES
-0.7964,REBGLO,0.025,0.971,0.004,DES
0.9672,REBGLO,0.031,0.874,0.095,DES
0.8271,REBGLO,0.057,0.835,0.108,DES
0.9647,REBGLO,0.06,0.839,0.101,DES
0.0,REBGLO,0.0,1.0,0.0,DES
-0.989,REBGLO,0.12,0.88,0.0,DES
0.9778,REBGLO,0.071,0.812,0.117,DES
0.9893,REBGLO,0.065,0.818,0.117,DES
0.0,REBGLO,0.0,1.0,0.0,DES
0.9974,REBGLO,0.018,0.877,0.105,DES
0.9974,REBGLO,0.018,0.876,0.105,DES
0.9974,REBGLO,0.019,0.876,0.106,DES
0.9997,REBGLO,0.042,0.865,0.093,DES
-0.6206,REBGLO,0.106,0.801,0.092,DES
0.9812,REBGLO,0.03,0.806,0.164,DES
0.9402,REBGLO,0.01,0.897,0.092,DES
1.0,REBGLO,0.027,0.824,0.149,DES
0.998,REBGLO,0.021,0.84,0.139,DES
0.8271,REBGLO,0.046,0.825,0.129,DES
0.9921,REBGLO,0.0,0.886,0.114,DES
0.9622,REBGLO,0.028,0.815,0.156,DES
1.0,REBGLO,0.025,0.825,0.15,DES
1.0,REBGLO,0.023,0.834,0.143,DES
0.9939,REBGLO,0.03,0.889,0.081,DES
0.9939,REBGLO,0.03,0.889,0.081,DES
0.4939,REBGLO,0.023,0.921,0.056,DES
0.9994,REBGLO,0.008,0.795,0.197,DES
0.9983,REBGLO,0.031,0.803,0.166,DES
0.9937,REBGLO,0.05,0.813,0.137,DES
0.9931,REBGLO,0.048,0.814,0.138,DES
0.9942,REBGLO,0.053,0.802,0.145,DES
0.7271,REBGLO,0.049,0.868,0.083,DES
0.9933,REBGLO,0.017,0.867,0.116,DES
0.9998,REBGLO,0.037,0.865,0.099,DES
0.9637,REBGLO,0.067,0.813,0.12,DES
0.7017,REBGLO,0.0,0.917,0.083,DES
0.9509,REBGLO,0.018,0.905,0.077,DES
0.9941,REBGLO,0.052,0.804,0.145,DES
0.7278,REBGLO,0.034,0.908,0.058,DES
0.7345,REBGLO,0.04,0.887,0.073,DES
-0.8866,REBGLO,0.082,0.854,0.064,DES
