compound,name,negative,neutral,positive,ticker
0.9937,REBGLO,0.046,0.84,0.113,DLT
0.529,REBGLO,0.133,0.72,0.147,DLT
0.9978,REBGLO,0.057,0.819,0.124,DLT
0.9978,REBGLO,0.058,0.817,0.125,DLT
0.9978,REBGLO,0.056,0.822,0.122,DLT
0.9977,REBGLO,0.058,0.819,0.123,DLT
0.9978,REBGLO,0.056,0.822,0.122,DLT
0.9978,REBGLO,0.056,0.821,0.123,DLT
0.0,REBGLO,0.0,1.0,0.0,DLT
0.8647,REBGLO,0.02,0.896,0.085,DLT
0.9324,REBGLO,0.027,0.785,0.188,DLT
0.9849,REBGLO,0.036,0.838,0.126,DLT
0.759,REBGLO,0.13,0.724,0.146,DLT
0.9781,REBGLO,0.045,0.884,0.071,DLT
-0.34,REBGLO,0.108,0.84,0.052,DLT
-0.828,REBGLO,0.129,0.737,0.133,DLT
0.9441,REBGLO,0.117,0.744,0.139,DLT
0.8872,REBGLO,0.063,0.861,0.076,DLT
0.9947,REBGLO,0.014,0.836,0.149,DLT
0.9998,REBGLO,0.056,0.849,0.095,DLT
0.9441,REBGLO,0.117,0.744,0.139,DLT
0.1731,REBGLO,0.059,0.871,0.07,DLT
0.9624,REBGLO,0.06,0.838,0.103,DLT
0.9999,REBGLO,0.032,0.843,0.125,DLT
0.9963,REBGLO,0.015,0.816,0.169,DLT
0.885,REBGLO,0.025,0.927,0.048,DLT
0.9965,REBGLO,0.005,0.909,0.086,DLT
0.9973,REBGLO,0.019,0.823,0.158,DLT
-0.7999,REBGLO,0.14,0.748,0.111,DLT
0.9456,REBGLO,0.02,0.929,0.051,DLT
0.9456,REBGLO,0.02,0.929,0.051,DLT
0.9993,REBGLO,0.037,0.851,0.112,DLT
0.8992,REBGLO,0.019,0.934,0.047,DLT
0.9959,REBGLO,0.018,0.86,0.122,DLT
1.0,REBGLO,0.029,0.784,0.188,DLT
0.9997,REBGLO,0.021,0.863,0.116,DLT
0.8924,REBGLO,0.021,0.933,0.046,DLT
-0.9998,REBGLO,0.099,0.822,0.079,DLT
-0.9998,REBGLO,0.109,0.801,0.091,DLT
0.8723,REBGLO,0.034,0.797,0.168,DLT
-0.9998,REBGLO,0.099,0.822,0.079,DLT
0.9968,REBGLO,0.017,0.864,0.12,DLT
0.9999,REBGLO,0.024,0.867,0.109,DLT
-0.8708,REBGLO,0.077,0.856,0.068,DLT
0.9973,REBGLO,0.03,0.854,0.116,DLT
-0.9998,REBGLO,0.109,0.801,0.091,DLT
