compound,name,negative,neutral,positive,ticker
0.9996,REBGLO,0.074,0.817,0.109,DREAM
0.8696,REBGLO,0.066,0.845,0.089,DREAM
0.4602,REBGLO,0.066,0.863,0.07,DREAM
0.9921,REBGLO,0.012,0.861,0.127,DREAM
0.9971,REBGLO,0.027,0.815,0.157,DREAM
0.9975,REBGLO,0.008,0.831,0.16,DREAM
0.9603,REBGLO,0.021,0.843,0.135,DREAM
0.961,REBGLO,0.028,0.853,0.119,DREAM
0.9761,REBGLO,0.017,0.848,0.135,DREAM
1.0,REBGLO,0.026,0.707,0.267,DREAM
0.999,REBGLO,0.017,0.737,0.247,DREAM
0.999,REBGLO,0.017,0.733,0.25,DREAM
1.0,REBGLO,0.029,0.825,0.146,DREAM
0.9995,REBGLO,0.075,0.812,0.113,DREAM
0.9984,REBGLO,0.046,0.844,0.109,DREAM
0.9997,REBGLO,0.026,0.792,0.182,DREAM
0.9749,REBGLO,0.011,0.84,0.148,DREAM
0.9954,REBGLO,0.028,0.829,0.143,DREAM
0.9856,REBGLO,0.065,0.816,0.119,DREAM
0.9989,REBGLO,0.004,0.75,0.246,DREAM
0.9907,REBGLO,0.024,0.919,0.057,DREAM
0.3612,REBGLO,0.055,0.83,0.115,DREAM
1.0,REBGLO,0.054,0.795,0.151,DREAM
0.9909,REBGLO,0.033,0.827,0.14,DREAM
0.9452,REBGLO,0.035,0.819,0.146,DREAM
0.998,REBGLO,0.011,0.821,0.167,DREAM
0.9751,REBGLO,0.081,0.821,0.098,DREAM
0.9329,REBGLO,0.053,0.805,0.142,DREAM
0.9771,REBGLO,0.072,0.746,0.182,DREAM
0.9998,REBGLO,0.056,0.849,0.095,DREAM
-0.9999,REBGLO,0.12,0.792,0.088,DREAM
0.9511,REBGLO,0.099,0.798,0.103,DREAM
0.2054,REBGLO,0.081,0.84,0.079,DREAM
0.9975,REBGLO,0.048,0.725,0.227,DREAM
0.906,REBGLO,0.0,0.892,0.108,DREAM
0.9987,REBGLO,0.041,0.847,0.112,DREAM
0.9998,REBGLO,0.062,0.781,0.158,DREAM
0.9997,REBGLO,0.042,0.865,0.093,DREAM
0.6869,REBGLO,0.087,0.805,0.109,DREAM
