compound,name,negative,neutral,positive,ticker
-0.9937,REBGLO,0.119,0.821,0.061,DRG
0.9996,REBGLO,0.074,0.817,0.109,DRG
0.9854,REBGLO,0.0,0.883,0.117,DRG
0.9865,REBGLO,0.0,0.85,0.15,DRG
0.9842,REBGLO,0.021,0.79,0.189,DRG
-0.9935,REBGLO,0.129,0.806,0.065,DRG
0.9994,REBGLO,0.009,0.938,0.053,DRG
0.9949,REBGLO,0.005,0.857,0.138,DRG
0.9842,REBGLO,0.022,0.89,0.088,DRG
0.7518,REBGLO,0.074,0.83,0.097,DRG
-0.9937,REBGLO,0.116,0.824,0.06,DRG
-0.6444,REBGLO,0.085,0.831,0.084,DRG
0.9949,REBGLO,0.005,0.855,0.14,DRG
0.7518,REBGLO,0.074,0.83,0.097,DRG
0.9766,REBGLO,0.0,0.822,0.178,DRG
0.9949,REBGLO,0.005,0.855,0.14,DRG
0.0258,REBGLO,0.155,0.68,0.165,DRG
0.0258,REBGLO,0.156,0.678,0.166,DRG
-0.7579,REBGLO,0.153,0.808,0.039,DRG
0.3612,REBGLO,0.018,0.949,0.033,DRG
0.9925,REBGLO,0.023,0.859,0.118,DRG
0.9934,REBGLO,0.026,0.856,0.118,DRG
0.9928,REBGLO,0.022,0.865,0.113,DRG
0.9937,REBGLO,0.018,0.866,0.116,DRG
0.9968,REBGLO,0.009,0.893,0.098,DRG
0.9969,REBGLO,0.009,0.893,0.098,DRG
0.9945,REBGLO,0.015,0.861,0.125,DRG
0.9921,REBGLO,0.007,0.927,0.067,DRG
0.9929,REBGLO,0.007,0.926,0.067,DRG
0.9968,REBGLO,0.009,0.891,0.099,DRG
0.0258,REBGLO,0.153,0.684,0.163,DRG
0.9231,REBGLO,0.013,0.915,0.071,DRG
0.9956,REBGLO,0.005,0.853,0.142,DRG
0.0258,REBGLO,0.154,0.68,0.165,DRG
0.996,REBGLO,0.005,0.902,0.093,DRG
-0.7306,REBGLO,0.058,0.905,0.038,DRG
-0.7306,REBGLO,0.058,0.905,0.038,DRG
0.9921,REBGLO,0.007,0.926,0.067,DRG
1.0,REBGLO,0.026,0.707,0.267,DRG
0.9956,REBGLO,0.005,0.899,0.095,DRG
0.9979,REBGLO,0.015,0.902,0.083,DRG
-0.916,REBGLO,0.074,0.902,0.024,DRG
-0.09,REBGLO,0.153,0.685,0.162,DRG
0.9569,REBGLO,0.031,0.899,0.069,DRG
-0.7306,REBGLO,0.058,0.905,0.038,DRG
0.6705,REBGLO,0.0,0.933,0.067,DRG
-0.8517,REBGLO,0.079,0.874,0.047,DRG
0.9931,REBGLO,0.007,0.922,0.071,DRG
0.9995,REBGLO,0.075,0.812,0.113,DRG
0.9971,REBGLO,0.017,0.823,0.16,DRG
0.9997,REBGLO,0.036,0.842,0.122,DRG
0.4215,REBGLO,0.069,0.827,0.104,DRG
0.5984,REBGLO,0.066,0.85,0.084,DRG
0.0258,REBGLO,0.008,0.984,0.008,DRG
-0.9977,REBGLO,0.091,0.862,0.047,DRG
0.998,REBGLO,0.024,0.848,0.128,DRG
0.9153,REBGLO,0.026,0.909,0.065,DRG
-0.7306,REBGLO,0.058,0.905,0.038,DRG
0.9932,REBGLO,0.028,0.872,0.1,DRG
-0.9857,REBGLO,0.13,0.782,0.088,DRG
-0.5798,REBGLO,0.086,0.826,0.088,DRG
0.9994,REBGLO,0.027,0.86,0.113,DRG
0.9965,REBGLO,0.059,0.827,0.114,DRG
0.9914,REBGLO,0.008,0.913,0.078,DRG
0.949,REBGLO,0.037,0.894,0.069,DRG
-0.9935,REBGLO,0.117,0.819,0.063,DRG
0.9917,REBGLO,0.069,0.815,0.116,DRG
0.9973,REBGLO,0.024,0.866,0.11,DRG
-0.6073,REBGLO,0.116,0.793,0.09,DRG
0.9924,REBGLO,0.029,0.873,0.099,DRG
-0.9857,REBGLO,0.129,0.783,0.088,DRG
0.9231,REBGLO,0.013,0.918,0.069,DRG
0.9803,REBGLO,0.023,0.894,0.083,DRG
1.0,REBGLO,0.054,0.795,0.151,DRG
-0.9857,REBGLO,0.129,0.784,0.087,DRG
0.9984,REBGLO,0.034,0.809,0.157,DRG
0.9904,REBGLO,0.006,0.804,0.189,DRG
-0.8045,REBGLO,0.064,0.899,0.037,DRG
-0.828,REBGLO,0.129,0.737,0.133,DRG
0.9694,REBGLO,0.04,0.864,0.096,DRG
0.9671,REBGLO,0.019,0.91,0.071,DRG
0.9441,REBGLO,0.117,0.744,0.139,DRG
0.9238,REBGLO,0.017,0.914,0.069,DRG
0.9998,REBGLO,0.056,0.849,0.095,DRG
0.9964,REBGLO,0.029,0.881,0.09,DRG
-0.802,REBGLO,0.122,0.833,0.045,DRG
0.9736,REBGLO,0.022,0.904,0.074,DRG
0.9872,REBGLO,0.084,0.808,0.108,DRG
-0.9842,REBGLO,0.112,0.816,0.072,DRG
0.9957,REBGLO,0.02,0.897,0.083,DRG
0.9511,REBGLO,0.099,0.798,0.103,DRG
0.9894,REBGLO,0.041,0.863,0.096,DRG
0.997,REBGLO,0.005,0.902,0.093,DRG
0.9984,REBGLO,0.023,0.824,0.153,DRG
0.4404,REBGLO,0.048,0.896,0.056,DRG
0.9985,REBGLO,0.023,0.823,0.154,DRG
0.9966,REBGLO,0.005,0.904,0.091,DRG
0.9969,REBGLO,0.029,0.878,0.093,DRG
0.9441,REBGLO,0.117,0.744,0.139,DRG
0.9828,REBGLO,0.05,0.856,0.094,DRG
