compound,name,negative,neutral,positive,ticker
0.9972,REBGLO,0.022,0.895,0.083,DTT
0.5424,REBGLO,0.074,0.844,0.082,DTT
0.9905,REBGLO,0.039,0.784,0.177,DTT
0.9326,REBGLO,0.021,0.881,0.097,DTT
-0.6144,REBGLO,0.061,0.885,0.054,DTT
0.296,REBGLO,0.0,0.942,0.058,DTT
0.9968,REBGLO,0.03,0.842,0.129,DTT
0.9826,REBGLO,0.011,0.913,0.076,DTT
0.9893,REBGLO,0.016,0.913,0.071,DTT
0.9444,REBGLO,0.01,0.904,0.086,DTT
0.9992,REBGLO,0.044,0.814,0.142,DTT
0.7269,REBGLO,0.035,0.903,0.063,DTT
0.997,REBGLO,0.0,0.878,0.122,DTT
1.0,REBGLO,0.014,0.782,0.205,DTT
0.9997,REBGLO,0.021,0.851,0.128,DTT
1.0,REBGLO,0.053,0.852,0.094,DTT
1.0,REBGLO,0.065,0.821,0.114,DTT
0.9992,REBGLO,0.035,0.866,0.099,DTT
0.998,REBGLO,0.022,0.821,0.157,DTT
0.9996,REBGLO,0.007,0.853,0.139,DTT
0.9996,REBGLO,0.007,0.853,0.139,DTT
0.998,REBGLO,0.022,0.822,0.157,DTT
0.5424,REBGLO,0.074,0.844,0.082,DTT
-0.1476,REBGLO,0.056,0.891,0.053,DTT
0.9955,REBGLO,0.009,0.889,0.102,DTT
0.6908,REBGLO,0.015,0.937,0.048,DTT
0.7579,REBGLO,0.005,0.96,0.034,DTT
-1.0,REBGLO,0.089,0.883,0.029,DTT
0.9975,REBGLO,0.008,0.831,0.16,DTT
0.9922,REBGLO,0.056,0.845,0.099,DTT
-0.1476,REBGLO,0.056,0.891,0.053,DTT
0.9927,REBGLO,0.025,0.879,0.095,DTT
-0.7973,REBGLO,0.061,0.892,0.047,DTT
0.9851,REBGLO,0.0,0.895,0.105,DTT
0.9775,REBGLO,0.01,0.893,0.097,DTT
0.9784,REBGLO,0.033,0.848,0.119,DTT
-0.6504,REBGLO,0.062,0.883,0.054,DTT
0.9887,REBGLO,0.005,0.884,0.111,DTT
0.7125,REBGLO,0.0,0.986,0.014,DTT
0.9965,REBGLO,0.003,0.883,0.114,DTT
0.9994,REBGLO,0.022,0.855,0.123,DTT
0.9451,REBGLO,0.009,0.894,0.097,DTT
0.9997,REBGLO,0.026,0.792,0.182,DTT
0.9997,REBGLO,0.033,0.803,0.164,DTT
0.9707,REBGLO,0.019,0.922,0.059,DTT
0.9964,REBGLO,0.061,0.829,0.11,DTT
0.9997,REBGLO,0.033,0.803,0.164,DTT
0.9781,REBGLO,0.045,0.884,0.071,DTT
0.5573,REBGLO,0.054,0.881,0.065,DTT
0.9724,REBGLO,0.067,0.834,0.099,DTT
0.9932,REBGLO,0.028,0.872,0.1,DTT
0.9986,REBGLO,0.018,0.802,0.179,DTT
0.9955,REBGLO,0.021,0.877,0.102,DTT
0.998,REBGLO,0.089,0.752,0.16,DTT
0.995,REBGLO,0.002,0.889,0.109,DTT
0.9241,REBGLO,0.005,0.937,0.058,DTT
0.7744,REBGLO,0.0,0.939,0.061,DTT
0.9947,REBGLO,0.002,0.892,0.106,DTT
0.9983,REBGLO,0.005,0.857,0.138,DTT
0.9975,REBGLO,0.016,0.844,0.14,DTT
0.9793,REBGLO,0.009,0.9,0.091,DTT
0.9924,REBGLO,0.029,0.873,0.099,DTT
0.975,REBGLO,0.017,0.904,0.079,DTT
0.9936,REBGLO,0.0,0.842,0.158,DTT
-0.7334,REBGLO,0.058,0.894,0.048,DTT
0.0516,REBGLO,0.083,0.785,0.132,DTT
0.9998,REBGLO,0.076,0.755,0.17,DTT
0.9986,REBGLO,0.007,0.835,0.158,DTT
0.9636,REBGLO,0.041,0.891,0.068,DTT
0.9671,REBGLO,0.019,0.91,0.071,DTT
0.2732,REBGLO,0.05,0.86,0.09,DTT
0.998,REBGLO,0.01,0.875,0.116,DTT
0.9989,REBGLO,0.046,0.833,0.121,DTT
0.6553,REBGLO,0.0,0.941,0.059,DTT
0.9923,REBGLO,0.004,0.916,0.08,DTT
0.9947,REBGLO,0.002,0.892,0.106,DTT
0.9217,REBGLO,0.009,0.951,0.04,DTT
0.9987,REBGLO,0.054,0.793,0.154,DTT
0.9995,REBGLO,0.02,0.844,0.136,DTT
0.9999,REBGLO,0.013,0.845,0.141,DTT
0.9968,REBGLO,0.0,0.881,0.119,DTT
0.9998,REBGLO,0.056,0.849,0.095,DTT
0.9984,REBGLO,0.006,0.807,0.186,DTT
0.9759,REBGLO,0.036,0.889,0.074,DTT
0.9803,REBGLO,0.0,0.899,0.101,DTT
0.9186,REBGLO,0.0,0.877,0.123,DTT
0.9984,REBGLO,0.006,0.807,0.186,DTT
0.9318,REBGLO,0.072,0.831,0.097,DTT
0.9318,REBGLO,0.072,0.831,0.096,DTT
0.9952,REBGLO,0.007,0.908,0.085,DTT
0.9983,REBGLO,0.004,0.875,0.121,DTT
0.9756,REBGLO,0.007,0.846,0.147,DTT
0.9947,REBGLO,0.011,0.844,0.145,DTT
0.9959,REBGLO,0.015,0.861,0.124,DTT
0.9987,REBGLO,0.041,0.847,0.112,DTT
0.9974,REBGLO,0.018,0.877,0.105,DTT
0.9982,REBGLO,0.039,0.791,0.171,DTT
0.9999,REBGLO,0.018,0.755,0.227,DTT
0.9947,REBGLO,0.002,0.892,0.106,DTT
0.9869,REBGLO,0.046,0.822,0.132,DTT
