compound,name,negative,neutral,positive,ticker
-1.0,REBGLO,0.153,0.766,0.081,ECHT
0.9794,REBGLO,0.049,0.891,0.06,ECHT
-1.0,REBGLO,0.089,0.883,0.029,ECHT
-0.4342,REBGLO,0.025,0.959,0.016,ECHT
0.9997,REBGLO,0.036,0.842,0.122,ECHT
-0.9999,REBGLO,0.139,0.774,0.086,ECHT
0.9999,REBGLO,0.021,0.881,0.097,ECHT
0.5719,REBGLO,0.0,0.988,0.012,ECHT
0.9997,REBGLO,0.042,0.865,0.093,ECHT
0.9809,REBGLO,0.01,0.881,0.109,ECHT
0.9857,REBGLO,0.013,0.876,0.111,ECHT
0.5803,REBGLO,0.024,0.941,0.035,ECHT
0.9808,REBGLO,0.022,0.943,0.035,ECHT
0.9992,REBGLO,0.028,0.856,0.116,ECHT
0.9998,REBGLO,0.037,0.865,0.099,ECHT
0.992,REBGLO,0.043,0.879,0.077,ECHT
1.0,REBGLO,0.029,0.784,0.188,ECHT
-0.9993,REBGLO,0.178,0.755,0.067,ECHT
-0.5719,REBGLO,0.017,0.978,0.005,ECHT
1.0,REBGLO,0.054,0.793,0.153,ECHT
-0.6448,REBGLO,0.031,0.955,0.014,ECHT
-0.9998,REBGLO,0.099,0.822,0.079,ECHT
-0.9998,REBGLO,0.109,0.801,0.091,ECHT
1.0,REBGLO,0.054,0.793,0.153,ECHT
0.9323,REBGLO,0.014,0.923,0.063,ECHT
-0.9998,REBGLO,0.099,0.822,0.079,ECHT
-0.9998,REBGLO,0.109,0.801,0.091,ECHT
0.9999,REBGLO,0.03,0.82,0.15,ECHT
0.9931,REBGLO,0.064,0.805,0.131,ECHT
