compound,name,negative,neutral,positive,ticker
0.9984,REBGLO,0.035,0.911,0.054,EDU
0.0,REBGLO,0.0,1.0,0.0,EDU
-0.9999,REBGLO,0.137,0.772,0.091,EDU
0.9978,REBGLO,0.056,0.822,0.122,EDU
0.9977,REBGLO,0.058,0.819,0.123,EDU
0.9978,REBGLO,0.056,0.822,0.122,EDU
0.8575,REBGLO,0.076,0.832,0.091,EDU
0.9978,REBGLO,0.056,0.821,0.123,EDU
-0.9994,REBGLO,0.195,0.754,0.051,EDU
0.9997,REBGLO,0.036,0.842,0.122,EDU
0.2342,REBGLO,0.018,0.964,0.018,EDU
0.9907,REBGLO,0.024,0.919,0.057,EDU
1.0,REBGLO,0.054,0.795,0.151,EDU
0.9955,REBGLO,0.024,0.837,0.14,EDU
0.9998,REBGLO,0.035,0.842,0.123,EDU
0.9999,REBGLO,0.021,0.881,0.097,EDU
-0.8519,REBGLO,0.032,0.963,0.005,EDU
0.8868,REBGLO,0.015,0.95,0.036,EDU
0.9955,REBGLO,0.024,0.837,0.14,EDU
0.9921,REBGLO,0.0,0.886,0.114,EDU
0.885,REBGLO,0.025,0.927,0.048,EDU
-0.9976,REBGLO,0.076,0.888,0.037,EDU
0.9998,REBGLO,0.035,0.841,0.123,EDU
-0.9888,REBGLO,0.098,0.807,0.095,EDU
0.886,REBGLO,0.0,0.912,0.088,EDU
0.9763,REBGLO,0.019,0.92,0.061,EDU
0.0772,REBGLO,0.011,0.977,0.012,EDU
0.9998,REBGLO,0.035,0.842,0.123,EDU
