compound,name,negative,neutral,positive,ticker
0.9905,REBGLO,0.039,0.784,0.177,EOS
0.9659,REBGLO,0.01,0.91,0.08,EOS
-0.9438,REBGLO,0.046,0.938,0.015,EOS
0.9968,REBGLO,0.03,0.842,0.129,EOS
0.9528,REBGLO,0.0,0.81,0.19,EOS
0.9774,REBGLO,0.02,0.84,0.14,EOS
0.484,REBGLO,0.014,0.914,0.072,EOS
0.9992,REBGLO,0.044,0.814,0.142,EOS
0.8316,REBGLO,0.016,0.92,0.064,EOS
0.997,REBGLO,0.0,0.878,0.122,EOS
-1.0,REBGLO,0.153,0.766,0.081,EOS
0.9999,REBGLO,0.015,0.856,0.128,EOS
0.9984,REBGLO,0.042,0.86,0.098,EOS
0.6428,REBGLO,0.049,0.889,0.061,EOS
0.9948,REBGLO,0.047,0.86,0.093,EOS
0.8481,REBGLO,0.026,0.908,0.066,EOS
0.9001,REBGLO,0.022,0.907,0.071,EOS
0.9994,REBGLO,0.024,0.87,0.106,EOS
0.0,REBGLO,0.102,0.788,0.11,EOS
0.4995,REBGLO,0.0,0.976,0.024,EOS
0.9997,REBGLO,0.02,0.841,0.139,EOS
0.8481,REBGLO,0.029,0.896,0.075,EOS
0.6129,REBGLO,0.031,0.911,0.058,EOS
0.9553,REBGLO,0.0,0.858,0.142,EOS
0.8035,REBGLO,0.061,0.836,0.103,EOS
0.9941,REBGLO,0.027,0.807,0.166,EOS
0.7374,REBGLO,0.074,0.829,0.097,EOS
0.7684,REBGLO,0.086,0.787,0.127,EOS
0.6322,REBGLO,0.081,0.819,0.1,EOS
0.9856,REBGLO,0.018,0.646,0.336,EOS
0.8398,REBGLO,0.126,0.718,0.155,EOS
0.98,REBGLO,0.032,0.871,0.097,EOS
0.9832,REBGLO,0.028,0.87,0.102,EOS
0.9825,REBGLO,0.0,0.807,0.193,EOS
0.9469,REBGLO,0.042,0.862,0.096,EOS
0.9832,REBGLO,0.028,0.87,0.102,EOS
0.9968,REBGLO,0.0,0.881,0.119,EOS
0.9235,REBGLO,0.029,0.89,0.081,EOS
0.9795,REBGLO,0.015,0.905,0.08,EOS
0.9998,REBGLO,0.056,0.849,0.095,EOS
0.9285,REBGLO,0.028,0.891,0.081,EOS
0.9984,REBGLO,0.023,0.824,0.153,EOS
0.9985,REBGLO,0.023,0.823,0.154,EOS
0.9891,REBGLO,0.027,0.903,0.071,EOS
0.3657,REBGLO,0.05,0.849,0.101,EOS
0.4871,REBGLO,0.0,0.971,0.029,EOS
0.584,REBGLO,0.02,0.924,0.055,EOS
0.9813,REBGLO,0.026,0.858,0.116,EOS
0.9676,REBGLO,0.042,0.842,0.115,EOS
0.4215,REBGLO,0.01,0.973,0.017,EOS
0.9839,REBGLO,0.025,0.89,0.086,EOS
0.8156,REBGLO,0.011,0.937,0.052,EOS
0.974,REBGLO,0.0,0.85,0.15,EOS
0.9996,REBGLO,0.024,0.888,0.089,EOS
-0.0015,REBGLO,0.075,0.871,0.054,EOS
0.885,REBGLO,0.016,0.889,0.094,EOS
0.9998,REBGLO,0.03,0.804,0.166,EOS
0.9997,REBGLO,0.026,0.887,0.087,EOS
0.9973,REBGLO,0.025,0.83,0.145,EOS
0.9949,REBGLO,0.043,0.808,0.149,EOS
0.9973,REBGLO,0.025,0.83,0.145,EOS
0.8271,REBGLO,0.069,0.861,0.07,EOS
0.7615,REBGLO,0.069,0.862,0.069,EOS
0.9669,REBGLO,0.0,0.863,0.137,EOS
0.9568,REBGLO,0.091,0.786,0.122,EOS
-0.2268,REBGLO,0.079,0.852,0.07,EOS
0.8552,REBGLO,0.048,0.863,0.089,EOS
0.4995,REBGLO,0.0,0.976,0.024,EOS
0.9121,REBGLO,0.033,0.885,0.082,EOS
0.9974,REBGLO,0.025,0.827,0.148,EOS
0.9755,REBGLO,0.008,0.815,0.178,EOS
0.9945,REBGLO,0.041,0.814,0.145,EOS
0.8932,REBGLO,0.018,0.891,0.091,EOS
0.9937,REBGLO,0.029,0.876,0.095,EOS
0.9988,REBGLO,0.003,0.831,0.166,EOS
0.9186,REBGLO,0.104,0.768,0.128,EOS
0.9081,REBGLO,0.058,0.85,0.093,EOS
0.9693,REBGLO,0.0,0.914,0.086,EOS
0.9974,REBGLO,0.03,0.83,0.14,EOS
0.9977,REBGLO,0.016,0.835,0.149,EOS
0.9969,REBGLO,0.007,0.862,0.132,EOS
0.9967,REBGLO,0.007,0.856,0.137,EOS
0.9967,REBGLO,0.007,0.858,0.135,EOS
0.9313,REBGLO,0.061,0.842,0.097,EOS
-0.4767,REBGLO,0.114,0.886,0.0,EOS
0.9951,REBGLO,0.009,0.855,0.136,EOS
0.9964,REBGLO,0.004,0.862,0.135,EOS
0.9969,REBGLO,0.007,0.855,0.138,EOS
0.9313,REBGLO,0.061,0.842,0.097,EOS
0.9973,REBGLO,0.031,0.83,0.14,EOS
0.9948,REBGLO,0.041,0.813,0.146,EOS
0.9832,REBGLO,0.028,0.87,0.102,EOS
0.9967,REBGLO,0.007,0.858,0.135,EOS
0.9969,REBGLO,0.007,0.855,0.138,EOS
0.9942,REBGLO,0.012,0.903,0.086,EOS
0.9967,REBGLO,0.007,0.857,0.136,EOS
0.9967,REBGLO,0.007,0.858,0.135,EOS
0.9269,REBGLO,0.035,0.849,0.115,EOS
0.9695,REBGLO,0.004,0.918,0.077,EOS
0.9789,REBGLO,0.012,0.902,0.087,EOS
