compound,name,negative,neutral,positive,ticker
0.8041,REBGLO,0.1,0.785,0.114,ESCAPE
0.999,REBGLO,0.042,0.855,0.102,ESCAPE
0.9891,REBGLO,0.031,0.823,0.146,ESCAPE
0.4602,REBGLO,0.066,0.863,0.07,ESCAPE
-1.0,REBGLO,0.089,0.883,0.029,ESCAPE
0.9993,REBGLO,0.0,0.787,0.213,ESCAPE
0.9944,REBGLO,0.005,0.82,0.175,ESCAPE
0.9922,REBGLO,0.056,0.845,0.099,ESCAPE
0.9995,REBGLO,0.075,0.812,0.113,ESCAPE
0.9959,REBGLO,0.061,0.843,0.096,ESCAPE
-0.9807,REBGLO,0.17,0.744,0.086,ESCAPE
0.9643,REBGLO,0.169,0.604,0.227,ESCAPE
0.998,REBGLO,0.024,0.848,0.128,ESCAPE
-0.9994,REBGLO,0.12,0.817,0.063,ESCAPE
0.9955,REBGLO,0.021,0.877,0.102,ESCAPE
0.9998,REBGLO,0.076,0.755,0.17,ESCAPE
-0.0018,REBGLO,0.093,0.798,0.109,ESCAPE
-0.9997,REBGLO,0.088,0.888,0.024,ESCAPE
0.9982,REBGLO,0.067,0.854,0.079,ESCAPE
0.9998,REBGLO,0.056,0.849,0.095,ESCAPE
0.9153,REBGLO,0.03,0.815,0.155,ESCAPE
0.9511,REBGLO,0.099,0.798,0.103,ESCAPE
0.999,REBGLO,0.092,0.782,0.126,ESCAPE
-0.9999,REBGLO,0.115,0.803,0.082,ESCAPE
-0.8724,REBGLO,0.133,0.761,0.106,ESCAPE
0.8506,REBGLO,0.025,0.906,0.069,ESCAPE
0.694,REBGLO,0.092,0.787,0.121,ESCAPE
0.8239,REBGLO,0.058,0.872,0.07,ESCAPE
0.9984,REBGLO,0.051,0.858,0.091,ESCAPE
0.7809,REBGLO,0.06,0.813,0.127,ESCAPE
0.9947,REBGLO,0.035,0.9,0.065,ESCAPE
0.997,REBGLO,0.036,0.834,0.129,ESCAPE
0.9995,REBGLO,0.057,0.812,0.131,ESCAPE
-0.9964,REBGLO,0.098,0.806,0.095,ESCAPE
-0.9964,REBGLO,0.098,0.806,0.095,ESCAPE
-0.9998,REBGLO,0.091,0.885,0.024,ESCAPE
-0.8725,REBGLO,0.078,0.841,0.081,ESCAPE
0.9272,REBGLO,0.045,0.881,0.074,ESCAPE
0.9272,REBGLO,0.046,0.878,0.076,ESCAPE
-1.0,REBGLO,0.244,0.754,0.002,ESCAPE
0.9845,REBGLO,0.084,0.825,0.09,ESCAPE
0.222,REBGLO,0.118,0.754,0.128,ESCAPE
0.9969,REBGLO,0.006,0.824,0.17,ESCAPE
1.0,REBGLO,0.029,0.784,0.188,ESCAPE
0.875,REBGLO,0.025,0.943,0.031,ESCAPE
0.9998,REBGLO,0.024,0.847,0.129,ESCAPE
-0.5621,REBGLO,0.101,0.789,0.11,ESCAPE
0.9972,REBGLO,0.044,0.81,0.146,ESCAPE
-0.9888,REBGLO,0.098,0.807,0.095,ESCAPE
0.9378,REBGLO,0.01,0.968,0.022,ESCAPE
-0.9893,REBGLO,0.099,0.807,0.094,ESCAPE
-0.9893,REBGLO,0.099,0.807,0.094,ESCAPE
0.9147,REBGLO,0.107,0.773,0.119,ESCAPE
0.9972,REBGLO,0.044,0.81,0.146,ESCAPE
0.9944,REBGLO,0.083,0.826,0.091,ESCAPE
0.9944,REBGLO,0.083,0.826,0.091,ESCAPE
0.9994,REBGLO,0.075,0.839,0.085,ESCAPE
0.7621,REBGLO,0.115,0.765,0.12,ESCAPE
0.9999,REBGLO,0.024,0.867,0.109,ESCAPE
