compound,name,negative,neutral,positive,ticker
0.9994,REBGLO,0.074,0.777,0.149,Ethix
0.9999,REBGLO,0.044,0.829,0.127,Ethix
0.9538,REBGLO,0.017,0.93,0.053,Ethix
0.9538,REBGLO,0.017,0.93,0.053,Ethix
0.9661,REBGLO,0.0,0.866,0.134,Ethix
0.9947,REBGLO,0.034,0.876,0.09,Ethix
0.9941,REBGLO,0.034,0.878,0.088,Ethix
0.9941,REBGLO,0.034,0.878,0.088,Ethix
-0.6962,REBGLO,0.103,0.79,0.107,Ethix
0.7676,REBGLO,0.005,0.989,0.006,Ethix
0.9994,REBGLO,0.022,0.855,0.123,Ethix
0.9975,REBGLO,0.026,0.868,0.106,Ethix
0.9883,REBGLO,0.012,0.849,0.139,Ethix
0.9951,REBGLO,0.014,0.872,0.114,Ethix
1.0,REBGLO,0.027,0.826,0.147,Ethix
0.9724,REBGLO,0.067,0.834,0.099,Ethix
-0.9574,REBGLO,0.104,0.825,0.071,Ethix
1.0,REBGLO,0.054,0.795,0.151,Ethix
0.994,REBGLO,0.048,0.857,0.095,Ethix
0.9939,REBGLO,0.038,0.826,0.137,Ethix
0.4263,REBGLO,0.0,0.832,0.168,Ethix
0.9876,REBGLO,0.048,0.893,0.059,Ethix
0.2695,REBGLO,0.101,0.788,0.111,Ethix
-0.9999,REBGLO,0.12,0.792,0.088,Ethix
0.9966,REBGLO,0.04,0.817,0.143,Ethix
0.9977,REBGLO,0.029,0.842,0.129,Ethix
0.9999,REBGLO,0.021,0.881,0.097,Ethix
0.9824,REBGLO,0.027,0.866,0.107,Ethix
0.9676,REBGLO,0.042,0.842,0.115,Ethix
0.9979,REBGLO,0.03,0.831,0.139,Ethix
0.9977,REBGLO,0.031,0.833,0.136,Ethix
0.5803,REBGLO,0.003,0.988,0.01,Ethix
0.9969,REBGLO,0.038,0.818,0.144,Ethix
0.9938,REBGLO,0.009,0.878,0.113,Ethix
0.9954,REBGLO,0.012,0.908,0.08,Ethix
0.9994,REBGLO,0.039,0.829,0.131,Ethix
0.9981,REBGLO,0.015,0.95,0.035,Ethix
0.9971,REBGLO,0.006,0.941,0.053,Ethix
0.9999,REBGLO,0.032,0.843,0.125,Ethix
0.9026,REBGLO,0.073,0.831,0.096,Ethix
0.9904,REBGLO,0.04,0.837,0.123,Ethix
0.9921,REBGLO,0.0,0.886,0.114,Ethix
-0.9765,REBGLO,0.108,0.793,0.099,Ethix
0.5803,REBGLO,0.003,0.988,0.01,Ethix
0.9218,REBGLO,0.039,0.878,0.083,Ethix
0.8095,REBGLO,0.0,0.92,0.08,Ethix
0.9873,REBGLO,0.028,0.881,0.09,Ethix
0.9871,REBGLO,0.03,0.883,0.087,Ethix
0.4404,REBGLO,0.0,0.934,0.066,Ethix
0.9873,REBGLO,0.029,0.881,0.091,Ethix
-0.4939,REBGLO,0.156,0.718,0.126,Ethix
0.9995,REBGLO,0.012,0.929,0.06,Ethix
0.9824,REBGLO,0.018,0.926,0.056,Ethix
0.9959,REBGLO,0.018,0.844,0.138,Ethix
-0.9434,REBGLO,0.025,0.961,0.014,Ethix
0.9968,REBGLO,0.04,0.808,0.152,Ethix
0.9999,REBGLO,0.031,0.881,0.088,Ethix
0.4254,REBGLO,0.084,0.825,0.091,Ethix
-0.9535,REBGLO,0.137,0.779,0.084,Ethix
-0.9119,REBGLO,0.132,0.774,0.095,Ethix
-0.994,REBGLO,0.086,0.853,0.061,Ethix
0.995,REBGLO,0.043,0.813,0.144,Ethix
0.9925,REBGLO,0.024,0.853,0.124,Ethix
0.9949,REBGLO,0.044,0.81,0.146,Ethix
0.9925,REBGLO,0.023,0.854,0.122,Ethix
0.9387,REBGLO,0.015,0.921,0.064,Ethix
-0.996,REBGLO,0.093,0.857,0.05,Ethix
-0.9966,REBGLO,0.098,0.848,0.055,Ethix
0.9785,REBGLO,0.025,0.944,0.031,Ethix
0.9707,REBGLO,0.024,0.91,0.066,Ethix
0.9459,REBGLO,0.021,0.913,0.066,Ethix
0.9959,REBGLO,0.018,0.86,0.122,Ethix
1.0,REBGLO,0.029,0.784,0.188,Ethix
1.0,REBGLO,0.025,0.774,0.201,Ethix
0.9825,REBGLO,0.073,0.817,0.109,Ethix
-0.9986,REBGLO,0.042,0.935,0.023,Ethix
0.9998,REBGLO,0.021,0.79,0.189,Ethix
0.8986,REBGLO,0.022,0.91,0.068,Ethix
0.9901,REBGLO,0.014,0.89,0.095,Ethix
0.9968,REBGLO,0.017,0.864,0.12,Ethix
0.9998,REBGLO,0.021,0.79,0.189,Ethix
-0.9617,REBGLO,0.076,0.865,0.058,Ethix
0.2263,REBGLO,0.013,0.966,0.021,Ethix
0.8935,REBGLO,0.017,0.909,0.074,Ethix
0.9589,REBGLO,0.017,0.918,0.065,Ethix
0.9968,REBGLO,0.041,0.803,0.156,Ethix
0.9997,REBGLO,0.057,0.818,0.124,Ethix
-0.1115,REBGLO,0.064,0.864,0.072,Ethix
0.9997,REBGLO,0.057,0.818,0.124,Ethix
0.9888,REBGLO,0.036,0.857,0.106,Ethix
0.9432,REBGLO,0.04,0.916,0.044,Ethix
0.9432,REBGLO,0.04,0.916,0.044,Ethix
0.9877,REBGLO,0.059,0.841,0.1,Ethix
0.9996,REBGLO,0.058,0.824,0.118,Ethix
-0.5641,REBGLO,0.044,0.921,0.036,Ethix
