compound,name,negative,neutral,positive,ticker
0.9976,REBGLO,0.004,0.839,0.157,FAN
0.9976,REBGLO,0.004,0.84,0.156,FAN
0.9444,REBGLO,0.01,0.904,0.086,FAN
0.63,REBGLO,0.086,0.791,0.122,FAN
0.9944,REBGLO,0.024,0.877,0.1,FAN
0.882,REBGLO,0.035,0.881,0.084,FAN
0.991,REBGLO,0.033,0.796,0.171,FAN
0.9947,REBGLO,0.034,0.876,0.09,FAN
0.9941,REBGLO,0.034,0.878,0.088,FAN
0.9937,REBGLO,0.006,0.82,0.174,FAN
0.9895,REBGLO,0.051,0.836,0.113,FAN
0.9942,REBGLO,0.051,0.819,0.13,FAN
0.9925,REBGLO,0.023,0.859,0.118,FAN
0.9934,REBGLO,0.026,0.856,0.118,FAN
0.9928,REBGLO,0.022,0.865,0.113,FAN
0.9937,REBGLO,0.018,0.866,0.116,FAN
0.9941,REBGLO,0.034,0.878,0.088,FAN
0.6709,REBGLO,0.037,0.798,0.165,FAN
0.9806,REBGLO,0.032,0.859,0.109,FAN
0.9265,REBGLO,0.105,0.643,0.252,FAN
-0.9999,REBGLO,0.137,0.772,0.091,FAN
0.9992,REBGLO,0.037,0.843,0.12,FAN
0.9991,REBGLO,0.038,0.84,0.122,FAN
0.9991,REBGLO,0.018,0.816,0.166,FAN
0.9946,REBGLO,0.024,0.872,0.103,FAN
-0.7155,REBGLO,0.053,0.903,0.044,FAN
0.9753,REBGLO,0.089,0.778,0.133,FAN
0.9979,REBGLO,0.015,0.902,0.083,FAN
0.7717,REBGLO,0.0,0.778,0.222,FAN
0.9994,REBGLO,0.027,0.76,0.213,FAN
0.9965,REBGLO,0.003,0.883,0.114,FAN
-0.8943,REBGLO,0.099,0.84,0.061,FAN
0.9887,REBGLO,0.062,0.837,0.101,FAN
0.9806,REBGLO,0.064,0.748,0.188,FAN
0.9056,REBGLO,0.052,0.844,0.104,FAN
0.9735,REBGLO,0.069,0.74,0.191,FAN
0.9818,REBGLO,0.037,0.889,0.074,FAN
0.9866,REBGLO,0.051,0.871,0.078,FAN
1.0,REBGLO,0.027,0.826,0.147,FAN
0.9781,REBGLO,0.045,0.884,0.071,FAN
0.9975,REBGLO,0.0,0.833,0.167,FAN
0.9744,REBGLO,0.039,0.876,0.085,FAN
0.7269,REBGLO,0.0,0.728,0.272,FAN
0.9385,REBGLO,0.116,0.75,0.134,FAN
0.989,REBGLO,0.084,0.798,0.118,FAN
0.9241,REBGLO,0.005,0.937,0.058,FAN
0.9954,REBGLO,0.045,0.859,0.096,FAN
-0.5168,REBGLO,0.089,0.853,0.059,FAN
0.9893,REBGLO,0.073,0.834,0.093,FAN
0.9979,REBGLO,0.005,0.978,0.017,FAN
0.408,REBGLO,0.055,0.878,0.067,FAN
0.9937,REBGLO,0.05,0.737,0.212,FAN
-0.296,REBGLO,0.132,0.766,0.103,FAN
-0.5423,REBGLO,0.117,0.883,0.0,FAN
0.9999,REBGLO,0.027,0.794,0.179,FAN
0.9876,REBGLO,0.048,0.893,0.059,FAN
-0.822,REBGLO,0.101,0.837,0.063,FAN
0.9729,REBGLO,0.041,0.726,0.233,FAN
0.9838,REBGLO,0.042,0.735,0.223,FAN
0.9868,REBGLO,0.006,0.802,0.192,FAN
0.992,REBGLO,0.007,0.857,0.136,FAN
0.999,REBGLO,0.092,0.782,0.126,FAN
-0.9999,REBGLO,0.139,0.774,0.086,FAN
0.9999,REBGLO,0.018,0.755,0.227,FAN
0.9432,REBGLO,0.049,0.741,0.209,FAN
0.9996,REBGLO,0.028,0.789,0.182,FAN
0.9971,REBGLO,0.016,0.863,0.121,FAN
0.9908,REBGLO,0.011,0.867,0.122,FAN
0.9645,REBGLO,0.0,0.898,0.102,FAN
0.9985,REBGLO,0.019,0.849,0.131,FAN
0.9599,REBGLO,0.018,0.864,0.118,FAN
0.9957,REBGLO,0.012,0.847,0.141,FAN
0.9986,REBGLO,0.019,0.847,0.134,FAN
0.1386,REBGLO,0.117,0.792,0.091,FAN
0.9001,REBGLO,0.0,0.825,0.175,FAN
0.9985,REBGLO,0.019,0.849,0.131,FAN
0.9985,REBGLO,0.019,0.849,0.131,FAN
0.9942,REBGLO,0.049,0.796,0.155,FAN
0.9969,REBGLO,0.033,0.766,0.2,FAN
0.983,REBGLO,0.033,0.864,0.103,FAN
0.6249,REBGLO,0.045,0.894,0.062,FAN
0.9056,REBGLO,0.02,0.802,0.178,FAN
0.983,REBGLO,0.033,0.866,0.101,FAN
0.5106,REBGLO,0.0,0.736,0.264,FAN
0.5106,REBGLO,0.06,0.806,0.134,FAN
0.9042,REBGLO,0.0,0.737,0.263,FAN
0.9042,REBGLO,0.0,0.737,0.263,FAN
0.9042,REBGLO,0.0,0.737,0.263,FAN
0.9042,REBGLO,0.0,0.737,0.263,FAN
0.983,REBGLO,0.033,0.866,0.101,FAN
0.9042,REBGLO,0.0,0.737,0.263,FAN
0.9995,REBGLO,0.057,0.812,0.131,FAN
0.7003,REBGLO,0.0,0.91,0.09,FAN
0.975,REBGLO,0.0,0.863,0.137,FAN
0.9652,REBGLO,0.033,0.759,0.208,FAN
0.9814,REBGLO,0.007,0.905,0.088,FAN
-0.9964,REBGLO,0.098,0.806,0.095,FAN
-0.9964,REBGLO,0.098,0.806,0.095,FAN
0.9844,REBGLO,0.031,0.867,0.101,FAN
0.4588,REBGLO,0.068,0.827,0.105,FAN
