compound,name,negative,neutral,positive,ticker
0.4824,REBGLO,0.015,0.965,0.02,FMT
0.4824,REBGLO,0.015,0.965,0.02,FMT
0.368,REBGLO,0.01,0.976,0.014,FMT
0.9473,REBGLO,0.025,0.911,0.064,FMT
0.875,REBGLO,0.071,0.852,0.076,FMT
-0.9937,REBGLO,0.119,0.821,0.061,FMT
0.9972,REBGLO,0.022,0.895,0.083,FMT
0.4588,REBGLO,0.0,0.786,0.214,FMT
0.9996,REBGLO,0.074,0.817,0.109,FMT
0.9097,REBGLO,0.0,0.83,0.17,FMT
0.943,REBGLO,0.053,0.798,0.149,FMT
-0.9792,REBGLO,0.105,0.839,0.056,FMT
-0.8719,REBGLO,0.061,0.913,0.026,FMT
-0.8901,REBGLO,0.066,0.916,0.018,FMT
-0.8978,REBGLO,0.057,0.924,0.018,FMT
0.0516,REBGLO,0.034,0.929,0.037,FMT
0.9854,REBGLO,0.0,0.883,0.117,FMT
0.9984,REBGLO,0.016,0.738,0.245,FMT
0.9974,REBGLO,0.005,0.837,0.158,FMT
0.9875,REBGLO,0.009,0.887,0.104,FMT
0.9874,REBGLO,0.014,0.86,0.126,FMT
-0.7096,REBGLO,0.018,0.978,0.004,FMT
-0.5719,REBGLO,0.017,0.978,0.005,FMT
0.4874,REBGLO,0.049,0.887,0.064,FMT
0.25,REBGLO,0.05,0.901,0.05,FMT
0.9524,REBGLO,0.019,0.897,0.084,FMT
0.0772,REBGLO,0.012,0.976,0.012,FMT
0.2023,REBGLO,0.011,0.977,0.013,FMT
-0.4939,REBGLO,0.017,0.974,0.009,FMT
-0.0772,REBGLO,0.005,0.991,0.004,FMT
-0.9935,REBGLO,0.129,0.806,0.065,FMT
0.9945,REBGLO,0.026,0.886,0.087,FMT
0.34,REBGLO,0.0,0.982,0.018,FMT
0.7964,REBGLO,0.023,0.915,0.062,FMT
0.9882,REBGLO,0.015,0.89,0.095,FMT
0.9531,REBGLO,0.051,0.837,0.112,FMT
0.9861,REBGLO,0.003,0.896,0.102,FMT
0.9776,REBGLO,0.013,0.875,0.111,FMT
0.0857,REBGLO,0.015,0.972,0.013,FMT
-0.0943,REBGLO,0.02,0.963,0.017,FMT
0.5622,REBGLO,0.013,0.966,0.021,FMT
0.9978,REBGLO,0.008,0.817,0.176,FMT
-0.9994,REBGLO,0.194,0.742,0.064,FMT
0.9977,REBGLO,0.0,0.806,0.194,FMT
0.9798,REBGLO,0.039,0.772,0.189,FMT
0.9949,REBGLO,0.0,0.838,0.162,FMT
-0.3612,REBGLO,0.011,0.985,0.005,FMT
-0.7964,REBGLO,0.027,0.968,0.005,FMT
-0.3612,REBGLO,0.012,0.982,0.005,FMT
-0.5719,REBGLO,0.018,0.977,0.005,FMT
-0.3612,REBGLO,0.01,0.985,0.005,FMT
0.9949,REBGLO,0.005,0.857,0.138,FMT
0.9902,REBGLO,0.006,0.866,0.129,FMT
0.997,REBGLO,0.079,0.799,0.121,FMT
0.9971,REBGLO,0.015,0.895,0.089,FMT
0.9968,REBGLO,0.03,0.842,0.129,FMT
0.9996,REBGLO,0.04,0.761,0.199,FMT
0.9975,REBGLO,0.05,0.838,0.112,FMT
0.997,REBGLO,0.079,0.799,0.121,FMT
0.9769,REBGLO,0.041,0.812,0.147,FMT
0.9979,REBGLO,0.0,0.807,0.193,FMT
0.9949,REBGLO,0.034,0.888,0.078,FMT
0.9711,REBGLO,0.03,0.874,0.096,FMT
0.9991,REBGLO,0.049,0.824,0.127,FMT
-0.6808,REBGLO,0.322,0.577,0.101,FMT
-0.3781,REBGLO,0.091,0.858,0.05,FMT
0.9789,REBGLO,0.007,0.89,0.103,FMT
0.9978,REBGLO,0.008,0.818,0.174,FMT
0.3612,REBGLO,0.0,0.95,0.05,FMT
0.9826,REBGLO,0.011,0.913,0.076,FMT
0.6801,REBGLO,0.0,0.917,0.083,FMT
0.9963,REBGLO,0.017,0.854,0.13,FMT
0.2042,REBGLO,0.018,0.955,0.027,FMT
0.9662,REBGLO,0.037,0.881,0.082,FMT
0.6826,REBGLO,0.081,0.812,0.107,FMT
0.9893,REBGLO,0.016,0.913,0.071,FMT
0.8442,REBGLO,0.096,0.784,0.12,FMT
0.9464,REBGLO,0.009,0.863,0.128,FMT
0.5396,REBGLO,0.015,0.896,0.089,FMT
-0.962,REBGLO,0.147,0.779,0.074,FMT
-0.8273,REBGLO,0.067,0.893,0.039,FMT
0.9542,REBGLO,0.1,0.637,0.263,FMT
0.1901,REBGLO,0.107,0.777,0.116,FMT
0.9816,REBGLO,0.016,0.867,0.118,FMT
0.8467,REBGLO,0.056,0.856,0.088,FMT
0.8976,REBGLO,0.051,0.86,0.089,FMT
-0.9216,REBGLO,0.071,0.904,0.025,FMT
-0.7252,REBGLO,0.059,0.907,0.034,FMT
-0.973,REBGLO,0.096,0.878,0.026,FMT
-0.5493,REBGLO,0.048,0.916,0.036,FMT
-0.0498,REBGLO,0.023,0.961,0.016,FMT
0.7003,REBGLO,0.046,0.825,0.13,FMT
0.5859,REBGLO,0.0,0.866,0.134,FMT
0.5859,REBGLO,0.0,0.866,0.134,FMT
0.5859,REBGLO,0.0,0.866,0.134,FMT
0.5106,REBGLO,0.0,0.936,0.064,FMT
0.0,REBGLO,0.0,1.0,0.0,FMT
-0.9937,REBGLO,0.116,0.824,0.06,FMT
-0.6444,REBGLO,0.085,0.831,0.084,FMT
-0.2263,REBGLO,0.015,0.974,0.011,FMT
