compound,name,negative,neutral,positive,ticker
0.9311,REBGLO,0.004,0.93,0.066,FNT
0.0,REBGLO,0.0,1.0,0.0,FNT
0.0,REBGLO,0.0,1.0,0.0,FNT
0.9682,REBGLO,0.0,0.775,0.225,FNT
0.9937,REBGLO,0.046,0.84,0.113,FNT
0.9957,REBGLO,0.01,0.88,0.11,FNT
-0.872,REBGLO,0.085,0.861,0.054,FNT
0.9967,REBGLO,0.006,0.843,0.15,FNT
0.9982,REBGLO,0.027,0.866,0.108,FNT
-0.9999,REBGLO,0.137,0.772,0.091,FNT
0.9922,REBGLO,0.056,0.845,0.099,FNT
1.0,REBGLO,0.026,0.707,0.267,FNT
0.9995,REBGLO,0.075,0.812,0.113,FNT
-0.3786,REBGLO,0.116,0.82,0.064,FNT
0.9997,REBGLO,0.026,0.792,0.182,FNT
0.9996,REBGLO,0.018,0.769,0.213,FNT
0.1441,REBGLO,0.182,0.637,0.18,FNT
0.9907,REBGLO,0.024,0.741,0.235,FNT
-0.9994,REBGLO,0.12,0.817,0.063,FNT
0.9655,REBGLO,0.023,0.855,0.123,FNT
0.9965,REBGLO,0.059,0.827,0.114,FNT
0.944,REBGLO,0.117,0.71,0.174,FNT
0.9893,REBGLO,0.073,0.834,0.093,FNT
0.969,REBGLO,0.024,0.911,0.065,FNT
0.9876,REBGLO,0.076,0.824,0.101,FNT
0.8172,REBGLO,0.026,0.908,0.066,FNT
0.9694,REBGLO,0.04,0.864,0.096,FNT
0.9999,REBGLO,0.027,0.794,0.179,FNT
0.9999,REBGLO,0.013,0.845,0.141,FNT
0.9933,REBGLO,0.04,0.872,0.088,FNT
-0.8883,REBGLO,0.086,0.863,0.051,FNT
0.9722,REBGLO,0.057,0.814,0.13,FNT
0.9933,REBGLO,0.04,0.872,0.088,FNT
0.9608,REBGLO,0.029,0.865,0.105,FNT
-0.9999,REBGLO,0.12,0.792,0.088,FNT
0.999,REBGLO,0.025,0.771,0.203,FNT
0.9975,REBGLO,0.097,0.79,0.112,FNT
-0.7087,REBGLO,0.076,0.872,0.052,FNT
-0.9517,REBGLO,0.098,0.813,0.089,FNT
0.9091,REBGLO,0.089,0.784,0.127,FNT
0.999,REBGLO,0.092,0.782,0.126,FNT
-0.9999,REBGLO,0.106,0.813,0.082,FNT
0.9998,REBGLO,0.058,0.823,0.119,FNT
-0.9448,REBGLO,0.196,0.734,0.07,FNT
-0.3254,REBGLO,0.15,0.702,0.148,FNT
-0.9451,REBGLO,0.098,0.812,0.09,FNT
-0.9661,REBGLO,0.1,0.813,0.087,FNT
-0.9678,REBGLO,0.097,0.818,0.085,FNT
0.9208,REBGLO,0.078,0.805,0.118,FNT
0.1731,REBGLO,0.059,0.871,0.07,FNT
0.9211,REBGLO,0.0,0.912,0.088,FNT
0.9995,REBGLO,0.0,0.829,0.171,FNT
0.6949,REBGLO,0.049,0.852,0.1,FNT
-0.4099,REBGLO,0.091,0.829,0.079,FNT
0.8805,REBGLO,0.069,0.72,0.211,FNT
0.9809,REBGLO,0.0,0.835,0.165,FNT
0.978,REBGLO,0.08,0.734,0.186,FNT
0.8452,REBGLO,0.061,0.822,0.117,FNT
0.6453,REBGLO,0.033,0.905,0.062,FNT
0.6705,REBGLO,0.021,0.888,0.09,FNT
0.931,REBGLO,0.013,0.83,0.158,FNT
0.9463,REBGLO,0.045,0.833,0.122,FNT
0.9993,REBGLO,0.073,0.825,0.102,FNT
0.9463,REBGLO,0.041,0.847,0.112,FNT
0.9984,REBGLO,0.051,0.858,0.091,FNT
0.9373,REBGLO,0.112,0.719,0.169,FNT
0.9979,REBGLO,0.061,0.814,0.126,FNT
0.9866,REBGLO,0.052,0.842,0.106,FNT
0.9013,REBGLO,0.05,0.848,0.101,FNT
0.8413,REBGLO,0.07,0.815,0.115,FNT
0.9966,REBGLO,0.061,0.753,0.186,FNT
-0.5446,REBGLO,0.071,0.88,0.049,FNT
-0.2268,REBGLO,0.079,0.852,0.07,FNT
0.9986,REBGLO,0.053,0.662,0.285,FNT
-0.9794,REBGLO,0.202,0.749,0.049,FNT
0.8462,REBGLO,0.069,0.839,0.092,FNT
0.9707,REBGLO,0.091,0.794,0.115,FNT
0.9987,REBGLO,0.058,0.84,0.102,FNT
0.9334,REBGLO,0.073,0.775,0.152,FNT
-0.9655,REBGLO,0.127,0.762,0.111,FNT
-0.9901,REBGLO,0.17,0.718,0.112,FNT
-0.8725,REBGLO,0.078,0.841,0.081,FNT
0.795,REBGLO,0.092,0.77,0.139,FNT
0.8186,REBGLO,0.131,0.73,0.139,FNT
0.8055,REBGLO,0.141,0.697,0.162,FNT
0.7744,REBGLO,0.011,0.948,0.041,FNT
-0.2731,REBGLO,0.084,0.828,0.088,FNT
0.9292,REBGLO,0.063,0.647,0.29,FNT
0.9845,REBGLO,0.084,0.825,0.09,FNT
0.9983,REBGLO,0.057,0.821,0.122,FNT
0.9984,REBGLO,0.021,0.859,0.12,FNT
0.8557,REBGLO,0.039,0.841,0.12,FNT
0.9987,REBGLO,0.014,0.863,0.123,FNT
0.979,REBGLO,0.027,0.685,0.288,FNT
0.9325,REBGLO,0.064,0.848,0.088,FNT
0.9996,REBGLO,0.041,0.82,0.139,FNT
0.9989,REBGLO,0.051,0.807,0.142,FNT
0.9968,REBGLO,0.013,0.874,0.113,FNT
0.9994,REBGLO,0.016,0.874,0.11,FNT
0.9971,REBGLO,0.045,0.865,0.091,FNT
