compound,name,negative,neutral,positive,ticker
0.4824,REBGLO,0.015,0.965,0.02,FOXT
0.4824,REBGLO,0.015,0.965,0.02,FOXT
0.368,REBGLO,0.01,0.976,0.014,FOXT
0.9473,REBGLO,0.025,0.911,0.064,FOXT
0.875,REBGLO,0.071,0.852,0.076,FOXT
0.9972,REBGLO,0.022,0.895,0.083,FOXT
0.9996,REBGLO,0.074,0.817,0.109,FOXT
0.9097,REBGLO,0.0,0.83,0.17,FOXT
0.943,REBGLO,0.053,0.798,0.149,FOXT
0.9899,REBGLO,0.028,0.841,0.131,FOXT
-0.8719,REBGLO,0.061,0.913,0.026,FOXT
-0.8901,REBGLO,0.066,0.916,0.018,FOXT
-0.8978,REBGLO,0.057,0.924,0.018,FOXT
-0.7096,REBGLO,0.018,0.978,0.004,FOXT
-0.5719,REBGLO,0.017,0.978,0.005,FOXT
0.25,REBGLO,0.05,0.901,0.05,FOXT
0.5424,REBGLO,0.074,0.844,0.082,FOXT
0.9524,REBGLO,0.019,0.897,0.084,FOXT
0.0772,REBGLO,0.012,0.976,0.012,FOXT
0.2023,REBGLO,0.011,0.977,0.013,FOXT
-0.4939,REBGLO,0.017,0.974,0.009,FOXT
-0.0772,REBGLO,0.005,0.991,0.004,FOXT
0.9945,REBGLO,0.026,0.886,0.087,FOXT
0.34,REBGLO,0.0,0.982,0.018,FOXT
0.7964,REBGLO,0.023,0.915,0.062,FOXT
0.9326,REBGLO,0.021,0.881,0.097,FOXT
0.9659,REBGLO,0.01,0.91,0.08,FOXT
0.9794,REBGLO,0.0,0.899,0.101,FOXT
0.9531,REBGLO,0.051,0.837,0.112,FOXT
0.6553,REBGLO,0.0,0.984,0.016,FOXT
0.0772,REBGLO,0.0,0.982,0.018,FOXT
0.296,REBGLO,0.0,0.942,0.058,FOXT
0.9861,REBGLO,0.003,0.896,0.102,FOXT
0.8205,REBGLO,0.029,0.854,0.117,FOXT
0.9831,REBGLO,0.016,0.771,0.213,FOXT
0.0857,REBGLO,0.015,0.972,0.013,FOXT
-0.0943,REBGLO,0.02,0.963,0.017,FOXT
0.5622,REBGLO,0.013,0.966,0.021,FOXT
0.9976,REBGLO,0.004,0.839,0.157,FOXT
0.9977,REBGLO,0.0,0.806,0.194,FOXT
0.9798,REBGLO,0.039,0.772,0.189,FOXT
0.9949,REBGLO,0.0,0.838,0.162,FOXT
-0.3612,REBGLO,0.011,0.985,0.005,FOXT
-0.7964,REBGLO,0.027,0.968,0.005,FOXT
-0.3612,REBGLO,0.012,0.982,0.005,FOXT
-0.5719,REBGLO,0.018,0.977,0.005,FOXT
-0.3612,REBGLO,0.01,0.985,0.005,FOXT
0.9949,REBGLO,0.005,0.857,0.138,FOXT
0.9902,REBGLO,0.006,0.866,0.129,FOXT
0.997,REBGLO,0.079,0.799,0.121,FOXT
0.9971,REBGLO,0.015,0.895,0.089,FOXT
0.9968,REBGLO,0.03,0.842,0.129,FOXT
0.997,REBGLO,0.079,0.799,0.121,FOXT
0.4939,REBGLO,0.0,0.936,0.064,FOXT
0.9979,REBGLO,0.0,0.807,0.193,FOXT
0.9711,REBGLO,0.03,0.874,0.096,FOXT
0.9976,REBGLO,0.004,0.84,0.156,FOXT
0.3612,REBGLO,0.0,0.95,0.05,FOXT
0.9826,REBGLO,0.011,0.913,0.076,FOXT
0.6801,REBGLO,0.0,0.917,0.083,FOXT
0.2819,REBGLO,0.119,0.724,0.156,FOXT
0.9662,REBGLO,0.037,0.881,0.082,FOXT
0.9893,REBGLO,0.016,0.913,0.071,FOXT
0.8442,REBGLO,0.096,0.784,0.12,FOXT
0.7518,REBGLO,0.074,0.83,0.097,FOXT
0.5719,REBGLO,0.0,0.954,0.046,FOXT
0.4871,REBGLO,0.0,0.982,0.018,FOXT
0.8467,REBGLO,0.056,0.856,0.088,FOXT
0.5859,REBGLO,0.0,0.808,0.192,FOXT
-0.9216,REBGLO,0.071,0.904,0.025,FOXT
-0.7252,REBGLO,0.059,0.907,0.034,FOXT
-0.973,REBGLO,0.096,0.878,0.026,FOXT
-0.5493,REBGLO,0.048,0.916,0.036,FOXT
0.9862,REBGLO,0.0,0.796,0.204,FOXT
0.5423,REBGLO,0.041,0.863,0.096,FOXT
-0.6444,REBGLO,0.085,0.831,0.084,FOXT
0.9957,REBGLO,0.011,0.833,0.156,FOXT
-0.2263,REBGLO,0.015,0.974,0.011,FOXT
0.5994,REBGLO,0.01,0.971,0.019,FOXT
-0.7096,REBGLO,0.02,0.975,0.004,FOXT
0.34,REBGLO,0.015,0.967,0.018,FOXT
-0.9282,REBGLO,0.127,0.852,0.021,FOXT
0.7717,REBGLO,0.0,0.974,0.026,FOXT
0.8481,REBGLO,0.0,0.977,0.023,FOXT
-0.2263,REBGLO,0.016,0.972,0.012,FOXT
0.8485,REBGLO,0.073,0.801,0.125,FOXT
0.9992,REBGLO,0.044,0.814,0.142,FOXT
0.4019,REBGLO,0.009,0.978,0.013,FOXT
0.7717,REBGLO,0.005,0.974,0.021,FOXT
0.6588,REBGLO,0.087,0.812,0.101,FOXT
0.9896,REBGLO,0.014,0.866,0.12,FOXT
0.9992,REBGLO,0.041,0.827,0.131,FOXT
0.9891,REBGLO,0.031,0.823,0.146,FOXT
0.9531,REBGLO,0.01,0.919,0.07,FOXT
0.968,REBGLO,0.054,0.849,0.097,FOXT
0.9914,REBGLO,0.014,0.872,0.113,FOXT
0.9775,REBGLO,0.03,0.909,0.061,FOXT
0.3612,REBGLO,0.006,0.982,0.012,FOXT
0.4939,REBGLO,0.016,0.964,0.021,FOXT
0.6757,REBGLO,0.036,0.885,0.08,FOXT
