compound,name,negative,neutral,positive,ticker
0.4602,REBGLO,0.066,0.863,0.07,FSBT
-0.9914,REBGLO,0.146,0.792,0.061,FSBT
-0.9914,REBGLO,0.147,0.791,0.062,FSBT
0.5803,REBGLO,0.03,0.923,0.046,FSBT
-0.8834,REBGLO,0.091,0.893,0.016,FSBT
0.2103,REBGLO,0.038,0.926,0.036,FSBT
0.9751,REBGLO,0.081,0.821,0.098,FSBT
-0.9999,REBGLO,0.12,0.792,0.088,FSBT
-0.9999,REBGLO,0.106,0.813,0.082,FSBT
0.9987,REBGLO,0.041,0.847,0.112,FSBT
0.9998,REBGLO,0.058,0.823,0.119,FSBT
0.128,REBGLO,0.02,0.962,0.019,FSBT
-0.9847,REBGLO,0.079,0.847,0.073,FSBT
0.9736,REBGLO,0.068,0.804,0.127,FSBT
-0.1655,REBGLO,0.05,0.921,0.029,FSBT
0.9229,REBGLO,0.055,0.86,0.085,FSBT
1.0,REBGLO,0.023,0.834,0.143,FSBT
0.9957,REBGLO,0.031,0.855,0.114,FSBT
0.9933,REBGLO,0.041,0.864,0.095,FSBT
0.9944,REBGLO,0.092,0.794,0.114,FSBT
0.9733,REBGLO,0.071,0.84,0.089,FSBT
0.9845,REBGLO,0.084,0.825,0.09,FSBT
0.991,REBGLO,0.101,0.763,0.136,FSBT
0.5106,REBGLO,0.005,0.98,0.015,FSBT
0.9387,REBGLO,0.015,0.921,0.064,FSBT
-0.9584,REBGLO,0.098,0.836,0.066,FSBT
0.9901,REBGLO,0.034,0.907,0.059,FSBT
0.9707,REBGLO,0.024,0.91,0.066,FSBT
0.9998,REBGLO,0.017,0.82,0.163,FSBT
0.9978,REBGLO,0.032,0.86,0.108,FSBT
0.9978,REBGLO,0.052,0.851,0.097,FSBT
0.9901,REBGLO,0.034,0.907,0.059,FSBT
0.9963,REBGLO,0.041,0.888,0.071,FSBT
0.9944,REBGLO,0.083,0.826,0.091,FSBT
0.9944,REBGLO,0.083,0.826,0.091,FSBT
0.9994,REBGLO,0.075,0.839,0.085,FSBT
0.7621,REBGLO,0.115,0.765,0.12,FSBT
-0.8932,REBGLO,0.022,0.956,0.022,FSBT
0.9589,REBGLO,0.017,0.918,0.065,FSBT
0.9997,REBGLO,0.057,0.818,0.124,FSBT
0.9997,REBGLO,0.057,0.818,0.124,FSBT
0.9919,REBGLO,0.032,0.908,0.06,FSBT
0.9996,REBGLO,0.058,0.824,0.118,FSBT
