compound,name,negative,neutral,positive,ticker
0.9972,REBGLO,0.022,0.895,0.083,GAI
0.9996,REBGLO,0.074,0.817,0.109,GAI
0.9854,REBGLO,0.0,0.883,0.117,GAI
0.9974,REBGLO,0.005,0.837,0.158,GAI
0.9875,REBGLO,0.009,0.887,0.104,GAI
0.9874,REBGLO,0.014,0.86,0.126,GAI
0.9906,REBGLO,0.048,0.801,0.151,GAI
-0.6144,REBGLO,0.061,0.885,0.054,GAI
0.9977,REBGLO,0.0,0.806,0.194,GAI
0.9979,REBGLO,0.0,0.807,0.193,GAI
-0.7096,REBGLO,0.03,0.963,0.006,GAI
0.4824,REBGLO,0.014,0.967,0.019,GAI
0.9899,REBGLO,0.038,0.81,0.152,GAI
0.9977,REBGLO,0.0,0.804,0.196,GAI
0.9947,REBGLO,0.034,0.876,0.09,GAI
0.9977,REBGLO,0.021,0.813,0.166,GAI
0.9941,REBGLO,0.034,0.878,0.088,GAI
-0.9895,REBGLO,0.01,0.987,0.003,GAI
0.9931,REBGLO,0.008,0.891,0.101,GAI
0.9929,REBGLO,0.035,0.805,0.16,GAI
0.9968,REBGLO,0.009,0.893,0.098,GAI
0.9969,REBGLO,0.009,0.893,0.098,GAI
0.9921,REBGLO,0.007,0.927,0.067,GAI
0.9929,REBGLO,0.007,0.926,0.067,GAI
0.9968,REBGLO,0.009,0.891,0.099,GAI
-0.5719,REBGLO,0.021,0.973,0.006,GAI
0.9941,REBGLO,0.034,0.878,0.088,GAI
0.9954,REBGLO,0.036,0.821,0.143,GAI
0.996,REBGLO,0.005,0.902,0.093,GAI
0.9319,REBGLO,0.049,0.792,0.159,GAI
0.9921,REBGLO,0.007,0.926,0.067,GAI
0.9956,REBGLO,0.005,0.899,0.095,GAI
-0.7973,REBGLO,0.061,0.892,0.047,GAI
-0.6504,REBGLO,0.062,0.883,0.054,GAI
0.9994,REBGLO,0.024,0.87,0.106,GAI
0.9908,REBGLO,0.036,0.839,0.125,GAI
0.9931,REBGLO,0.007,0.922,0.071,GAI
0.9908,REBGLO,0.036,0.839,0.125,GAI
0.9992,REBGLO,0.019,0.806,0.175,GAI
-0.6501,REBGLO,0.06,0.892,0.049,GAI
0.9997,REBGLO,0.033,0.803,0.164,GAI
0.9997,REBGLO,0.036,0.842,0.122,GAI
0.9951,REBGLO,0.014,0.872,0.114,GAI
0.9941,REBGLO,0.032,0.833,0.136,GAI
0.9997,REBGLO,0.033,0.803,0.164,GAI
0.9975,REBGLO,0.0,0.833,0.167,GAI
0.9744,REBGLO,0.039,0.876,0.085,GAI
0.4767,REBGLO,0.0,0.934,0.066,GAI
0.9153,REBGLO,0.026,0.909,0.065,GAI
0.9975,REBGLO,0.04,0.852,0.108,GAI
0.9994,REBGLO,0.027,0.86,0.113,GAI
0.4648,REBGLO,0.011,0.972,0.018,GAI
-0.3612,REBGLO,0.014,0.98,0.006,GAI
0.0,REBGLO,0.0,1.0,0.0,GAI
-0.9997,REBGLO,0.064,0.897,0.038,GAI
0.9979,REBGLO,0.005,0.978,0.017,GAI
0.9803,REBGLO,0.023,0.894,0.083,GAI
1.0,REBGLO,0.054,0.795,0.151,GAI
0.9992,REBGLO,0.019,0.806,0.175,GAI
0.9941,REBGLO,0.023,0.878,0.099,GAI
0.5766,REBGLO,0.005,0.982,0.013,GAI
0.368,REBGLO,0.009,0.978,0.013,GAI
0.9986,REBGLO,0.007,0.835,0.158,GAI
0.2263,REBGLO,0.0,0.994,0.006,GAI
0.9965,REBGLO,0.063,0.788,0.148,GAI
0.9919,REBGLO,0.018,0.874,0.108,GAI
0.6553,REBGLO,0.0,0.941,0.059,GAI
0.799,REBGLO,0.013,0.928,0.059,GAI
0.9774,REBGLO,0.021,0.877,0.102,GAI
0.631,REBGLO,0.013,0.929,0.058,GAI
0.9953,REBGLO,0.003,0.861,0.136,GAI
0.9792,REBGLO,0.021,0.849,0.13,GAI
0.9972,REBGLO,0.01,0.757,0.233,GAI
0.9805,REBGLO,0.004,0.871,0.125,GAI
0.9736,REBGLO,0.022,0.904,0.074,GAI
-0.9999,REBGLO,0.12,0.792,0.088,GAI
0.9957,REBGLO,0.02,0.897,0.083,GAI
0.9511,REBGLO,0.099,0.798,0.103,GAI
0.9992,REBGLO,0.031,0.828,0.141,GAI
0.9943,REBGLO,0.019,0.822,0.159,GAI
0.9974,REBGLO,0.045,0.828,0.126,GAI
0.9998,REBGLO,0.062,0.781,0.158,GAI
-0.2263,REBGLO,0.016,0.973,0.011,GAI
0.3612,REBGLO,0.005,0.984,0.011,GAI
0.897,REBGLO,0.0,0.928,0.072,GAI
0.8718,REBGLO,0.0,0.928,0.072,GAI
0.4588,REBGLO,0.005,0.98,0.015,GAI
0.7003,REBGLO,0.005,0.974,0.021,GAI
0.4767,REBGLO,0.01,0.973,0.017,GAI
0.5719,REBGLO,0.0,0.988,0.012,GAI
0.9992,REBGLO,0.027,0.823,0.15,GAI
0.7263,REBGLO,0.0,0.849,0.151,GAI
0.995,REBGLO,0.041,0.85,0.11,GAI
0.9995,REBGLO,0.0,0.829,0.171,GAI
0.9965,REBGLO,0.026,0.881,0.093,GAI
0.9995,REBGLO,0.023,0.806,0.171,GAI
0.9931,REBGLO,0.069,0.822,0.109,GAI
0.9952,REBGLO,0.021,0.897,0.083,GAI
0.9957,REBGLO,0.019,0.904,0.078,GAI
0.9957,REBGLO,0.019,0.902,0.079,GAI
