compound,name,negative,neutral,positive,ticker
0.9984,REBGLO,0.035,0.911,0.054,GIF
0.9794,REBGLO,0.049,0.891,0.06,GIF
0.9976,REBGLO,0.0,0.837,0.163,GIF
-1.0,REBGLO,0.089,0.883,0.029,GIF
0.9974,REBGLO,0.0,0.837,0.163,GIF
0.9999,REBGLO,0.021,0.881,0.097,GIF
0.9934,REBGLO,0.047,0.637,0.317,GIF
0.2957,REBGLO,0.034,0.925,0.042,GIF
0.914,REBGLO,0.001,0.993,0.006,GIF
0.9808,REBGLO,0.022,0.943,0.035,GIF
0.8344,REBGLO,0.094,0.77,0.136,GIF
1.0,REBGLO,0.029,0.784,0.188,GIF
0.9118,REBGLO,0.0,0.872,0.128,GIF
0.9941,REBGLO,0.066,0.835,0.099,GIF
0.7862,REBGLO,0.0,0.997,0.003,GIF
