compound,name,negative,neutral,positive,ticker
0.9162,REBGLO,0.044,0.848,0.108,GIFT
0.9974,REBGLO,0.005,0.837,0.158,GIFT
0.9669,REBGLO,0.0,0.863,0.137,GIFT
0.9953,REBGLO,0.0,0.68,0.32,GIFT
0.9789,REBGLO,0.007,0.89,0.103,GIFT
0.9862,REBGLO,0.0,0.796,0.204,GIFT
0.9818,REBGLO,0.019,0.935,0.046,GIFT
0.9844,REBGLO,0.014,0.841,0.145,GIFT
0.9953,REBGLO,0.013,0.846,0.141,GIFT
0.9926,REBGLO,0.007,0.86,0.133,GIFT
0.9991,REBGLO,0.018,0.816,0.166,GIFT
0.9217,REBGLO,0.016,0.909,0.076,GIFT
0.9994,REBGLO,0.022,0.855,0.123,GIFT
0.7003,REBGLO,0.047,0.848,0.105,GIFT
0.9843,REBGLO,0.0,0.831,0.169,GIFT
0.9996,REBGLO,0.018,0.769,0.213,GIFT
0.9922,REBGLO,0.004,0.869,0.127,GIFT
0.9781,REBGLO,0.045,0.884,0.071,GIFT
0.9993,REBGLO,0.011,0.766,0.223,GIFT
0.6908,REBGLO,0.0,0.749,0.251,GIFT
0.9999,REBGLO,0.007,0.813,0.181,GIFT
0.9954,REBGLO,0.028,0.829,0.143,GIFT
0.9148,REBGLO,0.039,0.854,0.107,GIFT
0.7955,REBGLO,0.068,0.82,0.113,GIFT
0.936,REBGLO,0.028,0.882,0.09,GIFT
0.9754,REBGLO,0.0,0.835,0.165,GIFT
0.9754,REBGLO,0.0,0.834,0.166,GIFT
0.9754,REBGLO,0.0,0.83,0.17,GIFT
0.999,REBGLO,0.041,0.842,0.117,GIFT
0.9754,REBGLO,0.0,0.835,0.165,GIFT
0.9754,REBGLO,0.0,0.835,0.165,GIFT
0.9959,REBGLO,0.01,0.846,0.143,GIFT
0.925,REBGLO,0.009,0.858,0.133,GIFT
0.8999,REBGLO,0.053,0.763,0.184,GIFT
0.9999,REBGLO,0.013,0.845,0.141,GIFT
0.9923,REBGLO,0.013,0.862,0.125,GIFT
0.9998,REBGLO,0.035,0.842,0.123,GIFT
0.872,REBGLO,0.0,0.74,0.26,GIFT
0.504,REBGLO,0.0,0.919,0.081,GIFT
0.9838,REBGLO,0.008,0.827,0.165,GIFT
0.9999,REBGLO,0.018,0.755,0.227,GIFT
0.9996,REBGLO,0.028,0.789,0.182,GIFT
0.9997,REBGLO,0.042,0.865,0.093,GIFT
0.9839,REBGLO,0.025,0.89,0.086,GIFT
0.9998,REBGLO,0.03,0.804,0.166,GIFT
0.608,REBGLO,0.075,0.812,0.113,GIFT
0.608,REBGLO,0.075,0.812,0.113,GIFT
0.872,REBGLO,0.0,0.74,0.26,GIFT
0.872,REBGLO,0.0,0.79,0.21,GIFT
0.9423,REBGLO,0.036,0.889,0.076,GIFT
0.9071,REBGLO,0.011,0.949,0.04,GIFT
0.7942,REBGLO,0.043,0.838,0.12,GIFT
-0.9127,REBGLO,0.16,0.805,0.035,GIFT
0.9169,REBGLO,0.06,0.845,0.095,GIFT
0.9921,REBGLO,0.039,0.859,0.101,GIFT
0.9337,REBGLO,0.062,0.83,0.107,GIFT
0.4391,REBGLO,0.113,0.753,0.134,GIFT
-0.9964,REBGLO,0.098,0.806,0.095,GIFT
-0.9964,REBGLO,0.098,0.806,0.095,GIFT
0.988,REBGLO,0.0,0.772,0.228,GIFT
0.9956,REBGLO,0.041,0.846,0.113,GIFT
-0.8455,REBGLO,0.142,0.772,0.086,GIFT
0.9996,REBGLO,0.041,0.819,0.14,GIFT
0.9944,REBGLO,0.037,0.813,0.15,GIFT
0.9531,REBGLO,0.081,0.82,0.099,GIFT
0.9998,REBGLO,0.035,0.841,0.123,GIFT
0.9996,REBGLO,0.041,0.819,0.14,GIFT
0.9325,REBGLO,0.064,0.848,0.088,GIFT
0.9968,REBGLO,0.013,0.874,0.113,GIFT
0.9946,REBGLO,0.02,0.762,0.217,GIFT
0.9371,REBGLO,0.057,0.817,0.127,GIFT
0.9944,REBGLO,0.177,0.466,0.357,GIFT
0.9998,REBGLO,0.037,0.865,0.099,GIFT
-0.9842,REBGLO,0.108,0.825,0.067,GIFT
0.8966,REBGLO,0.0,0.897,0.103,GIFT
-0.8796,REBGLO,0.069,0.886,0.045,GIFT
-0.9747,REBGLO,0.13,0.806,0.064,GIFT
-0.9777,REBGLO,0.113,0.831,0.056,GIFT
0.1635,REBGLO,0.086,0.803,0.111,GIFT
0.9471,REBGLO,0.039,0.89,0.071,GIFT
0.5542,REBGLO,0.04,0.896,0.064,GIFT
0.9971,REBGLO,0.039,0.826,0.135,GIFT
0.9985,REBGLO,0.044,0.845,0.11,GIFT
0.9997,REBGLO,0.033,0.821,0.146,GIFT
0.9898,REBGLO,0.063,0.793,0.144,GIFT
0.9977,REBGLO,0.017,0.845,0.138,GIFT
1.0,REBGLO,0.054,0.793,0.153,GIFT
1.0,REBGLO,0.054,0.793,0.153,GIFT
0.9979,REBGLO,0.022,0.793,0.185,GIFT
0.5542,REBGLO,0.04,0.896,0.064,GIFT
0.9967,REBGLO,0.067,0.794,0.14,GIFT
0.4588,REBGLO,0.05,0.888,0.062,GIFT
0.9972,REBGLO,0.016,0.852,0.131,GIFT
0.9998,REBGLO,0.035,0.842,0.123,GIFT
