compound,name,negative,neutral,positive,ticker
-0.9895,REBGLO,0.01,0.987,0.003,GIVE
0.9979,REBGLO,0.015,0.902,0.083,GIVE
-0.8986,REBGLO,0.154,0.701,0.144,GIVE
-0.8986,REBGLO,0.154,0.701,0.144,GIVE
0.9887,REBGLO,0.062,0.837,0.101,GIVE
-0.8986,REBGLO,0.154,0.701,0.144,GIVE
0.9935,REBGLO,0.104,0.714,0.182,GIVE
0.9707,REBGLO,0.041,0.785,0.174,GIVE
-0.9999,REBGLO,0.12,0.792,0.088,GIVE
-0.9999,REBGLO,0.115,0.803,0.082,GIVE
0.9931,REBGLO,0.015,0.869,0.116,GIVE
0.9957,REBGLO,0.064,0.736,0.201,GIVE
0.9993,REBGLO,0.073,0.825,0.102,GIVE
0.9937,REBGLO,0.108,0.734,0.158,GIVE
0.9071,REBGLO,0.011,0.949,0.04,GIVE
0.7184,REBGLO,0.0,0.838,0.162,GIVE
0.9995,REBGLO,0.057,0.812,0.131,GIVE
0.9796,REBGLO,0.007,0.911,0.082,GIVE
0.8074,REBGLO,0.017,0.914,0.07,GIVE
0.9968,REBGLO,0.134,0.7,0.166,GIVE
-0.9829,REBGLO,0.136,0.818,0.045,GIVE
0.9999,REBGLO,0.028,0.789,0.183,GIVE
0.9922,REBGLO,0.03,0.883,0.087,GIVE
0.9615,REBGLO,0.057,0.83,0.113,GIVE
0.9976,REBGLO,0.033,0.819,0.148,GIVE
-0.9954,REBGLO,0.059,0.895,0.046,GIVE
0.9978,REBGLO,0.022,0.849,0.129,GIVE
0.2006,REBGLO,0.1,0.79,0.11,GIVE
0.9999,REBGLO,0.024,0.867,0.109,GIVE
0.9981,REBGLO,0.013,0.855,0.132,GIVE
0.6597,REBGLO,0.027,0.899,0.074,GIVE
