compound,name,negative,neutral,positive,ticker
0.9956,REBGLO,0.009,0.818,0.174,GIZA
0.9882,REBGLO,0.015,0.89,0.095,GIZA
0.6553,REBGLO,0.0,0.984,0.016,GIZA
0.813,REBGLO,0.026,0.885,0.088,GIZA
0.8689,REBGLO,0.004,0.961,0.035,GIZA
-0.296,REBGLO,0.023,0.977,0.0,GIZA
-0.9636,REBGLO,0.06,0.917,0.023,GIZA
0.9992,REBGLO,0.044,0.814,0.142,GIZA
0.6757,REBGLO,0.036,0.885,0.08,GIZA
0.9927,REBGLO,0.009,0.872,0.119,GIZA
1.0,REBGLO,0.014,0.782,0.205,GIZA
0.999,REBGLO,0.048,0.837,0.115,GIZA
-1.0,REBGLO,0.153,0.766,0.081,GIZA
0.9968,REBGLO,0.027,0.902,0.071,GIZA
0.9999,REBGLO,0.015,0.856,0.128,GIZA
0.9993,REBGLO,0.021,0.886,0.092,GIZA
0.9984,REBGLO,0.042,0.86,0.098,GIZA
1.0,REBGLO,0.065,0.821,0.114,GIZA
0.9944,REBGLO,0.024,0.877,0.1,GIZA
0.6757,REBGLO,0.035,0.885,0.079,GIZA
0.9612,REBGLO,0.0,0.902,0.098,GIZA
0.997,REBGLO,0.003,0.875,0.122,GIZA
0.9745,REBGLO,0.024,0.886,0.09,GIZA
0.6633,REBGLO,0.079,0.837,0.084,GIZA
-0.9844,REBGLO,0.106,0.863,0.031,GIZA
0.995,REBGLO,0.008,0.784,0.208,GIZA
0.9974,REBGLO,0.036,0.843,0.121,GIZA
0.8689,REBGLO,0.004,0.961,0.035,GIZA
0.0258,REBGLO,0.155,0.68,0.165,GIZA
0.0258,REBGLO,0.156,0.678,0.166,GIZA
0.9992,REBGLO,0.029,0.852,0.119,GIZA
0.9847,REBGLO,0.025,0.872,0.103,GIZA
0.7579,REBGLO,0.005,0.96,0.034,GIZA
-1.0,REBGLO,0.089,0.883,0.029,GIZA
0.9978,REBGLO,0.057,0.819,0.124,GIZA
0.9988,REBGLO,0.046,0.831,0.123,GIZA
0.9945,REBGLO,0.015,0.861,0.125,GIZA
-0.0516,REBGLO,0.065,0.872,0.063,GIZA
0.9978,REBGLO,0.058,0.817,0.125,GIZA
0.9979,REBGLO,0.029,0.775,0.196,GIZA
0.9577,REBGLO,0.042,0.885,0.072,GIZA
0.0258,REBGLO,0.153,0.684,0.163,GIZA
0.0258,REBGLO,0.154,0.68,0.165,GIZA
0.996,REBGLO,0.005,0.902,0.093,GIZA
0.9769,REBGLO,0.0,0.76,0.24,GIZA
0.9982,REBGLO,0.027,0.866,0.108,GIZA
0.9088,REBGLO,0.048,0.876,0.075,GIZA
0.9956,REBGLO,0.005,0.899,0.095,GIZA
0.9916,REBGLO,0.009,0.878,0.113,GIZA
0.9978,REBGLO,0.056,0.822,0.122,GIZA
0.7676,REBGLO,0.005,0.989,0.006,GIZA
0.9977,REBGLO,0.058,0.819,0.123,GIZA
0.9753,REBGLO,0.01,0.87,0.119,GIZA
0.9978,REBGLO,0.056,0.822,0.122,GIZA
0.9978,REBGLO,0.032,0.805,0.162,GIZA
0.9788,REBGLO,0.009,0.872,0.119,GIZA
0.9946,REBGLO,0.024,0.872,0.103,GIZA
0.9736,REBGLO,0.086,0.793,0.121,GIZA
1.0,REBGLO,0.029,0.825,0.146,GIZA
-0.09,REBGLO,0.153,0.685,0.162,GIZA
0.9978,REBGLO,0.056,0.821,0.123,GIZA
0.9642,REBGLO,0.067,0.772,0.162,GIZA
0.9937,REBGLO,0.039,0.874,0.087,GIZA
0.9887,REBGLO,0.005,0.884,0.111,GIZA
0.9939,REBGLO,0.039,0.873,0.088,GIZA
0.9979,REBGLO,0.029,0.775,0.196,GIZA
-0.9651,REBGLO,0.083,0.85,0.067,GIZA
0.9312,REBGLO,0.022,0.884,0.094,GIZA
0.9943,REBGLO,0.055,0.802,0.143,GIZA
0.964,REBGLO,0.043,0.882,0.076,GIZA
0.9952,REBGLO,0.003,0.845,0.152,GIZA
0.9887,REBGLO,0.062,0.837,0.101,GIZA
0.6372,REBGLO,0.039,0.916,0.045,GIZA
0.6126,REBGLO,0.042,0.911,0.047,GIZA
0.9877,REBGLO,0.063,0.794,0.143,GIZA
0.25,REBGLO,0.092,0.795,0.113,GIZA
-0.9979,REBGLO,0.064,0.889,0.047,GIZA
-0.9987,REBGLO,0.07,0.879,0.05,GIZA
-0.9986,REBGLO,0.071,0.881,0.048,GIZA
-0.9981,REBGLO,0.071,0.88,0.049,GIZA
-0.999,REBGLO,0.072,0.878,0.05,GIZA
-0.9979,REBGLO,0.067,0.886,0.047,GIZA
-0.9579,REBGLO,0.07,0.871,0.058,GIZA
0.9968,REBGLO,0.062,0.813,0.126,GIZA
0.9946,REBGLO,0.006,0.884,0.11,GIZA
0.9996,REBGLO,0.018,0.769,0.213,GIZA
0.9921,REBGLO,0.008,0.848,0.144,GIZA
0.9833,REBGLO,0.071,0.765,0.164,GIZA
0.9888,REBGLO,0.018,0.855,0.127,GIZA
-0.998,REBGLO,0.069,0.883,0.048,GIZA
-0.9986,REBGLO,0.066,0.885,0.048,GIZA
0.9989,REBGLO,0.024,0.802,0.174,GIZA
-0.9631,REBGLO,0.106,0.843,0.051,GIZA
0.9933,REBGLO,0.036,0.875,0.089,GIZA
0.9975,REBGLO,0.04,0.852,0.108,GIZA
0.9996,REBGLO,0.03,0.838,0.132,GIZA
0.9241,REBGLO,0.034,0.897,0.068,GIZA
-0.8204,REBGLO,0.154,0.71,0.135,GIZA
0.9385,REBGLO,0.116,0.75,0.134,GIZA
0.9196,REBGLO,0.021,0.823,0.156,GIZA
