compound,name,negative,neutral,positive,ticker
0.9996,REBGLO,0.074,0.817,0.109,GOT
-0.5667,REBGLO,0.068,0.916,0.016,GOT
0.9659,REBGLO,0.01,0.91,0.08,GOT
0.9898,REBGLO,0.031,0.647,0.322,GOT
0.9789,REBGLO,0.007,0.89,0.103,GOT
0.3164,REBGLO,0.0,0.887,0.113,GOT
0.9893,REBGLO,0.016,0.913,0.071,GOT
-0.1766,REBGLO,0.095,0.804,0.101,GOT
0.5719,REBGLO,0.0,0.954,0.046,GOT
0.9862,REBGLO,0.0,0.796,0.204,GOT
0.8937,REBGLO,0.0,0.786,0.214,GOT
-0.4669,REBGLO,0.082,0.85,0.068,GOT
0.9891,REBGLO,0.031,0.823,0.146,GOT
0.1171,REBGLO,0.079,0.832,0.09,GOT
0.9695,REBGLO,0.08,0.75,0.171,GOT
-1.0,REBGLO,0.153,0.766,0.081,GOT
1.0,REBGLO,0.065,0.821,0.114,GOT
0.9999,REBGLO,0.044,0.829,0.127,GOT
0.8957,REBGLO,0.055,0.696,0.248,GOT
0.6991,REBGLO,0.122,0.719,0.159,GOT
-0.9171,REBGLO,0.105,0.848,0.047,GOT
0.9993,REBGLO,0.04,0.808,0.152,GOT
0.9442,REBGLO,0.0,0.577,0.423,GOT
0.9588,REBGLO,0.037,0.821,0.142,GOT
0.4602,REBGLO,0.066,0.863,0.07,GOT
0.9977,REBGLO,0.021,0.813,0.166,GOT
0.9937,REBGLO,0.046,0.84,0.113,GOT
-0.9925,REBGLO,0.077,0.855,0.067,GOT
-0.8979,REBGLO,0.128,0.821,0.051,GOT
0.9746,REBGLO,0.004,0.984,0.012,GOT
0.7709,REBGLO,0.059,0.87,0.071,GOT
0.9772,REBGLO,0.055,0.827,0.119,GOT
-0.9912,REBGLO,0.18,0.723,0.097,GOT
0.9948,REBGLO,0.047,0.86,0.093,GOT
0.7003,REBGLO,0.034,0.82,0.146,GOT
-0.6369,REBGLO,0.202,0.738,0.06,GOT
0.9673,REBGLO,0.092,0.782,0.126,GOT
-0.2853,REBGLO,0.092,0.807,0.1,GOT
0.9978,REBGLO,0.057,0.819,0.124,GOT
0.9988,REBGLO,0.046,0.831,0.123,GOT
0.0,REBGLO,0.0,1.0,0.0,GOT
0.9978,REBGLO,0.058,0.817,0.125,GOT
0.967,REBGLO,0.032,0.825,0.143,GOT
0.9266,REBGLO,0.048,0.861,0.09,GOT
0.9953,REBGLO,0.013,0.846,0.141,GOT
0.8997,REBGLO,0.026,0.864,0.11,GOT
-0.6962,REBGLO,0.103,0.79,0.107,GOT
-0.9999,REBGLO,0.137,0.772,0.091,GOT
0.8793,REBGLO,0.1,0.768,0.132,GOT
0.7727,REBGLO,0.014,0.903,0.084,GOT
0.4549,REBGLO,0.031,0.882,0.087,GOT
0.8926,REBGLO,0.06,0.85,0.09,GOT
0.9956,REBGLO,0.07,0.761,0.169,GOT
0.9978,REBGLO,0.056,0.822,0.122,GOT
-0.9992,REBGLO,0.139,0.767,0.094,GOT
0.9977,REBGLO,0.058,0.819,0.123,GOT
0.9978,REBGLO,0.056,0.822,0.122,GOT
-0.9717,REBGLO,0.09,0.875,0.034,GOT
0.7332,REBGLO,0.069,0.852,0.078,GOT
0.9978,REBGLO,0.056,0.821,0.123,GOT
0.7991,REBGLO,0.066,0.846,0.088,GOT
-0.0821,REBGLO,0.058,0.891,0.051,GOT
0.9992,REBGLO,0.019,0.806,0.175,GOT
-0.5994,REBGLO,0.118,0.806,0.076,GOT
0.9788,REBGLO,0.074,0.82,0.106,GOT
0.9645,REBGLO,0.035,0.83,0.135,GOT
0.9464,REBGLO,0.0,0.83,0.17,GOT
0.9965,REBGLO,0.003,0.883,0.114,GOT
0.0015,REBGLO,0.071,0.87,0.06,GOT
0.9943,REBGLO,0.055,0.802,0.143,GOT
0.9994,REBGLO,0.022,0.855,0.123,GOT
0.5803,REBGLO,0.03,0.923,0.046,GOT
0.9952,REBGLO,0.003,0.845,0.152,GOT
0.9887,REBGLO,0.062,0.837,0.101,GOT
0.9877,REBGLO,0.063,0.794,0.143,GOT
-0.9979,REBGLO,0.064,0.889,0.047,GOT
0.0991,REBGLO,0.039,0.926,0.034,GOT
-0.6501,REBGLO,0.06,0.892,0.049,GOT
0.9755,REBGLO,0.0,0.763,0.237,GOT
-0.9623,REBGLO,0.18,0.765,0.055,GOT
-0.9026,REBGLO,0.172,0.784,0.045,GOT
0.9305,REBGLO,0.066,0.788,0.145,GOT
0.9732,REBGLO,0.057,0.834,0.108,GOT
0.9984,REBGLO,0.03,0.883,0.087,GOT
0.9968,REBGLO,0.062,0.813,0.126,GOT
0.9996,REBGLO,0.018,0.769,0.213,GOT
0.9951,REBGLO,0.014,0.872,0.114,GOT
0.9959,REBGLO,0.061,0.843,0.096,GOT
0.9941,REBGLO,0.032,0.833,0.136,GOT
1.0,REBGLO,0.027,0.826,0.147,GOT
0.4646,REBGLO,0.118,0.756,0.126,GOT
0.9814,REBGLO,0.022,0.627,0.351,GOT
0.5573,REBGLO,0.054,0.881,0.065,GOT
-0.8062,REBGLO,0.095,0.832,0.073,GOT
0.9311,REBGLO,0.038,0.832,0.131,GOT
-0.9132,REBGLO,0.161,0.839,0.0,GOT
-0.0865,REBGLO,0.056,0.892,0.052,GOT
0.3205,REBGLO,0.055,0.835,0.11,GOT
0.6893,REBGLO,0.06,0.816,0.124,GOT
-0.9994,REBGLO,0.12,0.817,0.063,GOT
