compound,name,negative,neutral,positive,ticker
0.9972,REBGLO,0.022,0.895,0.083,HAW
0.9996,REBGLO,0.074,0.817,0.109,HAW
0.9854,REBGLO,0.0,0.883,0.117,HAW
0.2023,REBGLO,0.011,0.977,0.013,HAW
0.9956,REBGLO,0.009,0.818,0.174,HAW
0.9794,REBGLO,0.0,0.899,0.101,HAW
0.9861,REBGLO,0.003,0.896,0.102,HAW
0.9552,REBGLO,0.033,0.871,0.095,HAW
0.9994,REBGLO,0.009,0.938,0.053,HAW
0.997,REBGLO,0.079,0.799,0.121,HAW
0.9971,REBGLO,0.015,0.895,0.089,HAW
0.9996,REBGLO,0.04,0.761,0.199,HAW
0.9975,REBGLO,0.05,0.838,0.112,HAW
0.997,REBGLO,0.079,0.799,0.121,HAW
-0.866,REBGLO,0.163,0.718,0.119,HAW
0.995,REBGLO,0.032,0.808,0.16,HAW
0.4588,REBGLO,0.067,0.833,0.101,HAW
0.9843,REBGLO,0.028,0.838,0.134,HAW
0.9893,REBGLO,0.016,0.913,0.071,HAW
-0.962,REBGLO,0.147,0.779,0.074,HAW
0.8467,REBGLO,0.056,0.856,0.088,HAW
0.0516,REBGLO,0.046,0.895,0.059,HAW
0.8271,REBGLO,0.02,0.906,0.074,HAW
-0.0498,REBGLO,0.023,0.961,0.016,HAW
0.995,REBGLO,0.032,0.807,0.161,HAW
0.9447,REBGLO,0.017,0.945,0.037,HAW
0.999,REBGLO,0.042,0.855,0.102,HAW
0.9929,REBGLO,0.038,0.797,0.165,HAW
0.9992,REBGLO,0.041,0.827,0.131,HAW
0.9891,REBGLO,0.031,0.823,0.146,HAW
0.9531,REBGLO,0.01,0.919,0.07,HAW
0.995,REBGLO,0.032,0.811,0.158,HAW
0.9914,REBGLO,0.014,0.872,0.113,HAW
0.9775,REBGLO,0.03,0.909,0.061,HAW
0.9874,REBGLO,0.053,0.761,0.186,HAW
0.9927,REBGLO,0.009,0.872,0.119,HAW
0.9794,REBGLO,0.0,0.899,0.101,HAW
0.9994,REBGLO,0.074,0.777,0.149,HAW
1.0,REBGLO,0.014,0.782,0.205,HAW
0.9995,REBGLO,0.009,0.89,0.101,HAW
1.0,REBGLO,0.017,0.825,0.158,HAW
0.9998,REBGLO,0.024,0.86,0.117,HAW
0.9923,REBGLO,0.043,0.859,0.098,HAW
0.999,REBGLO,0.048,0.837,0.115,HAW
-1.0,REBGLO,0.153,0.766,0.081,HAW
0.9968,REBGLO,0.027,0.902,0.071,HAW
0.9997,REBGLO,0.021,0.851,0.128,HAW
0.9999,REBGLO,0.015,0.856,0.128,HAW
1.0,REBGLO,0.053,0.852,0.094,HAW
1.0,REBGLO,0.065,0.821,0.114,HAW
0.9999,REBGLO,0.044,0.829,0.127,HAW
0.9864,REBGLO,0.03,0.899,0.071,HAW
0.9864,REBGLO,0.029,0.901,0.069,HAW
0.9538,REBGLO,0.017,0.93,0.053,HAW
0.998,REBGLO,0.022,0.821,0.157,HAW
0.9996,REBGLO,0.007,0.853,0.139,HAW
0.9996,REBGLO,0.007,0.853,0.139,HAW
0.997,REBGLO,0.003,0.875,0.122,HAW
0.9538,REBGLO,0.017,0.93,0.053,HAW
0.998,REBGLO,0.022,0.822,0.157,HAW
0.9745,REBGLO,0.024,0.886,0.09,HAW
0.9993,REBGLO,0.04,0.808,0.152,HAW
0.9794,REBGLO,0.049,0.891,0.06,HAW
0.9985,REBGLO,0.029,0.807,0.164,HAW
0.4602,REBGLO,0.066,0.863,0.07,HAW
0.9985,REBGLO,0.033,0.752,0.214,HAW
0.0,REBGLO,0.0,1.0,0.0,HAW
0.981,REBGLO,0.02,0.915,0.065,HAW
-0.1476,REBGLO,0.056,0.891,0.053,HAW
0.9937,REBGLO,0.046,0.84,0.113,HAW
0.9963,REBGLO,0.034,0.863,0.103,HAW
0.9957,REBGLO,0.01,0.88,0.11,HAW
0.9816,REBGLO,0.005,0.919,0.077,HAW
0.9974,REBGLO,0.036,0.843,0.121,HAW
0.9977,REBGLO,0.015,0.875,0.11,HAW
-0.9925,REBGLO,0.077,0.855,0.067,HAW
0.0772,REBGLO,0.015,0.969,0.016,HAW
0.9746,REBGLO,0.004,0.984,0.012,HAW
0.9931,REBGLO,0.008,0.891,0.101,HAW
0.9992,REBGLO,0.029,0.852,0.119,HAW
-0.9829,REBGLO,0.095,0.869,0.036,HAW
0.529,REBGLO,0.133,0.72,0.147,HAW
0.9936,REBGLO,0.005,0.848,0.147,HAW
0.9685,REBGLO,0.067,0.82,0.113,HAW
0.981,REBGLO,0.02,0.86,0.119,HAW
0.9895,REBGLO,0.051,0.836,0.113,HAW
0.9942,REBGLO,0.051,0.819,0.13,HAW
0.947,REBGLO,0.008,0.913,0.079,HAW
0.9978,REBGLO,0.057,0.819,0.124,HAW
0.9988,REBGLO,0.046,0.831,0.123,HAW
0.9968,REBGLO,0.009,0.893,0.098,HAW
0.9969,REBGLO,0.009,0.893,0.098,HAW
0.0,REBGLO,0.0,1.0,0.0,HAW
0.9968,REBGLO,0.009,0.891,0.099,HAW
-0.5719,REBGLO,0.021,0.973,0.006,HAW
0.9978,REBGLO,0.058,0.817,0.125,HAW
0.9988,REBGLO,0.028,0.852,0.12,HAW
0.9577,REBGLO,0.042,0.885,0.072,HAW
0.9851,REBGLO,0.031,0.902,0.067,HAW
0.9341,REBGLO,0.023,0.86,0.117,HAW
