compound,name,negative,neutral,positive,ticker
0.9524,REBGLO,0.019,0.897,0.084,HMT
0.9945,REBGLO,0.026,0.886,0.087,HMT
0.931,REBGLO,0.0,0.854,0.146,HMT
0.9997,REBGLO,0.027,0.861,0.113,HMT
-1.0,REBGLO,0.153,0.766,0.081,HMT
0.9999,REBGLO,0.015,0.856,0.128,HMT
1.0,REBGLO,0.053,0.852,0.094,HMT
1.0,REBGLO,0.065,0.821,0.114,HMT
0.9944,REBGLO,0.024,0.877,0.1,HMT
0.9947,REBGLO,0.034,0.876,0.09,HMT
0.9941,REBGLO,0.034,0.878,0.088,HMT
0.9982,REBGLO,0.035,0.811,0.155,HMT
0.9957,REBGLO,0.01,0.88,0.11,HMT
0.3612,REBGLO,0.018,0.949,0.033,HMT
-1.0,REBGLO,0.089,0.883,0.029,HMT
0.9988,REBGLO,0.028,0.852,0.12,HMT
0.9577,REBGLO,0.042,0.885,0.072,HMT
0.9941,REBGLO,0.034,0.878,0.088,HMT
0.9994,REBGLO,0.02,0.825,0.155,HMT
0.6997,REBGLO,0.025,0.867,0.108,HMT
0.6997,REBGLO,0.016,0.915,0.069,HMT
0.9088,REBGLO,0.048,0.876,0.075,HMT
0.9664,REBGLO,0.055,0.84,0.105,HMT
0.8885,REBGLO,0.012,0.892,0.096,HMT
0.9946,REBGLO,0.024,0.872,0.103,HMT
0.9977,REBGLO,0.015,0.716,0.269,HMT
0.9992,REBGLO,0.019,0.806,0.175,HMT
0.9943,REBGLO,0.055,0.802,0.143,HMT
0.964,REBGLO,0.043,0.882,0.076,HMT
0.9975,REBGLO,0.026,0.868,0.106,HMT
0.9997,REBGLO,0.026,0.792,0.182,HMT
0.9997,REBGLO,0.036,0.842,0.122,HMT
0.9912,REBGLO,0.008,0.91,0.082,HMT
0.9866,REBGLO,0.051,0.871,0.078,HMT
0.9951,REBGLO,0.014,0.872,0.114,HMT
0.9959,REBGLO,0.061,0.843,0.096,HMT
0.9941,REBGLO,0.032,0.833,0.136,HMT
0.983,REBGLO,0.059,0.846,0.095,HMT
0.998,REBGLO,0.024,0.848,0.128,HMT
0.9993,REBGLO,0.011,0.766,0.223,HMT
0.9983,REBGLO,0.034,0.813,0.153,HMT
0.9728,REBGLO,0.045,0.853,0.102,HMT
0.995,REBGLO,0.002,0.889,0.109,HMT
0.9947,REBGLO,0.002,0.892,0.106,HMT
0.5574,REBGLO,0.052,0.88,0.068,HMT
0.9975,REBGLO,0.042,0.836,0.122,HMT
0.969,REBGLO,0.024,0.911,0.065,HMT
0.975,REBGLO,0.017,0.904,0.079,HMT
0.9992,REBGLO,0.019,0.806,0.175,HMT
0.982,REBGLO,0.008,0.925,0.067,HMT
0.9984,REBGLO,0.034,0.809,0.157,HMT
0.1157,REBGLO,0.058,0.861,0.081,HMT
0.996,REBGLO,0.03,0.877,0.093,HMT
0.9993,REBGLO,0.039,0.863,0.098,HMT
0.9906,REBGLO,0.056,0.807,0.137,HMT
0.8481,REBGLO,0.036,0.892,0.072,HMT
0.9836,REBGLO,0.031,0.878,0.09,HMT
0.9947,REBGLO,0.002,0.892,0.106,HMT
0.913,REBGLO,0.0,0.854,0.146,HMT
0.9945,REBGLO,0.043,0.88,0.077,HMT
0.9368,REBGLO,0.0,0.906,0.094,HMT
-0.9067,REBGLO,0.077,0.856,0.066,HMT
-0.86,REBGLO,0.077,0.853,0.07,HMT
0.9983,REBGLO,0.004,0.875,0.121,HMT
-0.7736,REBGLO,0.073,0.856,0.071,HMT
0.9511,REBGLO,0.099,0.798,0.103,HMT
-0.7736,REBGLO,0.073,0.856,0.071,HMT
0.9067,REBGLO,0.013,0.866,0.12,HMT
0.0,REBGLO,0.0,1.0,0.0,HMT
0.9998,REBGLO,0.058,0.823,0.119,HMT
0.9974,REBGLO,0.018,0.877,0.105,HMT
-0.9067,REBGLO,0.077,0.856,0.066,HMT
0.9945,REBGLO,0.043,0.88,0.077,HMT
0.9947,REBGLO,0.002,0.892,0.106,HMT
0.9945,REBGLO,0.043,0.88,0.077,HMT
0.9974,REBGLO,0.018,0.876,0.105,HMT
0.9974,REBGLO,0.019,0.876,0.106,HMT
0.9997,REBGLO,0.042,0.865,0.093,HMT
0.9809,REBGLO,0.01,0.881,0.109,HMT
0.9993,REBGLO,0.02,0.753,0.227,HMT
0.9996,REBGLO,0.024,0.888,0.089,HMT
0.9309,REBGLO,0.059,0.793,0.147,HMT
0.9711,REBGLO,0.011,0.842,0.147,HMT
0.796,REBGLO,0.013,0.916,0.071,HMT
0.9985,REBGLO,0.019,0.849,0.131,HMT
0.9991,REBGLO,0.023,0.773,0.204,HMT
0.9986,REBGLO,0.019,0.847,0.134,HMT
0.9898,REBGLO,0.041,0.867,0.092,HMT
0.9985,REBGLO,0.019,0.849,0.131,HMT
0.9985,REBGLO,0.019,0.849,0.131,HMT
-0.9067,REBGLO,0.077,0.856,0.066,HMT
0.9992,REBGLO,0.052,0.827,0.122,HMT
1.0,REBGLO,0.027,0.824,0.149,HMT
0.9997,REBGLO,0.026,0.887,0.087,HMT
0.983,REBGLO,0.033,0.864,0.103,HMT
0.983,REBGLO,0.033,0.866,0.101,HMT
-0.9406,REBGLO,0.083,0.854,0.063,HMT
0.9964,REBGLO,0.078,0.805,0.117,HMT
0.995,REBGLO,0.042,0.88,0.078,HMT
0.9947,REBGLO,0.002,0.896,0.102,HMT
