compound,name,negative,neutral,positive,ticker
0.9996,REBGLO,0.074,0.817,0.109,HYB
0.9882,REBGLO,0.015,0.89,0.095,HYB
0.9987,REBGLO,0.046,0.82,0.134,HYB
0.9862,REBGLO,0.0,0.796,0.204,HYB
0.9447,REBGLO,0.017,0.945,0.037,HYB
0.8481,REBGLO,0.0,0.977,0.023,HYB
0.9891,REBGLO,0.031,0.823,0.146,HYB
0.1171,REBGLO,0.079,0.832,0.09,HYB
0.9163,REBGLO,0.032,0.839,0.129,HYB
0.9163,REBGLO,0.032,0.839,0.129,HYB
-1.0,REBGLO,0.153,0.766,0.081,HYB
1.0,REBGLO,0.053,0.852,0.094,HYB
0.9926,REBGLO,0.007,0.903,0.089,HYB
0.9399,REBGLO,0.017,0.946,0.037,HYB
0.9635,REBGLO,0.074,0.767,0.158,HYB
0.4602,REBGLO,0.066,0.863,0.07,HYB
0.9982,REBGLO,0.035,0.811,0.155,HYB
-0.9912,REBGLO,0.18,0.723,0.097,HYB
0.9895,REBGLO,0.051,0.836,0.113,HYB
0.9942,REBGLO,0.051,0.819,0.13,HYB
0.354,REBGLO,0.071,0.85,0.079,HYB
0.8926,REBGLO,0.06,0.85,0.09,HYB
0.9922,REBGLO,0.056,0.845,0.099,HYB
1.0,REBGLO,0.026,0.707,0.267,HYB
0.8271,REBGLO,0.021,0.884,0.094,HYB
0.9431,REBGLO,0.0,0.89,0.11,HYB
0.9956,REBGLO,0.07,0.761,0.169,HYB
0.9399,REBGLO,0.017,0.946,0.037,HYB
0.9978,REBGLO,0.032,0.805,0.162,HYB
0.7332,REBGLO,0.069,0.852,0.078,HYB
0.9295,REBGLO,0.017,0.947,0.035,HYB
0.9908,REBGLO,0.036,0.839,0.125,HYB
0.9908,REBGLO,0.036,0.839,0.125,HYB
0.4215,REBGLO,0.0,0.763,0.237,HYB
0.9806,REBGLO,0.064,0.748,0.188,HYB
0.3071,REBGLO,0.019,0.926,0.055,HYB
0.9974,REBGLO,0.018,0.761,0.221,HYB
0.9997,REBGLO,0.02,0.841,0.139,HYB
0.9989,REBGLO,0.036,0.813,0.151,HYB
0.9818,REBGLO,0.037,0.889,0.074,HYB
0.9989,REBGLO,0.036,0.811,0.154,HYB
-0.9977,REBGLO,0.091,0.862,0.047,HYB
0.9942,REBGLO,0.052,0.86,0.088,HYB
0.0,REBGLO,0.0,1.0,0.0,HYB
0.9771,REBGLO,0.073,0.821,0.105,HYB
0.9989,REBGLO,0.036,0.813,0.152,HYB
0.8906,REBGLO,0.022,0.904,0.074,HYB
0.9783,REBGLO,0.031,0.826,0.143,HYB
0.9989,REBGLO,0.037,0.813,0.149,HYB
0.9954,REBGLO,0.028,0.829,0.143,HYB
0.1779,REBGLO,0.028,0.922,0.05,HYB
0.9983,REBGLO,0.034,0.813,0.153,HYB
0.9989,REBGLO,0.036,0.813,0.152,HYB
0.9945,REBGLO,0.044,0.844,0.112,HYB
0.9975,REBGLO,0.042,0.836,0.122,HYB
0.4588,REBGLO,0.011,0.972,0.018,HYB
1.0,REBGLO,0.054,0.795,0.151,HYB
0.9628,REBGLO,0.024,0.855,0.12,HYB
0.9856,REBGLO,0.018,0.646,0.336,HYB
0.994,REBGLO,0.048,0.857,0.095,HYB
0.9984,REBGLO,0.034,0.809,0.157,HYB
0.9674,REBGLO,0.026,0.849,0.125,HYB
0.9672,REBGLO,0.031,0.874,0.095,HYB
0.8271,REBGLO,0.057,0.835,0.108,HYB
0.8934,REBGLO,0.0,0.888,0.112,HYB
0.9411,REBGLO,0.027,0.86,0.112,HYB
0.9989,REBGLO,0.035,0.813,0.152,HYB
0.9904,REBGLO,0.015,0.688,0.297,HYB
0.9636,REBGLO,0.041,0.891,0.068,HYB
0.9647,REBGLO,0.06,0.839,0.101,HYB
0.4326,REBGLO,0.061,0.88,0.058,HYB
0.9876,REBGLO,0.019,0.892,0.09,HYB
0.8777,REBGLO,0.0,0.925,0.075,HYB
0.6103,REBGLO,0.047,0.885,0.068,HYB
0.993,REBGLO,0.069,0.781,0.151,HYB
0.9999,REBGLO,0.027,0.794,0.179,HYB
0.9877,REBGLO,0.012,0.858,0.13,HYB
0.9254,REBGLO,0.062,0.839,0.099,HYB
0.9982,REBGLO,0.067,0.854,0.079,HYB
0.9998,REBGLO,0.056,0.849,0.095,HYB
0.9504,REBGLO,0.021,0.785,0.194,HYB
-0.5849,REBGLO,0.179,0.821,0.0,HYB
0.9933,REBGLO,0.04,0.872,0.088,HYB
0.9254,REBGLO,0.062,0.838,0.099,HYB
0.9254,REBGLO,0.062,0.839,0.099,HYB
0.9933,REBGLO,0.04,0.872,0.088,HYB
-0.9999,REBGLO,0.12,0.792,0.088,HYB
0.5267,REBGLO,0.1,0.667,0.233,HYB
0.7837,REBGLO,0.078,0.812,0.11,HYB
0.9778,REBGLO,0.071,0.812,0.117,HYB
0.9718,REBGLO,0.019,0.893,0.088,HYB
-0.7611,REBGLO,0.079,0.851,0.07,HYB
0.9893,REBGLO,0.065,0.818,0.117,HYB
-0.4721,REBGLO,0.095,0.81,0.095,HYB
0.9714,REBGLO,0.021,0.894,0.086,HYB
0.9975,REBGLO,0.097,0.79,0.112,HYB
0.9974,REBGLO,0.045,0.828,0.126,HYB
-0.9999,REBGLO,0.115,0.803,0.082,HYB
0.9999,REBGLO,0.021,0.881,0.097,HYB
-0.5719,REBGLO,0.017,0.978,0.005,HYB
