compound,name,negative,neutral,positive,ticker
0.9794,REBGLO,0.049,0.891,0.06,ING
-0.6962,REBGLO,0.103,0.79,0.107,ING
0.0,REBGLO,0.0,1.0,0.0,ING
0.989,REBGLO,0.084,0.798,0.118,ING
0.0,REBGLO,0.0,1.0,0.0,ING
-0.6486,REBGLO,0.025,0.965,0.011,ING
0.9571,REBGLO,0.0,0.796,0.204,ING
-0.7622,REBGLO,0.11,0.82,0.07,ING
0.9847,REBGLO,0.005,0.905,0.09,ING
0.128,REBGLO,0.0,0.939,0.061,ING
0.2342,REBGLO,0.02,0.961,0.02,ING
0.9147,REBGLO,0.107,0.773,0.119,ING
0.9063,REBGLO,0.022,0.947,0.031,ING
0.8306,REBGLO,0.028,0.935,0.038,ING
