compound,name,negative,neutral,positive,ticker
0.9972,REBGLO,0.022,0.895,0.083,INS
0.9974,REBGLO,0.005,0.837,0.158,INS
0.9531,REBGLO,0.051,0.837,0.112,INS
0.9968,REBGLO,0.03,0.842,0.129,INS
0.9826,REBGLO,0.011,0.913,0.076,INS
0.9843,REBGLO,0.028,0.838,0.134,INS
0.9992,REBGLO,0.044,0.814,0.142,INS
0.9992,REBGLO,0.041,0.827,0.131,INS
-0.8429,REBGLO,0.087,0.85,0.063,INS
1.0,REBGLO,0.017,0.825,0.158,INS
0.9923,REBGLO,0.043,0.859,0.098,INS
1.0,REBGLO,0.065,0.821,0.114,INS
0.998,REBGLO,0.022,0.821,0.157,INS
0.9926,REBGLO,0.007,0.903,0.089,INS
0.998,REBGLO,0.022,0.822,0.157,INS
0.9955,REBGLO,0.009,0.889,0.102,INS
0.9977,REBGLO,0.015,0.875,0.11,INS
0.9341,REBGLO,0.023,0.86,0.117,INS
0.9231,REBGLO,0.013,0.915,0.071,INS
0.9904,REBGLO,0.0,0.768,0.232,INS
0.996,REBGLO,0.005,0.902,0.093,INS
0.9975,REBGLO,0.008,0.831,0.16,INS
0.9944,REBGLO,0.005,0.82,0.175,INS
0.9682,REBGLO,0.019,0.899,0.081,INS
0.8885,REBGLO,0.012,0.892,0.096,INS
0.9956,REBGLO,0.005,0.899,0.095,INS
0.9843,REBGLO,0.0,0.877,0.123,INS
0.5719,REBGLO,0.0,0.98,0.02,INS
0.9565,REBGLO,0.028,0.896,0.076,INS
0.9926,REBGLO,0.007,0.86,0.133,INS
0.999,REBGLO,0.017,0.737,0.247,INS
0.9927,REBGLO,0.025,0.879,0.095,INS
0.9808,REBGLO,0.041,0.862,0.097,INS
0.999,REBGLO,0.017,0.733,0.25,INS
0.9851,REBGLO,0.0,0.895,0.105,INS
1.0,REBGLO,0.029,0.825,0.146,INS
0.9569,REBGLO,0.031,0.899,0.069,INS
0.8885,REBGLO,0.0,0.947,0.053,INS
0.9887,REBGLO,0.005,0.884,0.111,INS
-0.9548,REBGLO,0.109,0.824,0.067,INS
0.9994,REBGLO,0.022,0.855,0.123,INS
-0.4059,REBGLO,0.159,0.736,0.105,INS
0.9246,REBGLO,0.0,0.778,0.222,INS
0.9971,REBGLO,0.017,0.823,0.16,INS
0.9414,REBGLO,0.093,0.763,0.144,INS
0.6486,REBGLO,0.023,0.929,0.048,INS
0.9638,REBGLO,0.017,0.901,0.082,INS
0.9638,REBGLO,0.017,0.901,0.082,INS
0.9941,REBGLO,0.032,0.833,0.136,INS
1.0,REBGLO,0.027,0.826,0.147,INS
0.9724,REBGLO,0.067,0.834,0.099,INS
0.9932,REBGLO,0.028,0.872,0.1,INS
0.9975,REBGLO,0.04,0.852,0.108,INS
0.9996,REBGLO,0.03,0.838,0.132,INS
0.1744,REBGLO,0.032,0.918,0.05,INS
0.1744,REBGLO,0.032,0.918,0.05,INS
0.9657,REBGLO,0.03,0.821,0.15,INS
0.9136,REBGLO,0.0,0.867,0.133,INS
0.9965,REBGLO,0.059,0.827,0.114,INS
0.9955,REBGLO,0.021,0.877,0.102,INS
0.8845,REBGLO,0.0,0.814,0.186,INS
0.9728,REBGLO,0.045,0.853,0.102,INS
0.949,REBGLO,0.037,0.894,0.069,INS
0.9917,REBGLO,0.069,0.815,0.116,INS
0.9983,REBGLO,0.005,0.857,0.138,INS
0.9531,REBGLO,0.05,0.841,0.109,INS
-0.8636,REBGLO,0.119,0.803,0.078,INS
0.9867,REBGLO,0.031,0.897,0.072,INS
0.9924,REBGLO,0.029,0.873,0.099,INS
0.9231,REBGLO,0.013,0.918,0.069,INS
-0.3612,REBGLO,0.011,0.985,0.005,INS
1.0,REBGLO,0.054,0.795,0.151,INS
0.994,REBGLO,0.048,0.857,0.095,INS
0.9638,REBGLO,0.017,0.903,0.08,INS
0.9936,REBGLO,0.0,0.842,0.158,INS
0.9953,REBGLO,0.007,0.861,0.132,INS
0.9897,REBGLO,0.008,0.848,0.144,INS
0.9924,REBGLO,0.042,0.843,0.116,INS
0.9908,REBGLO,0.038,0.799,0.162,INS
0.9928,REBGLO,0.009,0.888,0.102,INS
0.9671,REBGLO,0.019,0.91,0.071,INS
0.9928,REBGLO,0.009,0.891,0.1,INS
0.9989,REBGLO,0.046,0.833,0.121,INS
0.9923,REBGLO,0.004,0.916,0.08,INS
0.8091,REBGLO,0.065,0.837,0.098,INS
0.9628,REBGLO,0.008,0.871,0.121,INS
0.994,REBGLO,0.018,0.884,0.097,INS
0.9949,REBGLO,0.029,0.852,0.119,INS
0.9945,REBGLO,0.043,0.88,0.077,INS
0.9795,REBGLO,0.015,0.905,0.08,INS
0.9982,REBGLO,0.039,0.857,0.105,INS
0.9792,REBGLO,0.021,0.849,0.13,INS
0.9984,REBGLO,0.006,0.807,0.186,INS
0.9984,REBGLO,0.006,0.807,0.186,INS
0.9786,REBGLO,0.004,0.91,0.086,INS
0.9952,REBGLO,0.007,0.908,0.085,INS
0.4533,REBGLO,0.079,0.79,0.131,INS
0.9511,REBGLO,0.099,0.798,0.103,INS
0.9966,REBGLO,0.04,0.817,0.143,INS
0.658,REBGLO,0.029,0.829,0.142,INS
