compound,name,negative,neutral,positive,ticker
0.9996,REBGLO,0.074,0.817,0.109,INV
0.9794,REBGLO,0.0,0.899,0.101,INV
0.9798,REBGLO,0.039,0.772,0.189,INV
0.9949,REBGLO,0.005,0.857,0.138,INV
0.9968,REBGLO,0.03,0.842,0.129,INV
0.9996,REBGLO,0.04,0.761,0.199,INV
0.9949,REBGLO,0.005,0.855,0.14,INV
0.9794,REBGLO,0.0,0.899,0.101,INV
1.0,REBGLO,0.017,0.825,0.158,INV
0.9998,REBGLO,0.024,0.86,0.117,INV
0.9993,REBGLO,0.021,0.886,0.092,INV
1.0,REBGLO,0.053,0.852,0.094,INV
0.9999,REBGLO,0.044,0.829,0.127,INV
0.9745,REBGLO,0.024,0.886,0.09,INV
0.9928,REBGLO,0.028,0.856,0.116,INV
0.9949,REBGLO,0.005,0.855,0.14,INV
0.9992,REBGLO,0.029,0.852,0.119,INV
0.7709,REBGLO,0.059,0.87,0.071,INV
0.9936,REBGLO,0.005,0.848,0.147,INV
0.9837,REBGLO,0.034,0.876,0.09,INV
0.9961,REBGLO,0.026,0.812,0.162,INV
0.9176,REBGLO,0.0,0.738,0.262,INV
0.9984,REBGLO,0.039,0.784,0.177,INV
0.9948,REBGLO,0.043,0.846,0.111,INV
0.9664,REBGLO,0.015,0.902,0.083,INV
0.9956,REBGLO,0.005,0.853,0.142,INV
0.9992,REBGLO,0.037,0.843,0.12,INV
0.9991,REBGLO,0.038,0.84,0.122,INV
0.9851,REBGLO,0.0,0.895,0.105,INV
0.9775,REBGLO,0.01,0.893,0.097,INV
0.5407,REBGLO,0.093,0.772,0.135,INV
0.9903,REBGLO,0.03,0.86,0.11,INV
0.5917,REBGLO,0.064,0.864,0.072,INV
0.9801,REBGLO,0.012,0.89,0.098,INV
0.9879,REBGLO,0.0,0.888,0.112,INV
0.994,REBGLO,0.048,0.857,0.095,INV
0.9939,REBGLO,0.038,0.826,0.137,INV
-0.9709,REBGLO,0.158,0.821,0.021,INV
0.9505,REBGLO,0.028,0.855,0.117,INV
0.9908,REBGLO,0.038,0.799,0.162,INV
0.998,REBGLO,0.01,0.875,0.116,INV
0.5407,REBGLO,0.093,0.772,0.135,INV
0.8832,REBGLO,0.0,0.926,0.074,INV
0.9999,REBGLO,0.013,0.845,0.141,INV
0.9792,REBGLO,0.021,0.849,0.13,INV
0.9608,REBGLO,0.029,0.865,0.105,INV
0.9935,REBGLO,0.003,0.878,0.12,INV
0.9983,REBGLO,0.004,0.875,0.121,INV
0.995,REBGLO,0.087,0.782,0.131,INV
0.9894,REBGLO,0.041,0.863,0.096,INV
0.9891,REBGLO,0.068,0.818,0.114,INV
0.9836,REBGLO,0.025,0.762,0.213,INV
0.5407,REBGLO,0.093,0.772,0.135,INV
0.9992,REBGLO,0.027,0.823,0.15,INV
0.9913,REBGLO,0.024,0.842,0.134,INV
0.9996,REBGLO,0.024,0.888,0.089,INV
0.9898,REBGLO,0.041,0.867,0.092,INV
0.9968,REBGLO,0.093,0.774,0.133,INV
0.9993,REBGLO,0.073,0.825,0.102,INV
0.9989,REBGLO,0.025,0.871,0.104,INV
0.9952,REBGLO,0.019,0.843,0.138,INV
0.9407,REBGLO,0.0,0.942,0.058,INV
1.0,REBGLO,0.027,0.824,0.149,INV
0.9997,REBGLO,0.026,0.887,0.087,INV
0.8271,REBGLO,0.069,0.861,0.07,INV
0.7615,REBGLO,0.069,0.862,0.069,INV
0.9939,REBGLO,0.05,0.82,0.13,INV
-0.8481,REBGLO,0.132,0.799,0.069,INV
0.9953,REBGLO,0.022,0.841,0.137,INV
0.9995,REBGLO,0.023,0.871,0.106,INV
0.5994,REBGLO,0.026,0.927,0.047,INV
0.9946,REBGLO,0.014,0.892,0.093,INV
0.9963,REBGLO,0.018,0.895,0.086,INV
0.9854,REBGLO,0.0,0.888,0.112,INV
0.9986,REBGLO,0.007,0.924,0.069,INV
0.9449,REBGLO,0.033,0.851,0.115,INV
0.9949,REBGLO,0.019,0.845,0.136,INV
-0.942,REBGLO,0.069,0.869,0.062,INV
1.0,REBGLO,0.025,0.825,0.15,INV
0.9218,REBGLO,0.039,0.878,0.083,INV
0.9782,REBGLO,0.024,0.907,0.069,INV
-0.9964,REBGLO,0.098,0.806,0.095,INV
-0.9964,REBGLO,0.098,0.806,0.095,INV
0.9939,REBGLO,0.03,0.889,0.081,INV
0.9531,REBGLO,0.047,0.854,0.099,INV
0.9951,REBGLO,0.057,0.852,0.091,INV
0.9939,REBGLO,0.03,0.889,0.081,INV
0.9665,REBGLO,0.009,0.911,0.08,INV
-0.9916,REBGLO,0.109,0.817,0.075,INV
0.9493,REBGLO,0.0,0.903,0.097,INV
0.7096,REBGLO,0.0,0.942,0.058,INV
-0.9371,REBGLO,0.091,0.863,0.046,INV
0.9985,REBGLO,0.046,0.836,0.118,INV
-0.9371,REBGLO,0.091,0.863,0.046,INV
0.9979,REBGLO,0.007,0.842,0.151,INV
0.9996,REBGLO,0.032,0.818,0.15,INV
0.9189,REBGLO,0.115,0.671,0.215,INV
0.9945,REBGLO,0.04,0.839,0.121,INV
0.991,REBGLO,0.101,0.763,0.136,INV
0.9643,REBGLO,0.008,0.929,0.063,INV
