compound,name,negative,neutral,positive,ticker
0.5411,REBGLO,0.02,0.948,0.031,IPS
0.9968,REBGLO,0.007,0.894,0.099,IPS
0.6372,REBGLO,0.039,0.916,0.045,IPS
0.6126,REBGLO,0.042,0.911,0.047,IPS
0.998,REBGLO,0.089,0.752,0.16,IPS
0.9979,REBGLO,0.005,0.978,0.017,IPS
0.9876,REBGLO,0.076,0.824,0.101,IPS
-0.996,REBGLO,0.098,0.837,0.064,IPS
-0.2278,REBGLO,0.005,0.992,0.004,IPS
-0.4878,REBGLO,0.005,0.991,0.004,IPS
0.7983,REBGLO,0.01,0.965,0.026,IPS
0.2263,REBGLO,0.0,0.993,0.007,IPS
-0.9964,REBGLO,0.098,0.806,0.095,IPS
-0.9964,REBGLO,0.098,0.806,0.095,IPS
0.9989,REBGLO,0.047,0.786,0.167,IPS
0.994,REBGLO,0.062,0.821,0.117,IPS
0.9456,REBGLO,0.02,0.929,0.051,IPS
0.9456,REBGLO,0.02,0.929,0.051,IPS
0.5411,REBGLO,0.02,0.948,0.031,IPS
0.8992,REBGLO,0.019,0.934,0.047,IPS
0.9989,REBGLO,0.047,0.786,0.167,IPS
0.8074,REBGLO,0.012,0.936,0.052,IPS
0.8924,REBGLO,0.021,0.933,0.046,IPS
-0.9998,REBGLO,0.109,0.801,0.091,IPS
-0.9998,REBGLO,0.109,0.801,0.091,IPS
0.9432,REBGLO,0.04,0.916,0.044,IPS
0.9432,REBGLO,0.04,0.916,0.044,IPS
