compound,name,negative,neutral,positive,ticker
0.9996,REBGLO,0.074,0.817,0.109,IPSX
0.9882,REBGLO,0.015,0.89,0.095,IPSX
0.6553,REBGLO,0.0,0.984,0.016,IPSX
0.9861,REBGLO,0.003,0.896,0.102,IPSX
0.9976,REBGLO,0.004,0.839,0.157,IPSX
0.9976,REBGLO,0.004,0.84,0.156,IPSX
0.9826,REBGLO,0.011,0.913,0.076,IPSX
0.6553,REBGLO,0.0,0.9,0.1,IPSX
0.4871,REBGLO,0.0,0.982,0.018,IPSX
-0.5493,REBGLO,0.048,0.916,0.036,IPSX
0.9992,REBGLO,0.044,0.814,0.142,IPSX
0.997,REBGLO,0.0,0.878,0.122,IPSX
0.9994,REBGLO,0.074,0.777,0.149,IPSX
1.0,REBGLO,0.017,0.825,0.158,IPSX
0.9998,REBGLO,0.024,0.86,0.117,IPSX
0.9997,REBGLO,0.027,0.861,0.113,IPSX
-1.0,REBGLO,0.153,0.766,0.081,IPSX
0.9999,REBGLO,0.015,0.856,0.128,IPSX
0.9992,REBGLO,0.035,0.866,0.099,IPSX
0.9911,REBGLO,0.033,0.888,0.079,IPSX
0.9831,REBGLO,0.025,0.89,0.085,IPSX
0.9612,REBGLO,0.0,0.902,0.098,IPSX
0.7402,REBGLO,0.032,0.9,0.068,IPSX
0.997,REBGLO,0.003,0.875,0.122,IPSX
0.9667,REBGLO,0.008,0.877,0.115,IPSX
0.8981,REBGLO,0.056,0.771,0.172,IPSX
0.9947,REBGLO,0.034,0.876,0.09,IPSX
0.9941,REBGLO,0.034,0.878,0.088,IPSX
0.9937,REBGLO,0.046,0.84,0.113,IPSX
0.9413,REBGLO,0.011,0.949,0.04,IPSX
0.9955,REBGLO,0.009,0.889,0.102,IPSX
0.9992,REBGLO,0.029,0.852,0.119,IPSX
0.9618,REBGLO,0.02,0.876,0.104,IPSX
0.9847,REBGLO,0.025,0.872,0.103,IPSX
0.9948,REBGLO,0.047,0.86,0.093,IPSX
0.929,REBGLO,0.058,0.757,0.185,IPSX
0.9937,REBGLO,0.006,0.82,0.174,IPSX
0.9921,REBGLO,0.007,0.927,0.067,IPSX
0.9929,REBGLO,0.007,0.926,0.067,IPSX
0.9941,REBGLO,0.034,0.878,0.088,IPSX
0.9967,REBGLO,0.006,0.843,0.15,IPSX
0.9975,REBGLO,0.008,0.831,0.16,IPSX
0.9921,REBGLO,0.007,0.926,0.067,IPSX
0.9989,REBGLO,0.026,0.762,0.212,IPSX
0.9927,REBGLO,0.025,0.879,0.095,IPSX
0.9816,REBGLO,0.027,0.824,0.15,IPSX
1.0,REBGLO,0.029,0.825,0.146,IPSX
-0.916,REBGLO,0.074,0.902,0.024,IPSX
-0.9522,REBGLO,0.082,0.867,0.051,IPSX
0.9569,REBGLO,0.031,0.899,0.069,IPSX
0.9994,REBGLO,0.024,0.87,0.106,IPSX
0.9931,REBGLO,0.007,0.922,0.071,IPSX
0.9995,REBGLO,0.075,0.812,0.113,IPSX
0.9268,REBGLO,0.052,0.861,0.087,IPSX
0.9939,REBGLO,0.039,0.873,0.088,IPSX
0.9994,REBGLO,0.022,0.855,0.123,IPSX
0.296,REBGLO,0.0,0.968,0.032,IPSX
0.9001,REBGLO,0.054,0.827,0.119,IPSX
0.9638,REBGLO,0.017,0.901,0.082,IPSX
0.9638,REBGLO,0.017,0.901,0.082,IPSX
0.9997,REBGLO,0.02,0.841,0.139,IPSX
0.9984,REBGLO,0.03,0.883,0.087,IPSX
0.9964,REBGLO,0.061,0.829,0.11,IPSX
0.9988,REBGLO,0.006,0.853,0.14,IPSX
1.0,REBGLO,0.027,0.826,0.147,IPSX
0.9231,REBGLO,0.058,0.838,0.104,IPSX
0.9753,REBGLO,0.067,0.811,0.122,IPSX
0.9942,REBGLO,0.052,0.86,0.088,IPSX
0.9781,REBGLO,0.045,0.884,0.071,IPSX
-0.9948,REBGLO,0.072,0.886,0.042,IPSX
0.9187,REBGLO,0.021,0.893,0.086,IPSX
0.9837,REBGLO,0.014,0.881,0.105,IPSX
0.9986,REBGLO,0.018,0.802,0.179,IPSX
0.1744,REBGLO,0.032,0.918,0.05,IPSX
0.1744,REBGLO,0.032,0.918,0.05,IPSX
0.6553,REBGLO,0.0,0.941,0.059,IPSX
0.9784,REBGLO,0.0,0.86,0.14,IPSX
0.9994,REBGLO,0.027,0.86,0.113,IPSX
0.9989,REBGLO,0.037,0.813,0.149,IPSX
0.998,REBGLO,0.089,0.752,0.16,IPSX
0.995,REBGLO,0.002,0.889,0.109,IPSX
0.949,REBGLO,0.037,0.894,0.069,IPSX
-0.8252,REBGLO,0.092,0.817,0.091,IPSX
0.9891,REBGLO,0.036,0.866,0.098,IPSX
-0.5926,REBGLO,0.043,0.922,0.035,IPSX
0.9917,REBGLO,0.057,0.791,0.152,IPSX
-0.5609,REBGLO,0.097,0.825,0.077,IPSX
-0.9997,REBGLO,0.064,0.897,0.038,IPSX
0.9893,REBGLO,0.073,0.834,0.093,IPSX
0.936,REBGLO,0.028,0.882,0.09,IPSX
1.0,REBGLO,0.054,0.795,0.151,IPSX
0.9638,REBGLO,0.017,0.903,0.08,IPSX
0.9936,REBGLO,0.0,0.842,0.158,IPSX
0.9873,REBGLO,0.02,0.856,0.124,IPSX
0.9998,REBGLO,0.076,0.755,0.17,IPSX
-0.8834,REBGLO,0.137,0.78,0.082,IPSX
0.9998,REBGLO,0.014,0.824,0.163,IPSX
0.9958,REBGLO,0.0,0.839,0.161,IPSX
0.9986,REBGLO,0.007,0.835,0.158,IPSX
0.996,REBGLO,0.03,0.877,0.093,IPSX
