compound,name,negative,neutral,positive,ticker
0.5424,REBGLO,0.074,0.844,0.082,KGT
0.7717,REBGLO,0.0,0.974,0.026,KGT
1.0,REBGLO,0.065,0.821,0.114,KGT
0.5424,REBGLO,0.074,0.844,0.082,KGT
-1.0,REBGLO,0.089,0.883,0.029,KGT
0.7717,REBGLO,0.0,0.973,0.027,KGT
0.9808,REBGLO,0.041,0.862,0.097,KGT
0.9643,REBGLO,0.034,0.856,0.11,KGT
0.9978,REBGLO,0.03,0.847,0.123,KGT
0.9994,REBGLO,0.022,0.855,0.123,KGT
0.9056,REBGLO,0.052,0.844,0.104,KGT
0.7609,REBGLO,0.078,0.842,0.081,KGT
0.6878,REBGLO,0.07,0.866,0.065,KGT
0.9975,REBGLO,0.016,0.844,0.14,KGT
0.9936,REBGLO,0.0,0.842,0.158,KGT
0.8872,REBGLO,0.063,0.861,0.076,KGT
0.9999,REBGLO,0.013,0.845,0.141,KGT
0.99,REBGLO,0.052,0.83,0.118,KGT
0.9503,REBGLO,0.028,0.872,0.1,KGT
0.8934,REBGLO,0.051,0.877,0.071,KGT
0.8934,REBGLO,0.051,0.878,0.071,KGT
0.9974,REBGLO,0.018,0.877,0.105,KGT
0.9974,REBGLO,0.018,0.876,0.105,KGT
0.9996,REBGLO,0.01,0.756,0.234,KGT
0.9974,REBGLO,0.019,0.876,0.106,KGT
0.9996,REBGLO,0.009,0.764,0.227,KGT
0.9996,REBGLO,0.01,0.755,0.236,KGT
0.9996,REBGLO,0.01,0.755,0.235,KGT
0.9996,REBGLO,0.01,0.755,0.235,KGT
0.1731,REBGLO,0.059,0.871,0.07,KGT
0.9983,REBGLO,0.027,0.876,0.097,KGT
0.9932,REBGLO,0.043,0.84,0.117,KGT
1.0,REBGLO,0.027,0.824,0.149,KGT
0.9939,REBGLO,0.05,0.82,0.13,KGT
0.9999,REBGLO,0.032,0.843,0.125,KGT
0.9985,REBGLO,0.031,0.864,0.105,KGT
-0.276,REBGLO,0.1,0.799,0.1,KGT
1.0,REBGLO,0.025,0.825,0.15,KGT
1.0,REBGLO,0.023,0.834,0.143,KGT
0.9992,REBGLO,0.024,0.82,0.156,KGT
0.998,REBGLO,0.026,0.856,0.117,KGT
0.9995,REBGLO,0.012,0.929,0.06,KGT
0.9384,REBGLO,0.015,0.886,0.099,KGT
0.9956,REBGLO,0.041,0.846,0.113,KGT
0.9986,REBGLO,0.016,0.853,0.131,KGT
0.9998,REBGLO,0.019,0.869,0.112,KGT
0.9936,REBGLO,0.061,0.803,0.136,KGT
0.9985,REBGLO,0.059,0.794,0.147,KGT
0.9936,REBGLO,0.061,0.803,0.136,KGT
0.9325,REBGLO,0.064,0.848,0.088,KGT
0.9999,REBGLO,0.033,0.822,0.145,KGT
-0.0312,REBGLO,0.083,0.832,0.085,KGT
0.9863,REBGLO,0.035,0.867,0.099,KGT
0.9998,REBGLO,0.046,0.79,0.165,KGT
0.9967,REBGLO,0.04,0.857,0.103,KGT
0.9998,REBGLO,0.036,0.814,0.15,KGT
0.996,REBGLO,0.034,0.859,0.107,KGT
1.0,REBGLO,0.054,0.793,0.153,KGT
1.0,REBGLO,0.054,0.793,0.153,KGT
0.9919,REBGLO,0.008,0.902,0.091,KGT
-0.4287,REBGLO,0.086,0.825,0.09,KGT
-0.9892,REBGLO,0.101,0.842,0.057,KGT
0.9315,REBGLO,0.063,0.852,0.085,KGT
0.9874,REBGLO,0.008,0.911,0.081,KGT
0.9811,REBGLO,0.048,0.833,0.119,KGT
