compound,name,negative,neutral,positive,ticker
0.8382,REBGLO,0.059,0.82,0.121,KIN
0.7906,REBGLO,0.0,0.98,0.02,KIN
0.9998,REBGLO,0.03,0.804,0.166,KIN
0.6369,REBGLO,0.024,0.88,0.096,KIN
0.7239,REBGLO,0.084,0.818,0.098,KIN
0.9936,REBGLO,0.061,0.803,0.136,KIN
0.9936,REBGLO,0.061,0.803,0.136,KIN
0.9547,REBGLO,0.023,0.918,0.059,KIN
-0.1372,REBGLO,0.117,0.783,0.1,KIN
-0.3818,REBGLO,0.155,0.726,0.12,KIN
-0.4118,REBGLO,0.077,0.851,0.072,KIN
0.8779,REBGLO,0.02,0.902,0.078,KIN
0.7579,REBGLO,0.0,0.948,0.052,KIN
0.8779,REBGLO,0.02,0.903,0.078,KIN
0.8779,REBGLO,0.02,0.903,0.078,KIN
-0.296,REBGLO,0.048,0.883,0.068,KIN
-0.296,REBGLO,0.049,0.883,0.069,KIN
0.9994,REBGLO,0.075,0.839,0.085,KIN
