compound,name,negative,neutral,positive,ticker
-0.9994,REBGLO,0.194,0.742,0.064,KIND
-0.8481,REBGLO,0.455,0.545,0.0,KIND
0.9992,REBGLO,0.041,0.827,0.131,KIND
0.9994,REBGLO,0.074,0.777,0.149,KIND
1.0,REBGLO,0.014,0.782,0.205,KIND
-1.0,REBGLO,0.153,0.766,0.081,KIND
1.0,REBGLO,0.065,0.821,0.114,KIND
0.9944,REBGLO,0.024,0.877,0.1,KIND
0.6633,REBGLO,0.079,0.837,0.084,KIND
0.6428,REBGLO,0.049,0.889,0.061,KIND
-0.9829,REBGLO,0.095,0.869,0.036,KIND
-0.9993,REBGLO,0.188,0.747,0.066,KIND
0.9806,REBGLO,0.032,0.859,0.109,KIND
-0.8188,REBGLO,0.081,0.85,0.069,KIND
0.9946,REBGLO,0.024,0.872,0.103,KIND
0.9921,REBGLO,0.002,0.894,0.103,KIND
0.9978,REBGLO,0.03,0.847,0.123,KIND
0.9943,REBGLO,0.055,0.802,0.143,KIND
0.9934,REBGLO,0.029,0.831,0.14,KIND
-0.9992,REBGLO,0.199,0.746,0.055,KIND
0.9997,REBGLO,0.036,0.842,0.122,KIND
-0.9977,REBGLO,0.091,0.862,0.047,KIND
0.998,REBGLO,0.024,0.848,0.128,KIND
0.9783,REBGLO,0.031,0.826,0.143,KIND
0.9999,REBGLO,0.007,0.813,0.181,KIND
0.9977,REBGLO,0.024,0.821,0.155,KIND
-0.5401,REBGLO,0.091,0.823,0.087,KIND
0.996,REBGLO,0.027,0.834,0.139,KIND
0.3612,REBGLO,0.055,0.83,0.115,KIND
1.0,REBGLO,0.054,0.795,0.151,KIND
-0.9801,REBGLO,0.103,0.833,0.064,KIND
0.9917,REBGLO,0.014,0.693,0.293,KIND
0.9923,REBGLO,0.038,0.818,0.144,KIND
0.9981,REBGLO,0.025,0.869,0.105,KIND
0.34,REBGLO,0.0,0.989,0.011,KIND
0.8091,REBGLO,0.065,0.837,0.098,KIND
0.9919,REBGLO,0.028,0.842,0.13,KIND
0.994,REBGLO,0.04,0.805,0.155,KIND
-0.7783,REBGLO,0.185,0.815,0.0,KIND
0.9231,REBGLO,0.032,0.894,0.074,KIND
0.9999,REBGLO,0.013,0.845,0.141,KIND
0.9964,REBGLO,0.029,0.881,0.09,KIND
-0.9617,REBGLO,0.138,0.853,0.009,KIND
0.8016,REBGLO,0.013,0.904,0.083,KIND
-0.7003,REBGLO,0.13,0.83,0.04,KIND
0.9756,REBGLO,0.007,0.846,0.147,KIND
0.9511,REBGLO,0.099,0.798,0.103,KIND
0.9998,REBGLO,0.035,0.842,0.123,KIND
0.9816,REBGLO,0.026,0.874,0.1,KIND
0.296,REBGLO,0.043,0.904,0.052,KIND
0.9943,REBGLO,0.019,0.822,0.159,KIND
0.9975,REBGLO,0.097,0.79,0.112,KIND
0.7096,REBGLO,0.0,0.926,0.074,KIND
0.7425,REBGLO,0.0,0.897,0.103,KIND
0.9998,REBGLO,0.058,0.823,0.119,KIND
0.9969,REBGLO,0.029,0.878,0.093,KIND
0.9982,REBGLO,0.039,0.791,0.171,KIND
0.9944,REBGLO,0.003,0.867,0.13,KIND
0.9999,REBGLO,0.021,0.881,0.097,KIND
0.9999,REBGLO,0.018,0.755,0.227,KIND
-0.9994,REBGLO,0.194,0.742,0.064,KIND
0.9973,REBGLO,0.031,0.805,0.163,KIND
0.9869,REBGLO,0.046,0.822,0.132,KIND
0.9996,REBGLO,0.028,0.789,0.182,KIND
-0.9993,REBGLO,0.19,0.744,0.066,KIND
0.9997,REBGLO,0.042,0.865,0.093,KIND
-0.9599,REBGLO,0.073,0.909,0.018,KIND
0.9992,REBGLO,0.007,0.798,0.195,KIND
0.9964,REBGLO,0.029,0.879,0.091,KIND
0.9402,REBGLO,0.01,0.897,0.092,KIND
0.6453,REBGLO,0.033,0.905,0.062,KIND
0.9995,REBGLO,0.033,0.816,0.151,KIND
-0.8885,REBGLO,0.099,0.849,0.052,KIND
0.9982,REBGLO,0.039,0.792,0.169,KIND
0.9624,REBGLO,0.06,0.838,0.103,KIND
0.9986,REBGLO,0.011,0.889,0.1,KIND
0.9984,REBGLO,0.051,0.858,0.091,KIND
0.783,REBGLO,0.037,0.905,0.058,KIND
-0.296,REBGLO,0.044,0.956,0.0,KIND
0.9533,REBGLO,0.085,0.697,0.218,KIND
-0.7279,REBGLO,0.092,0.877,0.031,KIND
0.9894,REBGLO,0.028,0.829,0.143,KIND
-0.6708,REBGLO,0.119,0.797,0.084,KIND
0.6808,REBGLO,0.031,0.902,0.067,KIND
0.8811,REBGLO,0.054,0.766,0.18,KIND
0.9423,REBGLO,0.036,0.889,0.076,KIND
0.9944,REBGLO,0.003,0.868,0.129,KIND
0.9982,REBGLO,0.037,0.789,0.174,KIND
0.9993,REBGLO,0.034,0.778,0.188,KIND
0.9991,REBGLO,0.027,0.79,0.183,KIND
0.9071,REBGLO,0.011,0.949,0.04,KIND
0.9483,REBGLO,0.054,0.628,0.319,KIND
0.9601,REBGLO,0.0,0.807,0.193,KIND
0.9393,REBGLO,0.0,0.791,0.209,KIND
0.9991,REBGLO,0.028,0.787,0.185,KIND
0.9991,REBGLO,0.027,0.793,0.18,KIND
0.9966,REBGLO,0.007,0.779,0.213,KIND
0.9808,REBGLO,0.025,0.85,0.124,KIND
0.9937,REBGLO,0.029,0.876,0.095,KIND
1.0,REBGLO,0.023,0.834,0.143,KIND
