compound,name,negative,neutral,positive,ticker
0.9854,REBGLO,0.0,0.883,0.117,KVT
0.9811,REBGLO,0.02,0.944,0.036,KVT
0.9767,REBGLO,0.02,0.945,0.035,KVT
0.9984,REBGLO,0.03,0.883,0.087,KVT
0.9941,REBGLO,0.032,0.833,0.136,KVT
0.9618,REBGLO,0.0,0.835,0.165,KVT
0.4407,REBGLO,0.077,0.839,0.084,KVT
0.9827,REBGLO,0.014,0.96,0.026,KVT
-0.9997,REBGLO,0.088,0.888,0.024,KVT
-0.9999,REBGLO,0.12,0.792,0.088,KVT
-0.7736,REBGLO,0.073,0.856,0.071,KVT
-0.7736,REBGLO,0.073,0.856,0.071,KVT
0.9891,REBGLO,0.068,0.818,0.114,KVT
0.9975,REBGLO,0.097,0.79,0.112,KVT
0.9957,REBGLO,0.012,0.847,0.141,KVT
0.8286,REBGLO,0.044,0.904,0.052,KVT
0.5318,REBGLO,0.045,0.909,0.046,KVT
0.6444,REBGLO,0.081,0.781,0.138,KVT
0.5803,REBGLO,0.024,0.941,0.035,KVT
-0.9998,REBGLO,0.091,0.885,0.024,KVT
0.802,REBGLO,0.044,0.812,0.144,KVT
0.7296,REBGLO,0.043,0.909,0.048,KVT
0.9456,REBGLO,0.02,0.929,0.051,KVT
0.9456,REBGLO,0.02,0.929,0.051,KVT
0.9152,REBGLO,0.046,0.859,0.095,KVT
0.9708,REBGLO,0.03,0.89,0.08,KVT
0.9989,REBGLO,0.035,0.847,0.117,KVT
0.9708,REBGLO,0.03,0.89,0.08,KVT
0.9999,REBGLO,0.018,0.804,0.177,KVT
0.9708,REBGLO,0.03,0.89,0.08,KVT
-0.9954,REBGLO,0.059,0.895,0.046,KVT
0.9914,REBGLO,0.008,0.855,0.137,KVT
0.9918,REBGLO,0.062,0.83,0.108,KVT
0.9999,REBGLO,0.024,0.867,0.109,KVT
0.993,REBGLO,0.031,0.878,0.091,KVT
0.0,REBGLO,0.0,1.0,0.0,KVT
-0.6625,REBGLO,0.062,0.885,0.053,KVT
