compound,name,negative,neutral,positive,ticker
0.3612,REBGLO,0.0,0.965,0.035,LIKE
0.5106,REBGLO,0.0,0.619,0.381,LIKE
0.9855,REBGLO,0.053,0.758,0.189,LIKE
0.9996,REBGLO,0.074,0.817,0.109,LIKE
-0.9792,REBGLO,0.105,0.839,0.056,LIKE
-0.8719,REBGLO,0.061,0.913,0.026,LIKE
-0.8901,REBGLO,0.066,0.916,0.018,LIKE
-0.8978,REBGLO,0.057,0.924,0.018,LIKE
0.9158,REBGLO,0.027,0.882,0.091,LIKE
0.9343,REBGLO,0.0,0.707,0.293,LIKE
0.9038,REBGLO,0.019,0.903,0.078,LIKE
0.9428,REBGLO,0.0,0.847,0.153,LIKE
0.9886,REBGLO,0.0,0.72,0.28,LIKE
0.9974,REBGLO,0.005,0.837,0.158,LIKE
0.9906,REBGLO,0.048,0.801,0.151,LIKE
0.9524,REBGLO,0.019,0.897,0.084,LIKE
0.9311,REBGLO,0.004,0.93,0.066,LIKE
0.9669,REBGLO,0.0,0.863,0.137,LIKE
0.9945,REBGLO,0.026,0.886,0.087,LIKE
0.9882,REBGLO,0.015,0.89,0.095,LIKE
0.7351,REBGLO,0.0,0.89,0.11,LIKE
0.6553,REBGLO,0.0,0.984,0.016,LIKE
0.9928,REBGLO,0.006,0.912,0.081,LIKE
0.9552,REBGLO,0.033,0.871,0.095,LIKE
0.9976,REBGLO,0.004,0.839,0.157,LIKE
0.9978,REBGLO,0.008,0.817,0.176,LIKE
0.9994,REBGLO,0.009,0.938,0.053,LIKE
0.997,REBGLO,0.079,0.799,0.121,LIKE
0.9971,REBGLO,0.015,0.895,0.089,LIKE
0.9968,REBGLO,0.03,0.842,0.129,LIKE
0.9996,REBGLO,0.04,0.761,0.199,LIKE
0.9987,REBGLO,0.046,0.82,0.134,LIKE
0.9975,REBGLO,0.05,0.838,0.112,LIKE
0.997,REBGLO,0.079,0.799,0.121,LIKE
0.813,REBGLO,0.026,0.885,0.088,LIKE
0.9949,REBGLO,0.034,0.888,0.078,LIKE
0.9991,REBGLO,0.049,0.824,0.127,LIKE
0.8322,REBGLO,0.091,0.755,0.154,LIKE
0.9789,REBGLO,0.007,0.89,0.103,LIKE
0.9978,REBGLO,0.008,0.818,0.174,LIKE
0.9976,REBGLO,0.004,0.84,0.156,LIKE
0.9528,REBGLO,0.0,0.81,0.19,LIKE
0.0129,REBGLO,0.11,0.766,0.124,LIKE
0.4588,REBGLO,0.067,0.833,0.101,LIKE
0.296,REBGLO,0.049,0.857,0.094,LIKE
0.9843,REBGLO,0.028,0.838,0.134,LIKE
0.2819,REBGLO,0.119,0.724,0.156,LIKE
0.6826,REBGLO,0.081,0.812,0.107,LIKE
0.9893,REBGLO,0.016,0.913,0.071,LIKE
0.8442,REBGLO,0.096,0.784,0.12,LIKE
-0.1766,REBGLO,0.095,0.804,0.101,LIKE
-0.962,REBGLO,0.147,0.779,0.074,LIKE
0.7272,REBGLO,0.044,0.902,0.054,LIKE
0.7518,REBGLO,0.074,0.83,0.097,LIKE
0.8675,REBGLO,0.021,0.89,0.089,LIKE
0.9542,REBGLO,0.1,0.637,0.263,LIKE
0.1901,REBGLO,0.107,0.777,0.116,LIKE
-0.9216,REBGLO,0.071,0.904,0.025,LIKE
-0.7252,REBGLO,0.059,0.907,0.034,LIKE
-0.973,REBGLO,0.096,0.878,0.026,LIKE
-0.5493,REBGLO,0.048,0.916,0.036,LIKE
0.0516,REBGLO,0.046,0.895,0.059,LIKE
0.9857,REBGLO,0.037,0.809,0.154,LIKE
0.1376,REBGLO,0.032,0.932,0.036,LIKE
0.9413,REBGLO,0.011,0.949,0.04,LIKE
0.9765,REBGLO,0.016,0.87,0.114,LIKE
0.999,REBGLO,0.042,0.855,0.102,LIKE
0.919,REBGLO,0.05,0.835,0.115,LIKE
0.6224,REBGLO,0.083,0.806,0.111,LIKE
-0.4669,REBGLO,0.082,0.85,0.068,LIKE
0.9732,REBGLO,0.005,0.889,0.106,LIKE
0.9992,REBGLO,0.041,0.827,0.131,LIKE
-0.6486,REBGLO,0.072,0.88,0.048,LIKE
0.9775,REBGLO,0.03,0.909,0.061,LIKE
0.6757,REBGLO,0.036,0.885,0.08,LIKE
-0.3506,REBGLO,0.051,0.908,0.04,LIKE
0.9695,REBGLO,0.08,0.75,0.171,LIKE
0.946,REBGLO,0.026,0.848,0.126,LIKE
0.7269,REBGLO,0.035,0.903,0.063,LIKE
0.9994,REBGLO,0.074,0.777,0.149,LIKE
1.0,REBGLO,0.014,0.782,0.205,LIKE
0.9995,REBGLO,0.009,0.89,0.101,LIKE
1.0,REBGLO,0.017,0.825,0.158,LIKE
0.9998,REBGLO,0.024,0.86,0.117,LIKE
0.9923,REBGLO,0.043,0.859,0.098,LIKE
0.999,REBGLO,0.048,0.837,0.115,LIKE
0.9997,REBGLO,0.027,0.861,0.113,LIKE
-1.0,REBGLO,0.153,0.766,0.081,LIKE
0.9968,REBGLO,0.027,0.902,0.071,LIKE
0.9997,REBGLO,0.021,0.851,0.128,LIKE
0.9999,REBGLO,0.015,0.856,0.128,LIKE
0.9993,REBGLO,0.021,0.886,0.092,LIKE
0.9984,REBGLO,0.042,0.86,0.098,LIKE
1.0,REBGLO,0.053,0.852,0.094,LIKE
1.0,REBGLO,0.065,0.821,0.114,LIKE
0.9999,REBGLO,0.044,0.829,0.127,LIKE
0.9992,REBGLO,0.035,0.866,0.099,LIKE
0.9682,REBGLO,0.0,0.775,0.225,LIKE
0.9911,REBGLO,0.033,0.888,0.079,LIKE
0.9863,REBGLO,0.091,0.76,0.149,LIKE
