compound,name,negative,neutral,positive,ticker
0.4824,REBGLO,0.015,0.965,0.02,LINK
0.4824,REBGLO,0.015,0.965,0.02,LINK
0.368,REBGLO,0.01,0.976,0.014,LINK
0.9996,REBGLO,0.074,0.817,0.109,LINK
-0.7096,REBGLO,0.018,0.978,0.004,LINK
-0.5719,REBGLO,0.017,0.978,0.005,LINK
0.0772,REBGLO,0.012,0.976,0.012,LINK
-0.4939,REBGLO,0.017,0.974,0.009,LINK
0.7351,REBGLO,0.0,0.89,0.11,LINK
0.6553,REBGLO,0.0,0.984,0.016,LINK
0.296,REBGLO,0.0,0.942,0.058,LINK
0.0857,REBGLO,0.015,0.972,0.013,LINK
0.5622,REBGLO,0.013,0.966,0.021,LINK
0.9928,REBGLO,0.006,0.912,0.081,LINK
-0.9994,REBGLO,0.194,0.742,0.064,LINK
-0.3612,REBGLO,0.011,0.985,0.005,LINK
-0.7964,REBGLO,0.027,0.968,0.005,LINK
-0.3612,REBGLO,0.012,0.982,0.005,LINK
-0.5719,REBGLO,0.018,0.977,0.005,LINK
0.9991,REBGLO,0.049,0.824,0.127,LINK
0.8689,REBGLO,0.004,0.961,0.035,LINK
-0.8957,REBGLO,0.085,0.881,0.033,LINK
0.9774,REBGLO,0.02,0.84,0.14,LINK
-0.9636,REBGLO,0.06,0.917,0.023,LINK
0.6553,REBGLO,0.0,0.9,0.1,LINK
0.4871,REBGLO,0.0,0.982,0.018,LINK
0.8976,REBGLO,0.051,0.86,0.089,LINK
0.296,REBGLO,0.103,0.775,0.122,LINK
0.9413,REBGLO,0.011,0.949,0.04,LINK
-0.2263,REBGLO,0.015,0.974,0.011,LINK
0.34,REBGLO,0.015,0.967,0.018,LINK
0.999,REBGLO,0.042,0.855,0.102,LINK
-0.2263,REBGLO,0.016,0.972,0.012,LINK
0.9992,REBGLO,0.041,0.827,0.131,LINK
-0.8429,REBGLO,0.087,0.85,0.063,LINK
0.3612,REBGLO,0.006,0.982,0.012,LINK
0.4939,REBGLO,0.016,0.964,0.021,LINK
-0.7096,REBGLO,0.03,0.963,0.006,LINK
-0.5719,REBGLO,0.023,0.97,0.007,LINK
-0.5719,REBGLO,0.021,0.973,0.006,LINK
-0.7964,REBGLO,0.036,0.958,0.006,LINK
-0.2263,REBGLO,0.024,0.96,0.017,LINK
0.4824,REBGLO,0.014,0.967,0.019,LINK
0.7125,REBGLO,0.015,0.959,0.026,LINK
0.9998,REBGLO,0.024,0.86,0.117,LINK
0.9997,REBGLO,0.027,0.861,0.113,LINK
-1.0,REBGLO,0.153,0.766,0.081,LINK
0.9999,REBGLO,0.015,0.856,0.128,LINK
0.9993,REBGLO,0.021,0.886,0.092,LINK
1.0,REBGLO,0.053,0.852,0.094,LINK
1.0,REBGLO,0.065,0.821,0.114,LINK
0.9565,REBGLO,0.044,0.82,0.137,LINK
-0.4226,REBGLO,0.047,0.953,0.0,LINK
-0.4226,REBGLO,0.047,0.953,0.0,LINK
0.9996,REBGLO,0.007,0.853,0.139,LINK
0.9996,REBGLO,0.007,0.853,0.139,LINK
0.882,REBGLO,0.035,0.881,0.084,LINK
0.9667,REBGLO,0.008,0.877,0.115,LINK
0.9794,REBGLO,0.049,0.891,0.06,LINK
0.991,REBGLO,0.033,0.796,0.171,LINK
0.9565,REBGLO,0.044,0.82,0.137,LINK
0.87,REBGLO,0.005,0.969,0.026,LINK
0.368,REBGLO,0.01,0.977,0.013,LINK
0.981,REBGLO,0.02,0.915,0.065,LINK
-0.0173,REBGLO,0.02,0.962,0.018,LINK
0.0857,REBGLO,0.014,0.973,0.013,LINK
-0.3612,REBGLO,0.016,0.977,0.007,LINK
0.368,REBGLO,0.01,0.977,0.013,LINK
0.3612,REBGLO,0.007,0.979,0.014,LINK
0.2263,REBGLO,0.0,0.993,0.007,LINK
0.3612,REBGLO,0.008,0.975,0.017,LINK
0.9413,REBGLO,0.011,0.949,0.04,LINK
0.9413,REBGLO,0.011,0.949,0.04,LINK
0.9844,REBGLO,0.014,0.841,0.145,LINK
0.8689,REBGLO,0.004,0.961,0.035,LINK
-0.765,REBGLO,0.03,0.96,0.009,LINK
-0.2263,REBGLO,0.017,0.97,0.012,LINK
-0.7096,REBGLO,0.032,0.961,0.007,LINK
0.7125,REBGLO,0.014,0.962,0.024,LINK
0.8948,REBGLO,0.033,0.853,0.114,LINK
0.8957,REBGLO,0.0,0.766,0.234,LINK
0.9792,REBGLO,0.014,0.872,0.114,LINK
0.9936,REBGLO,0.005,0.848,0.147,LINK
-0.9775,REBGLO,0.121,0.816,0.063,LINK
0.5267,REBGLO,0.018,0.921,0.061,LINK
0.9565,REBGLO,0.044,0.82,0.137,LINK
0.929,REBGLO,0.058,0.757,0.185,LINK
0.9937,REBGLO,0.006,0.82,0.174,LINK
0.9565,REBGLO,0.044,0.82,0.137,LINK
0.981,REBGLO,0.02,0.86,0.119,LINK
-1.0,REBGLO,0.089,0.883,0.029,LINK
-0.9993,REBGLO,0.188,0.747,0.066,LINK
0.947,REBGLO,0.008,0.913,0.079,LINK
0.9925,REBGLO,0.023,0.859,0.118,LINK
0.9934,REBGLO,0.026,0.856,0.118,LINK
0.9928,REBGLO,0.022,0.865,0.113,LINK
0.2878,REBGLO,0.084,0.838,0.078,LINK
-0.8619,REBGLO,0.038,0.944,0.018,LINK
0.9937,REBGLO,0.018,0.866,0.116,LINK
-0.0772,REBGLO,0.007,0.987,0.006,LINK
