compound,name,negative,neutral,positive,ticker
0.9996,REBGLO,0.074,0.817,0.109,LOAN
0.9899,REBGLO,0.028,0.841,0.131,LOAN
-0.9792,REBGLO,0.105,0.839,0.056,LOAN
0.9945,REBGLO,0.026,0.886,0.087,LOAN
0.9326,REBGLO,0.021,0.881,0.097,LOAN
0.6757,REBGLO,0.036,0.885,0.08,LOAN
1.0,REBGLO,0.017,0.825,0.158,LOAN
0.9997,REBGLO,0.021,0.851,0.128,LOAN
0.6757,REBGLO,0.035,0.885,0.079,LOAN
0.8429,REBGLO,0.059,0.809,0.132,LOAN
0.9937,REBGLO,0.046,0.84,0.113,LOAN
-0.8464,REBGLO,0.075,0.874,0.051,LOAN
0.7709,REBGLO,0.059,0.87,0.071,LOAN
0.9685,REBGLO,0.067,0.82,0.113,LOAN
0.9988,REBGLO,0.046,0.831,0.123,LOAN
0.9341,REBGLO,0.023,0.86,0.117,LOAN
0.9266,REBGLO,0.048,0.861,0.09,LOAN
0.9244,REBGLO,0.013,0.83,0.157,LOAN
0.9992,REBGLO,0.037,0.843,0.12,LOAN
0.9991,REBGLO,0.038,0.84,0.122,LOAN
0.7003,REBGLO,0.0,0.823,0.177,LOAN
0.972,REBGLO,0.068,0.815,0.117,LOAN
0.9451,REBGLO,0.009,0.894,0.097,LOAN
0.9903,REBGLO,0.03,0.86,0.11,LOAN
0.936,REBGLO,0.0,0.881,0.119,LOAN
0.6515,REBGLO,0.062,0.847,0.091,LOAN
0.9654,REBGLO,0.0,0.812,0.188,LOAN
0.9008,REBGLO,0.066,0.825,0.11,LOAN
0.9975,REBGLO,0.026,0.868,0.106,LOAN
0.9753,REBGLO,0.067,0.811,0.122,LOAN
0.9942,REBGLO,0.052,0.86,0.088,LOAN
-0.9857,REBGLO,0.13,0.782,0.088,LOAN
0.9994,REBGLO,0.027,0.86,0.113,LOAN
-0.5511,REBGLO,0.076,0.859,0.066,LOAN
0.995,REBGLO,0.002,0.889,0.109,LOAN
0.9973,REBGLO,0.024,0.866,0.11,LOAN
0.9947,REBGLO,0.002,0.892,0.106,LOAN
0.9983,REBGLO,0.005,0.857,0.138,LOAN
0.7374,REBGLO,0.074,0.829,0.097,LOAN
-0.9857,REBGLO,0.129,0.783,0.088,LOAN
1.0,REBGLO,0.054,0.795,0.151,LOAN
-0.9857,REBGLO,0.129,0.784,0.087,LOAN
0.9941,REBGLO,0.023,0.878,0.099,LOAN
-0.8269,REBGLO,0.052,0.924,0.024,LOAN
0.9953,REBGLO,0.007,0.861,0.132,LOAN
0.9862,REBGLO,0.007,0.862,0.131,LOAN
0.0,REBGLO,0.0,1.0,0.0,LOAN
0.9908,REBGLO,0.038,0.799,0.162,LOAN
0.9876,REBGLO,0.019,0.892,0.09,LOAN
0.9947,REBGLO,0.002,0.892,0.106,LOAN
0.9998,REBGLO,0.056,0.849,0.095,LOAN
0.8658,REBGLO,0.0,0.938,0.062,LOAN
-0.9999,REBGLO,0.12,0.792,0.088,LOAN
0.9657,REBGLO,0.033,0.795,0.172,LOAN
0.8011,REBGLO,0.02,0.867,0.113,LOAN
-0.7087,REBGLO,0.076,0.872,0.052,LOAN
0.9361,REBGLO,0.016,0.892,0.091,LOAN
0.9788,REBGLO,0.035,0.82,0.145,LOAN
0.9998,REBGLO,0.058,0.823,0.119,LOAN
0.9974,REBGLO,0.018,0.877,0.105,LOAN
0.9947,REBGLO,0.002,0.892,0.106,LOAN
0.9974,REBGLO,0.018,0.876,0.105,LOAN
0.9974,REBGLO,0.019,0.876,0.106,LOAN
0.9839,REBGLO,0.004,0.902,0.094,LOAN
-0.9847,REBGLO,0.079,0.847,0.073,LOAN
0.7134,REBGLO,0.069,0.844,0.087,LOAN
0.9932,REBGLO,0.054,0.837,0.109,LOAN
0.9621,REBGLO,0.07,0.824,0.106,LOAN
0.9717,REBGLO,0.03,0.894,0.076,LOAN
0.9767,REBGLO,0.007,0.912,0.08,LOAN
0.9989,REBGLO,0.025,0.871,0.104,LOAN
0.9992,REBGLO,0.052,0.827,0.122,LOAN
1.0,REBGLO,0.027,0.824,0.149,LOAN
0.8137,REBGLO,0.027,0.91,0.064,LOAN
0.998,REBGLO,0.021,0.84,0.139,LOAN
0.9986,REBGLO,0.04,0.759,0.201,LOAN
0.608,REBGLO,0.075,0.812,0.113,LOAN
0.608,REBGLO,0.075,0.812,0.113,LOAN
0.0,REBGLO,0.0,1.0,0.0,LOAN
-0.593,REBGLO,0.13,0.746,0.124,LOAN
0.9995,REBGLO,0.023,0.871,0.106,LOAN
0.9946,REBGLO,0.014,0.892,0.093,LOAN
0.5994,REBGLO,0.0,0.795,0.205,LOAN
0.0,REBGLO,0.0,1.0,0.0,LOAN
0.9963,REBGLO,0.018,0.895,0.086,LOAN
0.9947,REBGLO,0.002,0.896,0.102,LOAN
0.9963,REBGLO,0.015,0.816,0.169,LOAN
0.9945,REBGLO,0.0,0.848,0.152,LOAN
0.9986,REBGLO,0.007,0.924,0.069,LOAN
1.0,REBGLO,0.025,0.825,0.15,LOAN
0.6757,REBGLO,0.035,0.886,0.079,LOAN
0.9892,REBGLO,0.003,0.894,0.103,LOAN
0.9995,REBGLO,0.057,0.812,0.131,LOAN
0.9987,REBGLO,0.058,0.84,0.102,LOAN
0.9968,REBGLO,0.0,0.895,0.105,LOAN
0.8779,REBGLO,0.0,0.871,0.129,LOAN
0.7003,REBGLO,0.0,0.91,0.09,LOAN
-0.1428,REBGLO,0.098,0.812,0.09,LOAN
0.9711,REBGLO,0.067,0.818,0.115,LOAN
0.7351,REBGLO,0.0,0.936,0.064,LOAN
