compound,name,negative,neutral,positive,ticker
0.9955,REBGLO,0.009,0.889,0.102,LOL
0.9927,REBGLO,0.025,0.879,0.095,LOL
0.9951,REBGLO,0.014,0.872,0.114,LOL
0.9942,REBGLO,0.052,0.86,0.088,LOL
0.9867,REBGLO,0.031,0.897,0.072,LOL
0.8271,REBGLO,0.057,0.835,0.108,LOL
0.9998,REBGLO,0.058,0.823,0.119,LOL
0.9776,REBGLO,0.006,0.924,0.07,LOL
0.9947,REBGLO,0.035,0.9,0.065,LOL
0.9944,REBGLO,0.092,0.794,0.114,LOL
0.9845,REBGLO,0.084,0.825,0.09,LOL
-0.7715,REBGLO,0.043,0.933,0.024,LOL
-0.9998,REBGLO,0.099,0.822,0.079,LOL
0.9944,REBGLO,0.083,0.826,0.091,LOL
0.9944,REBGLO,0.083,0.826,0.091,LOL
-0.9998,REBGLO,0.099,0.822,0.079,LOL
0.9782,REBGLO,0.048,0.797,0.155,LOL
0.9989,REBGLO,0.07,0.798,0.133,LOL
