compound,name,negative,neutral,positive,ticker
0.9972,REBGLO,0.022,0.895,0.083,LTS
0.9996,REBGLO,0.074,0.817,0.109,LTS
0.5424,REBGLO,0.074,0.844,0.082,LTS
0.9842,REBGLO,0.021,0.79,0.189,LTS
-0.9994,REBGLO,0.194,0.742,0.064,LTS
0.9991,REBGLO,0.049,0.824,0.127,LTS
0.8689,REBGLO,0.004,0.961,0.035,LTS
0.9842,REBGLO,0.022,0.89,0.088,LTS
-0.9636,REBGLO,0.06,0.917,0.023,LTS
0.9893,REBGLO,0.016,0.913,0.071,LTS
-0.7845,REBGLO,0.162,0.838,0.0,LTS
0.9984,REBGLO,0.035,0.911,0.054,LTS
0.9992,REBGLO,0.041,0.827,0.131,LTS
-0.8429,REBGLO,0.087,0.85,0.063,LTS
0.9994,REBGLO,0.074,0.777,0.149,LTS
-1.0,REBGLO,0.153,0.766,0.081,LTS
0.9997,REBGLO,0.021,0.851,0.128,LTS
1.0,REBGLO,0.065,0.821,0.114,LTS
0.9999,REBGLO,0.044,0.829,0.127,LTS
0.9538,REBGLO,0.017,0.93,0.053,LTS
0.9538,REBGLO,0.017,0.93,0.053,LTS
0.9928,REBGLO,0.028,0.856,0.116,LTS
0.0,REBGLO,0.0,1.0,0.0,LTS
0.5424,REBGLO,0.074,0.844,0.082,LTS
0.9937,REBGLO,0.046,0.84,0.113,LTS
0.8689,REBGLO,0.004,0.961,0.035,LTS
0.9931,REBGLO,0.008,0.891,0.101,LTS
0.9772,REBGLO,0.055,0.827,0.119,LTS
-0.9993,REBGLO,0.188,0.747,0.066,LTS
0.9925,REBGLO,0.023,0.859,0.118,LTS
0.9934,REBGLO,0.026,0.856,0.118,LTS
0.9978,REBGLO,0.057,0.819,0.124,LTS
0.9928,REBGLO,0.022,0.865,0.113,LTS
0.9811,REBGLO,0.02,0.944,0.036,LTS
0.9767,REBGLO,0.02,0.945,0.035,LTS
0.9937,REBGLO,0.018,0.866,0.116,LTS
0.9968,REBGLO,0.009,0.893,0.098,LTS
0.9969,REBGLO,0.009,0.893,0.098,LTS
0.9968,REBGLO,0.009,0.891,0.099,LTS
0.9978,REBGLO,0.058,0.817,0.125,LTS
0.9993,REBGLO,0.0,0.787,0.213,LTS
0.9376,REBGLO,0.041,0.881,0.078,LTS
-0.9999,REBGLO,0.137,0.772,0.091,LTS
0.961,REBGLO,0.028,0.853,0.119,LTS
0.9004,REBGLO,0.0,0.927,0.073,LTS
0.9978,REBGLO,0.056,0.822,0.122,LTS
0.7676,REBGLO,0.005,0.989,0.006,LTS
0.9977,REBGLO,0.058,0.819,0.123,LTS
0.9978,REBGLO,0.056,0.822,0.122,LTS
0.9947,REBGLO,0.066,0.785,0.149,LTS
1.0,REBGLO,0.029,0.825,0.146,LTS
0.6908,REBGLO,0.0,0.939,0.061,LTS
0.9978,REBGLO,0.056,0.821,0.123,LTS
0.5411,REBGLO,0.02,0.948,0.031,LTS
0.9937,REBGLO,0.039,0.874,0.087,LTS
0.9995,REBGLO,0.075,0.812,0.113,LTS
0.9968,REBGLO,0.007,0.894,0.099,LTS
0.9939,REBGLO,0.039,0.873,0.088,LTS
-0.9651,REBGLO,0.083,0.85,0.067,LTS
0.9994,REBGLO,0.022,0.855,0.123,LTS
0.9877,REBGLO,0.063,0.794,0.143,LTS
0.9997,REBGLO,0.033,0.803,0.164,LTS
-0.9992,REBGLO,0.199,0.746,0.055,LTS
-0.9987,REBGLO,0.07,0.879,0.05,LTS
-0.9986,REBGLO,0.071,0.881,0.048,LTS
-0.9981,REBGLO,0.071,0.88,0.049,LTS
-0.999,REBGLO,0.072,0.878,0.05,LTS
-0.9979,REBGLO,0.067,0.886,0.047,LTS
-0.9579,REBGLO,0.07,0.871,0.058,LTS
0.9968,REBGLO,0.062,0.813,0.126,LTS
0.9041,REBGLO,0.059,0.873,0.068,LTS
0.9996,REBGLO,0.018,0.769,0.213,LTS
0.0258,REBGLO,0.008,0.984,0.008,LTS
0.9921,REBGLO,0.008,0.848,0.144,LTS
0.9941,REBGLO,0.032,0.833,0.136,LTS
1.0,REBGLO,0.027,0.826,0.147,LTS
0.9997,REBGLO,0.033,0.803,0.164,LTS
-0.722,REBGLO,0.089,0.824,0.086,LTS
-0.998,REBGLO,0.069,0.883,0.048,LTS
-0.9986,REBGLO,0.066,0.885,0.048,LTS
0.964,REBGLO,0.08,0.826,0.094,LTS
-0.3923,REBGLO,0.08,0.85,0.07,LTS
0.9975,REBGLO,0.04,0.852,0.108,LTS
0.9996,REBGLO,0.03,0.838,0.132,LTS
-0.8204,REBGLO,0.154,0.71,0.135,LTS
0.9385,REBGLO,0.116,0.75,0.134,LTS
0.9979,REBGLO,0.08,0.7,0.22,LTS
0.6908,REBGLO,0.11,0.751,0.14,LTS
0.9937,REBGLO,0.039,0.874,0.087,LTS
0.9975,REBGLO,0.016,0.844,0.14,LTS
0.9891,REBGLO,0.036,0.866,0.098,LTS
0.9817,REBGLO,0.056,0.795,0.149,LTS
0.9979,REBGLO,0.005,0.978,0.017,LTS
1.0,REBGLO,0.054,0.795,0.151,LTS
0.9907,REBGLO,0.03,0.874,0.096,LTS
0.9941,REBGLO,0.023,0.878,0.099,LTS
0.964,REBGLO,0.08,0.826,0.094,LTS
0.9998,REBGLO,0.014,0.824,0.163,LTS
-0.8343,REBGLO,0.152,0.848,0.0,LTS
-0.8957,REBGLO,0.077,0.892,0.031,LTS
