compound,name,negative,neutral,positive,ticker
0.9996,REBGLO,0.074,0.817,0.109,MAN
-0.8957,REBGLO,0.085,0.881,0.033,MAN
0.9984,REBGLO,0.035,0.911,0.054,MAN
-1.0,REBGLO,0.153,0.766,0.081,MAN
1.0,REBGLO,0.053,0.852,0.094,MAN
1.0,REBGLO,0.065,0.821,0.114,MAN
0.9992,REBGLO,0.035,0.866,0.099,MAN
0.9667,REBGLO,0.008,0.877,0.115,MAN
0.8922,REBGLO,0.068,0.69,0.242,MAN
0.9794,REBGLO,0.049,0.891,0.06,MAN
0.991,REBGLO,0.033,0.796,0.171,MAN
0.0,REBGLO,0.0,1.0,0.0,MAN
0.4602,REBGLO,0.066,0.863,0.07,MAN
-0.9895,REBGLO,0.01,0.987,0.003,MAN
0.5192,REBGLO,0.054,0.87,0.076,MAN
-0.3395,REBGLO,0.138,0.744,0.118,MAN
-1.0,REBGLO,0.089,0.883,0.029,MAN
0.9895,REBGLO,0.051,0.836,0.113,MAN
0.9942,REBGLO,0.051,0.819,0.13,MAN
0.9202,REBGLO,0.025,0.888,0.087,MAN
-0.5719,REBGLO,0.021,0.973,0.006,MAN
-0.3395,REBGLO,0.138,0.744,0.118,MAN
-0.9999,REBGLO,0.137,0.772,0.091,MAN
0.354,REBGLO,0.071,0.85,0.079,MAN
1.0,REBGLO,0.026,0.707,0.267,MAN
-0.9992,REBGLO,0.139,0.767,0.094,MAN
-0.9642,REBGLO,0.127,0.766,0.107,MAN
-0.9717,REBGLO,0.09,0.875,0.034,MAN
-0.9887,REBGLO,0.139,0.843,0.018,MAN
0.9979,REBGLO,0.015,0.902,0.083,MAN
0.6908,REBGLO,0.0,0.939,0.061,MAN
-0.9966,REBGLO,0.16,0.796,0.044,MAN
0.9994,REBGLO,0.024,0.87,0.106,MAN
0.9631,REBGLO,0.014,0.937,0.048,MAN
0.9995,REBGLO,0.075,0.812,0.113,MAN
0.9626,REBGLO,0.048,0.863,0.089,MAN
-0.9961,REBGLO,0.164,0.786,0.05,MAN
0.9965,REBGLO,0.003,0.883,0.114,MAN
0.9887,REBGLO,0.062,0.837,0.101,MAN
0.9975,REBGLO,0.026,0.868,0.106,MAN
0.3071,REBGLO,0.019,0.926,0.055,MAN
0.6486,REBGLO,0.023,0.929,0.048,MAN
-0.9966,REBGLO,0.161,0.795,0.044,MAN
-0.9979,REBGLO,0.067,0.886,0.047,MAN
-0.9579,REBGLO,0.07,0.871,0.058,MAN
0.9942,REBGLO,0.052,0.86,0.088,MAN
0.9781,REBGLO,0.045,0.884,0.071,MAN
-0.722,REBGLO,0.089,0.824,0.086,MAN
-0.9986,REBGLO,0.066,0.885,0.048,MAN
0.9956,REBGLO,0.017,0.912,0.072,MAN
0.9989,REBGLO,0.014,0.814,0.172,MAN
-0.9994,REBGLO,0.12,0.817,0.063,MAN
-0.9312,REBGLO,0.037,0.941,0.022,MAN
-0.8815,REBGLO,0.102,0.798,0.099,MAN
0.9811,REBGLO,0.06,0.822,0.118,MAN
0.9241,REBGLO,0.005,0.937,0.058,MAN
0.4648,REBGLO,0.011,0.972,0.018,MAN
0.7851,REBGLO,0.009,0.921,0.07,MAN
-0.9997,REBGLO,0.064,0.897,0.038,MAN
0.9979,REBGLO,0.005,0.978,0.017,MAN
1.0,REBGLO,0.054,0.795,0.151,MAN
0.9873,REBGLO,0.02,0.856,0.124,MAN
0.5766,REBGLO,0.005,0.982,0.013,MAN
0.9751,REBGLO,0.081,0.821,0.098,MAN
-0.7284,REBGLO,0.099,0.846,0.055,MAN
-0.6684,REBGLO,0.083,0.862,0.055,MAN
0.9876,REBGLO,0.019,0.892,0.09,MAN
-0.9904,REBGLO,0.191,0.789,0.02,MAN
0.9982,REBGLO,0.011,0.902,0.088,MAN
0.9982,REBGLO,0.011,0.902,0.088,MAN
0.9469,REBGLO,0.042,0.862,0.096,MAN
0.34,REBGLO,0.0,0.876,0.124,MAN
-0.636,REBGLO,0.117,0.883,0.0,MAN
0.0,REBGLO,0.0,1.0,0.0,MAN
0.296,REBGLO,0.0,0.909,0.091,MAN
0.9994,REBGLO,0.009,0.935,0.056,MAN
-0.8555,REBGLO,0.151,0.824,0.024,MAN
0.9982,REBGLO,0.067,0.854,0.079,MAN
0.9998,REBGLO,0.056,0.849,0.095,MAN
0.9985,REBGLO,0.009,0.952,0.039,MAN
0.9803,REBGLO,0.0,0.899,0.101,MAN
0.9993,REBGLO,0.028,0.754,0.217,MAN
0.9992,REBGLO,0.024,0.765,0.211,MAN
-0.989,REBGLO,0.12,0.88,0.0,MAN
-0.9999,REBGLO,0.12,0.792,0.088,MAN
0.9967,REBGLO,0.042,0.551,0.407,MAN
0.9993,REBGLO,0.029,0.754,0.218,MAN
0.9511,REBGLO,0.099,0.798,0.103,MAN
0.2382,REBGLO,0.0,0.86,0.14,MAN
0.9577,REBGLO,0.0,0.933,0.067,MAN
0.9972,REBGLO,0.015,0.796,0.189,MAN
0.9067,REBGLO,0.013,0.866,0.12,MAN
0.9975,REBGLO,0.097,0.79,0.112,MAN
-0.8249,REBGLO,0.178,0.765,0.057,MAN
0.999,REBGLO,0.092,0.782,0.126,MAN
-0.9999,REBGLO,0.106,0.813,0.082,MAN
-0.9999,REBGLO,0.139,0.774,0.086,MAN
-0.9999,REBGLO,0.115,0.803,0.082,MAN
-0.2263,REBGLO,0.016,0.973,0.011,MAN
0.9955,REBGLO,0.027,0.824,0.149,MAN
