compound,name,negative,neutral,positive,ticker
0.9996,REBGLO,0.074,0.817,0.109,METM
0.9798,REBGLO,0.039,0.772,0.189,METM
0.9711,REBGLO,0.03,0.874,0.096,METM
0.2263,REBGLO,0.0,0.98,0.02,METM
0.5423,REBGLO,0.041,0.863,0.096,METM
0.9982,REBGLO,0.086,0.787,0.127,METM
0.946,REBGLO,0.026,0.848,0.126,METM
0.9998,REBGLO,0.024,0.86,0.117,METM
0.999,REBGLO,0.048,0.837,0.115,METM
0.9997,REBGLO,0.027,0.861,0.113,METM
0.9999,REBGLO,0.015,0.856,0.128,METM
0.9993,REBGLO,0.021,0.886,0.092,METM
0.9984,REBGLO,0.042,0.86,0.098,METM
1.0,REBGLO,0.065,0.821,0.114,METM
0.9999,REBGLO,0.044,0.829,0.127,METM
0.9992,REBGLO,0.035,0.866,0.099,METM
0.8981,REBGLO,0.056,0.771,0.172,METM
0.9928,REBGLO,0.028,0.856,0.116,METM
0.9876,REBGLO,0.027,0.737,0.236,METM
0.9955,REBGLO,0.009,0.889,0.102,METM
-0.9895,REBGLO,0.01,0.987,0.003,METM
-0.9925,REBGLO,0.077,0.855,0.067,METM
-0.0772,REBGLO,0.007,0.986,0.006,METM
0.9936,REBGLO,0.005,0.848,0.147,METM
-0.9912,REBGLO,0.18,0.723,0.097,METM
0.9948,REBGLO,0.047,0.86,0.093,METM
0.743,REBGLO,0.0,0.913,0.087,METM
-0.4767,REBGLO,0.118,0.818,0.064,METM
0.9851,REBGLO,0.031,0.902,0.067,METM
0.8582,REBGLO,0.047,0.87,0.083,METM
-0.9999,REBGLO,0.137,0.772,0.091,METM
0.9859,REBGLO,0.035,0.88,0.086,METM
0.9927,REBGLO,0.025,0.879,0.095,METM
0.9929,REBGLO,0.019,0.843,0.138,METM
0.745,REBGLO,0.069,0.844,0.087,METM
0.5411,REBGLO,0.02,0.948,0.031,METM
0.9956,REBGLO,0.027,0.842,0.131,METM
0.0015,REBGLO,0.071,0.87,0.06,METM
0.7906,REBGLO,0.0,0.771,0.229,METM
0.9454,REBGLO,0.043,0.798,0.159,METM
-0.9979,REBGLO,0.064,0.889,0.047,METM
-0.8339,REBGLO,0.047,0.945,0.008,METM
0.9723,REBGLO,0.026,0.823,0.151,METM
0.9984,REBGLO,0.03,0.883,0.087,METM
-0.9977,REBGLO,0.091,0.862,0.047,METM
0.9942,REBGLO,0.052,0.86,0.088,METM
-0.9807,REBGLO,0.17,0.744,0.086,METM
-0.0772,REBGLO,0.12,0.772,0.108,METM
0.9989,REBGLO,0.014,0.814,0.172,METM
0.9977,REBGLO,0.024,0.821,0.155,METM
0.9867,REBGLO,0.031,0.897,0.072,METM
0.9921,REBGLO,0.028,0.901,0.071,METM
1.0,REBGLO,0.054,0.795,0.151,METM
0.9184,REBGLO,0.072,0.626,0.302,METM
0.9881,REBGLO,0.113,0.761,0.127,METM
0.9918,REBGLO,0.028,0.902,0.071,METM
0.9803,REBGLO,0.015,0.91,0.075,METM
0.9998,REBGLO,0.014,0.824,0.163,METM
0.9955,REBGLO,0.023,0.782,0.195,METM
0.9687,REBGLO,0.008,0.895,0.097,METM
0.9876,REBGLO,0.019,0.892,0.09,METM
0.799,REBGLO,0.013,0.928,0.059,METM
0.8777,REBGLO,0.0,0.925,0.075,METM
0.9935,REBGLO,0.022,0.899,0.08,METM
0.9876,REBGLO,0.048,0.893,0.059,METM
0.9998,REBGLO,0.056,0.849,0.095,METM
0.9998,REBGLO,0.035,0.842,0.123,METM
0.9982,REBGLO,0.012,0.948,0.04,METM
0.9584,REBGLO,0.022,0.842,0.136,METM
0.9577,REBGLO,0.0,0.933,0.067,METM
0.9908,REBGLO,0.0,0.881,0.119,METM
0.9975,REBGLO,0.097,0.79,0.112,METM
0.793,REBGLO,0.09,0.772,0.138,METM
-0.9999,REBGLO,0.106,0.813,0.082,METM
-0.9999,REBGLO,0.139,0.774,0.086,METM
0.9999,REBGLO,0.021,0.881,0.097,METM
0.6597,REBGLO,0.0,0.954,0.046,METM
0.9876,REBGLO,0.072,0.81,0.119,METM
0.6959,REBGLO,0.067,0.855,0.078,METM
0.9995,REBGLO,0.041,0.867,0.091,METM
0.9997,REBGLO,0.042,0.865,0.093,METM
0.9957,REBGLO,0.064,0.736,0.201,METM
0.0,REBGLO,0.0,1.0,0.0,METM
0.9161,REBGLO,0.004,0.939,0.057,METM
0.9816,REBGLO,0.022,0.876,0.102,METM
0.0,REBGLO,0.0,1.0,0.0,METM
0.4374,REBGLO,0.0,0.963,0.037,METM
0.0,REBGLO,0.0,1.0,0.0,METM
0.0,REBGLO,0.0,1.0,0.0,METM
0.8934,REBGLO,0.0,0.937,0.063,METM
0.5473,REBGLO,0.03,0.906,0.064,METM
0.9993,REBGLO,0.073,0.825,0.102,METM
0.9929,REBGLO,0.025,0.806,0.169,METM
0.9954,REBGLO,0.012,0.908,0.08,METM
0.8239,REBGLO,0.058,0.872,0.07,METM
0.9989,REBGLO,0.025,0.871,0.104,METM
0.9981,REBGLO,0.015,0.95,0.035,METM
0.4549,REBGLO,0.045,0.861,0.094,METM
0.9952,REBGLO,0.019,0.843,0.138,METM
0.9893,REBGLO,0.017,0.865,0.118,METM
