compound,name,negative,neutral,positive,ticker
0.9982,REBGLO,0.086,0.787,0.127,MRK
0.9984,REBGLO,0.035,0.911,0.054,MRK
-1.0,REBGLO,0.153,0.766,0.081,MRK
1.0,REBGLO,0.065,0.821,0.114,MRK
-0.9914,REBGLO,0.146,0.792,0.061,MRK
-0.9914,REBGLO,0.147,0.791,0.062,MRK
0.9994,REBGLO,0.024,0.87,0.106,MRK
0.9995,REBGLO,0.075,0.812,0.113,MRK
-0.9987,REBGLO,0.07,0.879,0.05,MRK
-0.9986,REBGLO,0.071,0.881,0.048,MRK
-0.9981,REBGLO,0.071,0.88,0.049,MRK
-0.999,REBGLO,0.072,0.878,0.05,MRK
-0.9979,REBGLO,0.067,0.886,0.047,MRK
-0.9856,REBGLO,0.139,0.782,0.079,MRK
-0.998,REBGLO,0.069,0.883,0.048,MRK
-0.9986,REBGLO,0.066,0.885,0.048,MRK
0.9488,REBGLO,0.01,0.943,0.047,MRK
-0.9997,REBGLO,0.064,0.897,0.038,MRK
1.0,REBGLO,0.054,0.795,0.151,MRK
0.9751,REBGLO,0.081,0.821,0.098,MRK
-0.9997,REBGLO,0.088,0.888,0.024,MRK
0.9998,REBGLO,0.056,0.849,0.095,MRK
-0.9999,REBGLO,0.12,0.792,0.088,MRK
0.4939,REBGLO,0.025,0.944,0.031,MRK
0.9796,REBGLO,0.014,0.97,0.016,MRK
0.9042,REBGLO,0.0,0.969,0.031,MRK
-0.7014,REBGLO,0.077,0.873,0.05,MRK
0.9995,REBGLO,0.023,0.871,0.106,MRK
1.0,REBGLO,0.023,0.834,0.143,MRK
0.6597,REBGLO,0.007,0.968,0.025,MRK
-0.9964,REBGLO,0.098,0.806,0.095,MRK
-0.9964,REBGLO,0.098,0.806,0.095,MRK
0.9965,REBGLO,0.005,0.909,0.086,MRK
-0.9998,REBGLO,0.091,0.885,0.024,MRK
0.9896,REBGLO,0.034,0.853,0.113,MRK
0.9976,REBGLO,0.034,0.753,0.213,MRK
0.9896,REBGLO,0.034,0.853,0.113,MRK
0.9845,REBGLO,0.084,0.825,0.09,MRK
0.9531,REBGLO,0.081,0.82,0.099,MRK
0.9977,REBGLO,0.064,0.794,0.142,MRK
0.9976,REBGLO,0.033,0.76,0.208,MRK
0.9993,REBGLO,0.037,0.851,0.112,MRK
0.9976,REBGLO,0.034,0.755,0.212,MRK
-0.9395,REBGLO,0.1,0.799,0.102,MRK
0.9996,REBGLO,0.047,0.841,0.112,MRK
0.9998,REBGLO,0.04,0.819,0.141,MRK
0.9903,REBGLO,0.006,0.9,0.094,MRK
0.9988,REBGLO,0.03,0.872,0.098,MRK
-0.9954,REBGLO,0.059,0.895,0.046,MRK
0.9976,REBGLO,0.033,0.76,0.208,MRK
0.9963,REBGLO,0.005,0.808,0.187,MRK
-0.34,REBGLO,0.028,0.953,0.019,MRK
0.765,REBGLO,0.0,0.981,0.019,MRK
0.9997,REBGLO,0.033,0.759,0.208,MRK
0.8918,REBGLO,0.0,0.973,0.027,MRK
-0.1943,REBGLO,0.035,0.939,0.026,MRK
-0.9998,REBGLO,0.099,0.822,0.079,MRK
-0.9998,REBGLO,0.109,0.801,0.091,MRK
-0.9893,REBGLO,0.099,0.807,0.094,MRK
0.9938,REBGLO,0.013,0.871,0.117,MRK
0.6597,REBGLO,0.007,0.968,0.025,MRK
-0.9893,REBGLO,0.099,0.807,0.094,MRK
0.9912,REBGLO,0.008,0.852,0.14,MRK
0.9944,REBGLO,0.083,0.826,0.091,MRK
0.9944,REBGLO,0.083,0.826,0.091,MRK
-0.9998,REBGLO,0.099,0.822,0.079,MRK
0.9531,REBGLO,0.091,0.804,0.106,MRK
-0.9998,REBGLO,0.109,0.801,0.091,MRK
0.9986,REBGLO,0.038,0.825,0.136,MRK
0.993,REBGLO,0.054,0.834,0.112,MRK
0.999,REBGLO,0.017,0.824,0.159,MRK
