compound,name,negative,neutral,positive,ticker
0.9997,REBGLO,0.036,0.842,0.122,MTC
-0.9977,REBGLO,0.091,0.862,0.047,MTC
0.9977,REBGLO,0.024,0.821,0.155,MTC
1.0,REBGLO,0.054,0.795,0.151,MTC
0.9451,REBGLO,0.015,0.876,0.108,MTC
0.9997,REBGLO,0.042,0.865,0.093,MTC
-0.9847,REBGLO,0.079,0.847,0.073,MTC
0.9992,REBGLO,0.042,0.856,0.102,MTC
0.9963,REBGLO,0.015,0.816,0.169,MTC
-0.9099,REBGLO,0.174,0.799,0.027,MTC
0.8957,REBGLO,0.075,0.824,0.101,MTC
0.3612,REBGLO,0.068,0.816,0.117,MTC
0.5256,REBGLO,0.065,0.839,0.096,MTC
0.9845,REBGLO,0.084,0.825,0.09,MTC
0.9985,REBGLO,0.021,0.892,0.087,MTC
0.9998,REBGLO,0.037,0.865,0.099,MTC
0.9998,REBGLO,0.008,0.721,0.272,MTC
0.768,REBGLO,0.074,0.823,0.103,MTC
-0.2446,REBGLO,0.111,0.765,0.125,MTC
0.9992,REBGLO,0.042,0.857,0.101,MTC
0.9532,REBGLO,0.103,0.763,0.135,MTC
1.0,REBGLO,0.054,0.793,0.153,MTC
-0.9998,REBGLO,0.109,0.801,0.091,MTC
1.0,REBGLO,0.054,0.793,0.153,MTC
0.9944,REBGLO,0.083,0.826,0.091,MTC
0.9944,REBGLO,0.083,0.826,0.091,MTC
0.7117,REBGLO,0.0,0.844,0.156,MTC
-0.9998,REBGLO,0.109,0.801,0.091,MTC
