compound,name,negative,neutral,positive,ticker
0.9996,REBGLO,0.074,0.817,0.109,MTL
0.7518,REBGLO,0.074,0.83,0.097,MTL
1.0,REBGLO,0.014,0.782,0.205,MTL
0.999,REBGLO,0.048,0.837,0.115,MTL
0.9999,REBGLO,0.044,0.829,0.127,MTL
0.8773,REBGLO,0.039,0.866,0.095,MTL
0.7518,REBGLO,0.074,0.83,0.097,MTL
0.9947,REBGLO,0.034,0.876,0.09,MTL
0.9941,REBGLO,0.034,0.878,0.088,MTL
0.9957,REBGLO,0.01,0.88,0.11,MTL
0.9974,REBGLO,0.036,0.843,0.121,MTL
0.9921,REBGLO,0.007,0.927,0.067,MTL
0.9929,REBGLO,0.007,0.926,0.067,MTL
0.9979,REBGLO,0.029,0.775,0.196,MTL
0.9941,REBGLO,0.034,0.878,0.088,MTL
0.9967,REBGLO,0.006,0.843,0.15,MTL
0.9936,REBGLO,0.027,0.815,0.158,MTL
0.9921,REBGLO,0.007,0.926,0.067,MTL
0.948,REBGLO,0.052,0.854,0.094,MTL
0.9947,REBGLO,0.066,0.785,0.149,MTL
0.9931,REBGLO,0.007,0.922,0.071,MTL
0.9036,REBGLO,0.06,0.682,0.258,MTL
0.9979,REBGLO,0.029,0.775,0.196,MTL
0.9984,REBGLO,0.046,0.844,0.109,MTL
-0.848,REBGLO,0.048,0.931,0.021,MTL
0.9941,REBGLO,0.032,0.833,0.136,MTL
0.9942,REBGLO,0.052,0.86,0.088,MTL
0.9781,REBGLO,0.045,0.884,0.071,MTL
0.5573,REBGLO,0.054,0.881,0.065,MTL
0.8453,REBGLO,0.076,0.765,0.16,MTL
0.964,REBGLO,0.08,0.826,0.094,MTL
0.9953,REBGLO,0.055,0.804,0.14,MTL
-0.9994,REBGLO,0.12,0.817,0.063,MTL
0.995,REBGLO,0.002,0.889,0.109,MTL
0.9971,REBGLO,0.032,0.741,0.228,MTL
0.9947,REBGLO,0.002,0.892,0.106,MTL
0.9975,REBGLO,0.042,0.836,0.122,MTL
-0.898,REBGLO,0.061,0.89,0.049,MTL
0.9901,REBGLO,0.09,0.782,0.128,MTL
0.9916,REBGLO,0.069,0.819,0.113,MTL
0.964,REBGLO,0.08,0.826,0.094,MTL
0.9998,REBGLO,0.076,0.755,0.17,MTL
0.9947,REBGLO,0.002,0.892,0.106,MTL
-0.9999,REBGLO,0.12,0.792,0.088,MTL
0.9947,REBGLO,0.002,0.892,0.106,MTL
0.9839,REBGLO,0.004,0.902,0.094,MTL
-0.9565,REBGLO,0.177,0.718,0.105,MTL
0.9208,REBGLO,0.078,0.805,0.118,MTL
0.9153,REBGLO,0.079,0.789,0.132,MTL
0.9997,REBGLO,0.042,0.865,0.093,MTL
0.9996,REBGLO,0.024,0.888,0.089,MTL
0.9738,REBGLO,0.076,0.785,0.139,MTL
0.9901,REBGLO,0.025,0.809,0.166,MTL
0.7518,REBGLO,0.074,0.83,0.097,MTL
0.9269,REBGLO,0.041,0.854,0.105,MTL
0.9989,REBGLO,0.025,0.871,0.104,MTL
0.9895,REBGLO,0.01,0.923,0.068,MTL
0.9891,REBGLO,0.01,0.921,0.069,MTL
0.9891,REBGLO,0.01,0.922,0.068,MTL
0.9997,REBGLO,0.026,0.887,0.087,MTL
0.9898,REBGLO,0.01,0.918,0.071,MTL
0.6705,REBGLO,0.05,0.879,0.071,MTL
0.6705,REBGLO,0.05,0.879,0.071,MTL
0.6705,REBGLO,0.05,0.879,0.071,MTL
0.9944,REBGLO,0.051,0.813,0.136,MTL
0.7506,REBGLO,0.0,0.901,0.099,MTL
0.9995,REBGLO,0.023,0.871,0.106,MTL
0.8929,REBGLO,0.066,0.847,0.087,MTL
0.9499,REBGLO,0.0,0.517,0.483,MTL
0.9947,REBGLO,0.002,0.896,0.102,MTL
0.9986,REBGLO,0.007,0.924,0.069,MTL
0.9169,REBGLO,0.06,0.845,0.095,MTL
0.9892,REBGLO,0.003,0.894,0.103,MTL
0.7695,REBGLO,0.144,0.654,0.201,MTL
0.9499,REBGLO,0.0,0.517,0.483,MTL
0.9337,REBGLO,0.062,0.83,0.107,MTL
0.9931,REBGLO,0.018,0.892,0.09,MTL
-0.9976,REBGLO,0.076,0.888,0.037,MTL
0.9947,REBGLO,0.036,0.852,0.111,MTL
0.9941,REBGLO,0.036,0.854,0.111,MTL
0.964,REBGLO,0.08,0.826,0.094,MTL
0.9941,REBGLO,0.036,0.854,0.111,MTL
0.6808,REBGLO,0.0,0.956,0.044,MTL
0.9733,REBGLO,0.071,0.84,0.089,MTL
0.8807,REBGLO,0.0,0.959,0.041,MTL
0.9509,REBGLO,0.059,0.841,0.1,MTL
0.9921,REBGLO,0.0,0.912,0.088,MTL
-0.5954,REBGLO,0.06,0.882,0.058,MTL
0.9509,REBGLO,0.059,0.841,0.1,MTL
0.9509,REBGLO,0.06,0.839,0.101,MTL
0.9985,REBGLO,0.059,0.794,0.147,MTL
0.9946,REBGLO,0.035,0.872,0.093,MTL
0.9944,REBGLO,0.033,0.875,0.092,MTL
0.2263,REBGLO,0.0,0.993,0.007,MTL
-0.7796,REBGLO,0.06,0.883,0.056,MTL
0.0,REBGLO,0.0,1.0,0.0,MTL
0.9509,REBGLO,0.059,0.841,0.1,MTL
0.9848,REBGLO,0.023,0.87,0.107,MTL
0.9479,REBGLO,0.039,0.856,0.105,MTL
0.9949,REBGLO,0.013,0.856,0.131,MTL
