compound,name,negative,neutral,positive,ticker
0.9976,REBGLO,0.004,0.839,0.157,MVP
0.9987,REBGLO,0.046,0.82,0.134,MVP
0.9976,REBGLO,0.004,0.84,0.156,MVP
0.9862,REBGLO,0.0,0.796,0.204,MVP
0.9444,REBGLO,0.01,0.904,0.086,MVP
0.63,REBGLO,0.086,0.791,0.122,MVP
0.9968,REBGLO,0.009,0.893,0.098,MVP
0.9969,REBGLO,0.009,0.893,0.098,MVP
0.9921,REBGLO,0.007,0.927,0.067,MVP
0.9929,REBGLO,0.007,0.926,0.067,MVP
0.9968,REBGLO,0.009,0.891,0.099,MVP
0.996,REBGLO,0.005,0.902,0.093,MVP
0.9921,REBGLO,0.007,0.926,0.067,MVP
0.9922,REBGLO,0.056,0.845,0.099,MVP
1.0,REBGLO,0.026,0.707,0.267,MVP
0.9851,REBGLO,0.028,0.888,0.084,MVP
0.9956,REBGLO,0.005,0.899,0.095,MVP
0.9978,REBGLO,0.032,0.805,0.162,MVP
0.9931,REBGLO,0.007,0.922,0.071,MVP
0.9887,REBGLO,0.062,0.837,0.101,MVP
0.9984,REBGLO,0.03,0.883,0.087,MVP
0.998,REBGLO,0.024,0.848,0.128,MVP
0.9771,REBGLO,0.073,0.821,0.105,MVP
0.9932,REBGLO,0.028,0.872,0.1,MVP
0.8906,REBGLO,0.022,0.904,0.074,MVP
0.7603,REBGLO,0.005,0.976,0.019,MVP
-0.0772,REBGLO,0.007,0.986,0.006,MVP
0.9241,REBGLO,0.005,0.937,0.058,MVP
0.9955,REBGLO,0.018,0.889,0.093,MVP
0.9924,REBGLO,0.029,0.873,0.099,MVP
1.0,REBGLO,0.054,0.795,0.151,MVP
0.999,REBGLO,0.041,0.842,0.117,MVP
0.9909,REBGLO,0.033,0.827,0.14,MVP
0.8934,REBGLO,0.0,0.888,0.112,MVP
0.9411,REBGLO,0.027,0.86,0.112,MVP
0.8777,REBGLO,0.0,0.925,0.075,MVP
0.9999,REBGLO,0.027,0.794,0.179,MVP
0.9957,REBGLO,0.02,0.897,0.083,MVP
0.9718,REBGLO,0.019,0.893,0.088,MVP
0.9893,REBGLO,0.065,0.818,0.117,MVP
0.9868,REBGLO,0.006,0.802,0.192,MVP
0.9714,REBGLO,0.021,0.894,0.086,MVP
-0.9999,REBGLO,0.115,0.803,0.082,MVP
-0.4767,REBGLO,0.021,0.967,0.011,MVP
0.0772,REBGLO,0.01,0.979,0.011,MVP
0.9655,REBGLO,0.019,0.895,0.086,MVP
0.9993,REBGLO,0.02,0.753,0.227,MVP
-0.9599,REBGLO,0.073,0.909,0.018,MVP
0.6249,REBGLO,0.0,0.87,0.13,MVP
0.9952,REBGLO,0.021,0.897,0.083,MVP
0.9454,REBGLO,0.009,0.978,0.013,MVP
0.9623,REBGLO,0.019,0.898,0.082,MVP
0.9599,REBGLO,0.018,0.864,0.118,MVP
0.9957,REBGLO,0.019,0.904,0.078,MVP
0.9957,REBGLO,0.019,0.902,0.079,MVP
0.996,REBGLO,0.018,0.903,0.079,MVP
0.9898,REBGLO,0.041,0.867,0.092,MVP
0.9993,REBGLO,0.073,0.825,0.102,MVP
0.977,REBGLO,0.044,0.838,0.117,MVP
0.9909,REBGLO,0.007,0.923,0.07,MVP
0.9919,REBGLO,0.007,0.923,0.07,MVP
0.9895,REBGLO,0.01,0.923,0.068,MVP
0.8187,REBGLO,0.084,0.803,0.113,MVP
0.9891,REBGLO,0.01,0.921,0.069,MVP
0.9891,REBGLO,0.01,0.922,0.068,MVP
1.0,REBGLO,0.027,0.824,0.149,MVP
0.9898,REBGLO,0.01,0.918,0.071,MVP
0.9909,REBGLO,0.008,0.916,0.077,MVP
0.9952,REBGLO,0.021,0.892,0.086,MVP
0.9776,REBGLO,0.006,0.924,0.07,MVP
0.996,REBGLO,0.007,0.887,0.106,MVP
0.9954,REBGLO,0.006,0.889,0.105,MVP
0.9784,REBGLO,0.02,0.888,0.092,MVP
0.9423,REBGLO,0.036,0.889,0.076,MVP
0.6444,REBGLO,0.081,0.781,0.138,MVP
0.8119,REBGLO,0.034,0.904,0.062,MVP
0.9963,REBGLO,0.015,0.816,0.169,MVP
0.9986,REBGLO,0.037,0.772,0.19,MVP
0.9884,REBGLO,0.039,0.821,0.141,MVP
0.9707,REBGLO,0.091,0.794,0.115,MVP
0.9909,REBGLO,0.008,0.916,0.077,MVP
0.9924,REBGLO,0.029,0.872,0.099,MVP
1.0,REBGLO,0.025,0.825,0.15,MVP
-0.8809,REBGLO,0.105,0.872,0.023,MVP
0.8957,REBGLO,0.075,0.824,0.101,MVP
-0.8883,REBGLO,0.082,0.849,0.069,MVP
0.9814,REBGLO,0.007,0.905,0.088,MVP
0.9975,REBGLO,0.044,0.775,0.18,MVP
0.9972,REBGLO,0.03,0.805,0.165,MVP
0.9883,REBGLO,0.014,0.888,0.098,MVP
0.9975,REBGLO,0.039,0.784,0.177,MVP
0.9978,REBGLO,0.036,0.816,0.147,MVP
-0.8725,REBGLO,0.078,0.841,0.081,MVP
0.9987,REBGLO,0.034,0.859,0.108,MVP
0.9983,REBGLO,0.007,0.879,0.114,MVP
0.9808,REBGLO,0.022,0.943,0.035,MVP
0.6915,REBGLO,0.101,0.72,0.18,MVP
0.999,REBGLO,0.024,0.824,0.151,MVP
0.9984,REBGLO,0.021,0.859,0.12,MVP
0.9981,REBGLO,0.017,0.869,0.114,MVP
