compound,name,negative,neutral,positive,ticker
0.9891,REBGLO,0.031,0.823,0.146,NVB
0.999,REBGLO,0.048,0.837,0.115,NVB
0.9944,REBGLO,0.024,0.877,0.1,NVB
-1.0,REBGLO,0.089,0.883,0.029,NVB
-0.9999,REBGLO,0.137,0.772,0.091,NVB
1.0,REBGLO,0.026,0.707,0.267,NVB
0.9946,REBGLO,0.024,0.872,0.103,NVB
1.0,REBGLO,0.029,0.825,0.146,NVB
0.9999,REBGLO,0.007,0.813,0.181,NVB
0.9907,REBGLO,0.024,0.919,0.057,NVB
0.9751,REBGLO,0.081,0.821,0.098,NVB
0.9511,REBGLO,0.099,0.798,0.103,NVB
0.9999,REBGLO,0.021,0.881,0.097,NVB
0.9971,REBGLO,0.006,0.941,0.053,NVB
0.9872,REBGLO,0.024,0.884,0.093,NVB
0.885,REBGLO,0.025,0.927,0.048,NVB
0.9808,REBGLO,0.022,0.943,0.035,NVB
0.9845,REBGLO,0.084,0.825,0.09,NVB
0.9997,REBGLO,0.022,0.862,0.116,NVB
0.9999,REBGLO,0.028,0.789,0.183,NVB
0.9869,REBGLO,0.005,0.941,0.054,NVB
0.9996,REBGLO,0.047,0.841,0.112,NVB
1.0,REBGLO,0.025,0.774,0.201,NVB
-0.9954,REBGLO,0.059,0.895,0.046,NVB
0.924,REBGLO,0.002,0.987,0.01,NVB
-0.9998,REBGLO,0.109,0.801,0.091,NVB
0.9954,REBGLO,0.07,0.825,0.105,NVB
0.995,REBGLO,0.065,0.836,0.099,NVB
0.9983,REBGLO,0.052,0.843,0.105,NVB
0.9944,REBGLO,0.083,0.826,0.091,NVB
0.9944,REBGLO,0.083,0.826,0.091,NVB
0.9996,REBGLO,0.004,0.774,0.222,NVB
0.9999,REBGLO,0.024,0.867,0.109,NVB
0.9967,REBGLO,0.067,0.794,0.14,NVB
-0.9998,REBGLO,0.109,0.801,0.091,NVB
