compound,name,negative,neutral,positive,ticker
0.9994,REBGLO,0.009,0.938,0.053,OCN
0.9975,REBGLO,0.05,0.838,0.112,OCN
0.9826,REBGLO,0.011,0.913,0.076,OCN
0.9774,REBGLO,0.02,0.84,0.14,OCN
-0.9636,REBGLO,0.06,0.917,0.023,OCN
0.9984,REBGLO,0.035,0.911,0.054,OCN
0.9531,REBGLO,0.01,0.919,0.07,OCN
-0.7096,REBGLO,0.025,0.969,0.005,OCN
0.9671,REBGLO,0.052,0.851,0.097,OCN
1.0,REBGLO,0.017,0.825,0.158,OCN
-1.0,REBGLO,0.153,0.766,0.081,OCN
1.0,REBGLO,0.065,0.821,0.114,OCN
0.9944,REBGLO,0.023,0.866,0.111,OCN
0.9993,REBGLO,0.04,0.808,0.152,OCN
0.079,REBGLO,0.036,0.927,0.038,OCN
0.0,REBGLO,0.0,1.0,0.0,OCN
0.6428,REBGLO,0.049,0.889,0.061,OCN
0.9985,REBGLO,0.033,0.752,0.214,OCN
0.981,REBGLO,0.02,0.915,0.065,OCN
0.995,REBGLO,0.008,0.784,0.208,OCN
0.9955,REBGLO,0.009,0.889,0.102,OCN
0.9977,REBGLO,0.015,0.875,0.11,OCN
-0.9775,REBGLO,0.121,0.816,0.063,OCN
0.7568,REBGLO,0.019,0.946,0.034,OCN
-1.0,REBGLO,0.089,0.883,0.029,OCN
0.0772,REBGLO,0.021,0.956,0.023,OCN
0.9945,REBGLO,0.015,0.861,0.125,OCN
-0.0516,REBGLO,0.065,0.872,0.063,OCN
0.7297,REBGLO,0.014,0.96,0.026,OCN
-0.5719,REBGLO,0.021,0.973,0.006,OCN
0.9851,REBGLO,0.031,0.902,0.067,OCN
0.9975,REBGLO,0.008,0.831,0.16,OCN
0.9603,REBGLO,0.021,0.843,0.135,OCN
0.9761,REBGLO,0.017,0.848,0.135,OCN
0.9992,REBGLO,0.028,0.734,0.239,OCN
0.9956,REBGLO,0.07,0.761,0.169,OCN
0.7676,REBGLO,0.005,0.989,0.006,OCN
0.9927,REBGLO,0.025,0.879,0.095,OCN
0.9671,REBGLO,0.052,0.851,0.097,OCN
-0.6486,REBGLO,0.034,0.951,0.015,OCN
0.9994,REBGLO,0.024,0.87,0.106,OCN
0.8104,REBGLO,0.046,0.886,0.069,OCN
0.9978,REBGLO,0.03,0.847,0.123,OCN
-0.7964,REBGLO,0.038,0.955,0.007,OCN
-0.2185,REBGLO,0.018,0.971,0.012,OCN
0.903,REBGLO,0.02,0.887,0.093,OCN
0.9997,REBGLO,0.026,0.792,0.182,OCN
0.9941,REBGLO,0.032,0.833,0.136,OCN
0.9781,REBGLO,0.045,0.884,0.071,OCN
0.9729,REBGLO,0.016,0.867,0.117,OCN
-0.3612,REBGLO,0.014,0.979,0.006,OCN
0.9996,REBGLO,0.03,0.838,0.132,OCN
0.9979,REBGLO,0.08,0.7,0.22,OCN
0.9749,REBGLO,0.011,0.84,0.148,OCN
0.5766,REBGLO,0.005,0.981,0.014,OCN
0.995,REBGLO,0.002,0.889,0.109,OCN
0.4648,REBGLO,0.011,0.972,0.018,OCN
0.9947,REBGLO,0.002,0.892,0.106,OCN
0.9964,REBGLO,0.055,0.784,0.161,OCN
-0.7532,REBGLO,0.073,0.899,0.028,OCN
0.9741,REBGLO,0.021,0.9,0.078,OCN
-0.9574,REBGLO,0.104,0.825,0.071,OCN
-0.8332,REBGLO,0.081,0.892,0.027,OCN
0.9817,REBGLO,0.056,0.795,0.149,OCN
0.9921,REBGLO,0.028,0.901,0.071,OCN
0.9955,REBGLO,0.018,0.889,0.093,OCN
0.9979,REBGLO,0.005,0.978,0.017,OCN
0.4767,REBGLO,0.01,0.973,0.017,OCN
0.9955,REBGLO,0.024,0.837,0.14,OCN
0.975,REBGLO,0.017,0.904,0.079,OCN
0.9881,REBGLO,0.113,0.761,0.127,OCN
0.9936,REBGLO,0.0,0.842,0.158,OCN
0.9918,REBGLO,0.028,0.902,0.071,OCN
0.9998,REBGLO,0.076,0.755,0.17,OCN
0.5766,REBGLO,0.005,0.982,0.013,OCN
0.0772,REBGLO,0.018,0.962,0.02,OCN
0.9923,REBGLO,0.004,0.916,0.08,OCN
0.9825,REBGLO,0.0,0.807,0.193,OCN
0.8777,REBGLO,0.0,0.925,0.075,OCN
0.5331,REBGLO,0.071,0.853,0.076,OCN
-0.2465,REBGLO,0.034,0.922,0.043,OCN
0.9947,REBGLO,0.002,0.892,0.106,OCN
0.9994,REBGLO,0.009,0.935,0.056,OCN
0.9876,REBGLO,0.048,0.893,0.059,OCN
0.9503,REBGLO,0.028,0.872,0.1,OCN
0.9952,REBGLO,0.007,0.908,0.085,OCN
0.9947,REBGLO,0.011,0.844,0.145,OCN
0.9879,REBGLO,0.0,0.775,0.225,OCN
0.9718,REBGLO,0.019,0.893,0.088,OCN
0.9714,REBGLO,0.021,0.894,0.086,OCN
0.9954,REBGLO,0.019,0.876,0.105,OCN
-0.9999,REBGLO,0.106,0.813,0.082,OCN
0.9947,REBGLO,0.002,0.892,0.106,OCN
-0.2263,REBGLO,0.016,0.973,0.011,OCN
-0.2278,REBGLO,0.005,0.992,0.004,OCN
0.0772,REBGLO,0.012,0.975,0.013,OCN
-0.4878,REBGLO,0.005,0.991,0.004,OCN
0.4767,REBGLO,0.01,0.973,0.017,OCN
0.34,REBGLO,0.015,0.965,0.02,OCN
0.3612,REBGLO,0.005,0.984,0.011,OCN
