compound,name,negative,neutral,positive,ticker
0.9855,REBGLO,0.053,0.758,0.189,OMG
0.9996,REBGLO,0.074,0.817,0.109,OMG
0.9418,REBGLO,0.0,0.88,0.12,OMG
0.7919,REBGLO,0.073,0.744,0.182,OMG
0.9038,REBGLO,0.019,0.903,0.078,OMG
0.9162,REBGLO,0.044,0.848,0.108,OMG
0.7885,REBGLO,0.066,0.807,0.127,OMG
0.7912,REBGLO,0.061,0.813,0.126,OMG
0.8041,REBGLO,0.1,0.785,0.114,OMG
0.9875,REBGLO,0.009,0.887,0.104,OMG
0.4874,REBGLO,0.049,0.887,0.064,OMG
0.5424,REBGLO,0.074,0.844,0.082,OMG
0.9524,REBGLO,0.019,0.897,0.084,OMG
0.9311,REBGLO,0.004,0.93,0.066,OMG
0.9669,REBGLO,0.0,0.863,0.137,OMG
0.9945,REBGLO,0.026,0.886,0.087,OMG
-0.6144,REBGLO,0.061,0.885,0.054,OMG
0.9882,REBGLO,0.015,0.89,0.095,OMG
0.6553,REBGLO,0.0,0.984,0.016,OMG
0.9776,REBGLO,0.013,0.875,0.111,OMG
0.9552,REBGLO,0.033,0.871,0.095,OMG
0.9977,REBGLO,0.0,0.806,0.194,OMG
0.9949,REBGLO,0.0,0.838,0.162,OMG
0.9994,REBGLO,0.009,0.938,0.053,OMG
0.9902,REBGLO,0.006,0.866,0.129,OMG
0.9971,REBGLO,0.015,0.895,0.089,OMG
0.9996,REBGLO,0.04,0.761,0.199,OMG
0.9987,REBGLO,0.046,0.82,0.134,OMG
0.9979,REBGLO,0.0,0.807,0.193,OMG
0.9949,REBGLO,0.034,0.888,0.078,OMG
0.9991,REBGLO,0.049,0.824,0.127,OMG
0.0,REBGLO,0.0,1.0,0.0,OMG
0.9789,REBGLO,0.007,0.89,0.103,OMG
0.8971,REBGLO,0.063,0.799,0.139,OMG
-0.866,REBGLO,0.163,0.718,0.119,OMG
0.4588,REBGLO,0.067,0.833,0.101,OMG
0.296,REBGLO,0.049,0.857,0.094,OMG
0.9662,REBGLO,0.037,0.881,0.082,OMG
0.9893,REBGLO,0.016,0.913,0.071,OMG
0.8442,REBGLO,0.096,0.784,0.12,OMG
-0.8273,REBGLO,0.067,0.893,0.039,OMG
0.5267,REBGLO,0.053,0.819,0.128,OMG
0.5719,REBGLO,0.0,0.954,0.046,OMG
0.9816,REBGLO,0.016,0.867,0.118,OMG
0.4871,REBGLO,0.0,0.982,0.018,OMG
-0.0498,REBGLO,0.023,0.961,0.016,OMG
0.999,REBGLO,0.042,0.855,0.102,OMG
0.7717,REBGLO,0.0,0.974,0.026,OMG
0.9444,REBGLO,0.01,0.904,0.086,OMG
0.7806,REBGLO,0.063,0.85,0.087,OMG
-0.8107,REBGLO,0.074,0.883,0.043,OMG
0.846,REBGLO,0.022,0.909,0.069,OMG
0.8485,REBGLO,0.073,0.801,0.125,OMG
0.9732,REBGLO,0.005,0.889,0.106,OMG
0.9992,REBGLO,0.044,0.814,0.142,OMG
0.6588,REBGLO,0.087,0.812,0.101,OMG
0.9896,REBGLO,0.014,0.866,0.12,OMG
0.9992,REBGLO,0.041,0.827,0.131,OMG
0.9891,REBGLO,0.031,0.823,0.146,OMG
0.968,REBGLO,0.054,0.849,0.097,OMG
0.9695,REBGLO,0.08,0.75,0.171,OMG
0.9874,REBGLO,0.053,0.761,0.186,OMG
0.7269,REBGLO,0.035,0.903,0.063,OMG
1.0,REBGLO,0.014,0.782,0.205,OMG
1.0,REBGLO,0.017,0.825,0.158,OMG
0.9998,REBGLO,0.024,0.86,0.117,OMG
0.8957,REBGLO,0.0,0.782,0.218,OMG
0.9923,REBGLO,0.043,0.859,0.098,OMG
0.999,REBGLO,0.048,0.837,0.115,OMG
0.9997,REBGLO,0.027,0.861,0.113,OMG
-1.0,REBGLO,0.153,0.766,0.081,OMG
0.9968,REBGLO,0.027,0.902,0.071,OMG
-0.5984,REBGLO,0.117,0.842,0.041,OMG
0.9997,REBGLO,0.021,0.851,0.128,OMG
0.9999,REBGLO,0.015,0.856,0.128,OMG
0.9984,REBGLO,0.042,0.86,0.098,OMG
1.0,REBGLO,0.053,0.852,0.094,OMG
1.0,REBGLO,0.065,0.821,0.114,OMG
0.9999,REBGLO,0.044,0.829,0.127,OMG
0.9992,REBGLO,0.035,0.866,0.099,OMG
0.9899,REBGLO,0.038,0.81,0.152,OMG
0.9911,REBGLO,0.033,0.888,0.079,OMG
0.9944,REBGLO,0.024,0.877,0.1,OMG
0.9864,REBGLO,0.03,0.899,0.071,OMG
0.9831,REBGLO,0.025,0.89,0.085,OMG
0.9863,REBGLO,0.091,0.76,0.149,OMG
0.9864,REBGLO,0.029,0.901,0.069,OMG
0.9538,REBGLO,0.017,0.93,0.053,OMG
0.998,REBGLO,0.022,0.821,0.157,OMG
0.9996,REBGLO,0.007,0.853,0.139,OMG
0.9996,REBGLO,0.007,0.853,0.139,OMG
0.997,REBGLO,0.003,0.875,0.122,OMG
0.9538,REBGLO,0.017,0.93,0.053,OMG
0.998,REBGLO,0.022,0.822,0.157,OMG
-0.4737,REBGLO,0.038,0.921,0.04,OMG
0.7262,REBGLO,0.079,0.808,0.113,OMG
0.9317,REBGLO,0.0,0.921,0.079,OMG
0.6633,REBGLO,0.079,0.837,0.084,OMG
0.6991,REBGLO,0.122,0.719,0.159,OMG
0.9667,REBGLO,0.008,0.877,0.115,OMG
