compound,name,negative,neutral,positive,ticker
0.9994,REBGLO,0.074,0.777,0.149,OSA
-1.0,REBGLO,0.089,0.883,0.029,OSA
0.9754,REBGLO,0.0,0.835,0.165,OSA
0.3134,REBGLO,0.032,0.938,0.031,OSA
0.8885,REBGLO,0.015,0.93,0.056,OSA
-0.9999,REBGLO,0.12,0.792,0.088,OSA
-0.9847,REBGLO,0.079,0.847,0.073,OSA
0.6369,REBGLO,0.0,0.949,0.051,OSA
-0.9973,REBGLO,0.039,0.949,0.013,OSA
0.9995,REBGLO,0.057,0.812,0.131,OSA
0.8885,REBGLO,0.02,0.954,0.027,OSA
0.9119,REBGLO,0.036,0.917,0.046,OSA
0.8058,REBGLO,0.049,0.872,0.079,OSA
-0.9964,REBGLO,0.098,0.806,0.095,OSA
-0.9964,REBGLO,0.098,0.806,0.095,OSA
0.914,REBGLO,0.001,0.993,0.006,OSA
0.9999,REBGLO,0.031,0.881,0.088,OSA
0.7802,REBGLO,0.014,0.968,0.018,OSA
-0.0329,REBGLO,0.113,0.767,0.121,OSA
-0.9954,REBGLO,0.059,0.895,0.046,OSA
0.8074,REBGLO,0.012,0.936,0.052,OSA
-0.2023,REBGLO,0.007,0.987,0.005,OSA
0.7145,REBGLO,0.07,0.837,0.093,OSA
0.0,REBGLO,0.0,1.0,0.0,OSA
1.0,REBGLO,0.054,0.793,0.153,OSA
0.9615,REBGLO,0.018,0.923,0.059,OSA
-0.9998,REBGLO,0.109,0.801,0.091,OSA
1.0,REBGLO,0.054,0.793,0.153,OSA
-0.8779,REBGLO,0.084,0.845,0.071,OSA
-0.9998,REBGLO,0.109,0.801,0.091,OSA
0.9999,REBGLO,0.03,0.82,0.15,OSA
-0.8687,REBGLO,0.033,0.967,0.0,OSA
