compound,name,negative,neutral,positive,ticker
0.9984,REBGLO,0.03,0.883,0.087,PAT
0.9979,REBGLO,0.005,0.978,0.017,PAT
1.0,REBGLO,0.054,0.795,0.151,PAT
0.9881,REBGLO,0.113,0.761,0.127,PAT
0.9986,REBGLO,0.007,0.835,0.158,PAT
0.9975,REBGLO,0.097,0.79,0.112,PAT
-0.9999,REBGLO,0.106,0.813,0.082,PAT
0.9931,REBGLO,0.069,0.822,0.109,PAT
0.9981,REBGLO,0.015,0.95,0.035,PAT
0.9947,REBGLO,0.035,0.9,0.065,PAT
-0.9434,REBGLO,0.025,0.961,0.014,PAT
0.9531,REBGLO,0.081,0.82,0.099,PAT
0.9785,REBGLO,0.025,0.944,0.031,PAT
-0.9832,REBGLO,0.093,0.872,0.036,PAT
-0.9576,REBGLO,0.117,0.836,0.048,PAT
-0.9631,REBGLO,0.112,0.849,0.04,PAT
-0.9984,REBGLO,0.133,0.756,0.111,PAT
-0.9998,REBGLO,0.099,0.822,0.079,PAT
0.9671,REBGLO,0.026,0.89,0.084,PAT
0.9895,REBGLO,0.033,0.81,0.157,PAT
-0.9998,REBGLO,0.099,0.822,0.079,PAT
0.9994,REBGLO,0.075,0.839,0.085,PAT
0.9997,REBGLO,0.052,0.778,0.17,PAT
0.9999,REBGLO,0.024,0.867,0.109,PAT
-0.5178,REBGLO,0.092,0.836,0.072,PAT
