compound,name,negative,neutral,positive,ticker
0.9972,REBGLO,0.022,0.895,0.083,PAY
0.9996,REBGLO,0.074,0.817,0.109,PAY
0.9038,REBGLO,0.019,0.903,0.078,PAY
-0.5667,REBGLO,0.068,0.916,0.016,PAY
0.8041,REBGLO,0.1,0.785,0.114,PAY
0.9974,REBGLO,0.005,0.837,0.158,PAY
0.5424,REBGLO,0.074,0.844,0.082,PAY
-0.9994,REBGLO,0.194,0.742,0.064,PAY
0.997,REBGLO,0.079,0.799,0.121,PAY
0.9968,REBGLO,0.03,0.842,0.129,PAY
0.9996,REBGLO,0.04,0.761,0.199,PAY
0.9975,REBGLO,0.05,0.838,0.112,PAY
0.997,REBGLO,0.079,0.799,0.121,PAY
0.9949,REBGLO,0.034,0.888,0.078,PAY
0.9022,REBGLO,0.015,0.805,0.18,PAY
0.9826,REBGLO,0.011,0.913,0.076,PAY
0.6826,REBGLO,0.081,0.812,0.107,PAY
0.7518,REBGLO,0.074,0.83,0.097,PAY
0.8976,REBGLO,0.051,0.86,0.089,PAY
-0.9216,REBGLO,0.071,0.904,0.025,PAY
0.0516,REBGLO,0.046,0.895,0.059,PAY
0.9992,REBGLO,0.044,0.814,0.142,PAY
0.9992,REBGLO,0.041,0.827,0.131,PAY
0.968,REBGLO,0.054,0.849,0.097,PAY
0.9695,REBGLO,0.08,0.75,0.171,PAY
1.0,REBGLO,0.014,0.782,0.205,PAY
1.0,REBGLO,0.017,0.825,0.158,PAY
0.9998,REBGLO,0.024,0.86,0.117,PAY
0.999,REBGLO,0.048,0.837,0.115,PAY
0.9997,REBGLO,0.027,0.861,0.113,PAY
-1.0,REBGLO,0.153,0.766,0.081,PAY
0.9968,REBGLO,0.027,0.902,0.071,PAY
0.9997,REBGLO,0.021,0.851,0.128,PAY
0.9993,REBGLO,0.021,0.886,0.092,PAY
0.9984,REBGLO,0.042,0.86,0.098,PAY
1.0,REBGLO,0.053,0.852,0.094,PAY
1.0,REBGLO,0.065,0.821,0.114,PAY
0.9999,REBGLO,0.044,0.829,0.127,PAY
0.9992,REBGLO,0.035,0.866,0.099,PAY
0.9944,REBGLO,0.024,0.877,0.1,PAY
0.9686,REBGLO,0.039,0.758,0.203,PAY
0.9996,REBGLO,0.007,0.853,0.139,PAY
0.9996,REBGLO,0.007,0.853,0.139,PAY
0.9768,REBGLO,0.016,0.846,0.138,PAY
0.6108,REBGLO,0.055,0.838,0.108,PAY
0.6633,REBGLO,0.079,0.837,0.084,PAY
0.9991,REBGLO,0.028,0.806,0.166,PAY
0.9578,REBGLO,0.017,0.858,0.125,PAY
0.9818,REBGLO,0.019,0.935,0.046,PAY
0.7518,REBGLO,0.074,0.83,0.097,PAY
0.9635,REBGLO,0.074,0.767,0.158,PAY
0.6428,REBGLO,0.049,0.889,0.061,PAY
0.9588,REBGLO,0.037,0.821,0.142,PAY
0.5424,REBGLO,0.074,0.844,0.082,PAY
0.9977,REBGLO,0.021,0.813,0.166,PAY
0.981,REBGLO,0.02,0.915,0.065,PAY
0.9963,REBGLO,0.034,0.863,0.103,PAY
-0.8464,REBGLO,0.075,0.874,0.051,PAY
0.9955,REBGLO,0.009,0.889,0.102,PAY
0.9977,REBGLO,0.015,0.875,0.11,PAY
-0.5379,REBGLO,0.116,0.839,0.045,PAY
0.9992,REBGLO,0.029,0.852,0.119,PAY
-0.9829,REBGLO,0.095,0.869,0.036,PAY
0.7709,REBGLO,0.059,0.87,0.071,PAY
0.9837,REBGLO,0.034,0.876,0.09,PAY
0.5267,REBGLO,0.018,0.921,0.061,PAY
-0.9912,REBGLO,0.18,0.723,0.097,PAY
-1.0,REBGLO,0.089,0.883,0.029,PAY
0.7845,REBGLO,0.088,0.752,0.16,PAY
-0.9993,REBGLO,0.188,0.747,0.066,PAY
0.9988,REBGLO,0.046,0.831,0.123,PAY
-0.8201,REBGLO,0.089,0.849,0.062,PAY
0.9948,REBGLO,0.043,0.846,0.111,PAY
-0.1592,REBGLO,0.062,0.87,0.068,PAY
0.9154,REBGLO,0.051,0.871,0.078,PAY
0.7479,REBGLO,0.045,0.882,0.073,PAY
0.967,REBGLO,0.032,0.825,0.143,PAY
0.9577,REBGLO,0.042,0.885,0.072,PAY
0.9971,REBGLO,0.027,0.815,0.157,PAY
0.9341,REBGLO,0.023,0.86,0.117,PAY
0.9994,REBGLO,0.02,0.825,0.155,PAY
0.9967,REBGLO,0.006,0.843,0.15,PAY
0.604,REBGLO,0.026,0.91,0.064,PAY
0.9266,REBGLO,0.048,0.861,0.09,PAY
0.997,REBGLO,0.004,0.827,0.168,PAY
0.9964,REBGLO,0.036,0.764,0.2,PAY
0.9946,REBGLO,0.055,0.794,0.151,PAY
0.9982,REBGLO,0.027,0.866,0.108,PAY
-0.9999,REBGLO,0.137,0.772,0.091,PAY
-0.5395,REBGLO,0.025,0.957,0.017,PAY
0.9975,REBGLO,0.008,0.831,0.16,PAY
-0.4939,REBGLO,0.021,0.969,0.011,PAY
0.9088,REBGLO,0.048,0.876,0.075,PAY
0.9944,REBGLO,0.005,0.82,0.175,PAY
0.9922,REBGLO,0.056,0.845,0.099,PAY
0.9438,REBGLO,0.032,0.87,0.098,PAY
0.9956,REBGLO,0.07,0.761,0.169,PAY
-0.9642,REBGLO,0.127,0.766,0.107,PAY
-0.9717,REBGLO,0.09,0.875,0.034,PAY
0.9978,REBGLO,0.032,0.805,0.162,PAY
