compound,name,negative,neutral,positive,ticker
0.9977,REBGLO,0.0,0.806,0.194,PEF
0.9979,REBGLO,0.0,0.807,0.193,PEF
0.9995,REBGLO,0.009,0.89,0.101,PEF
1.0,REBGLO,0.065,0.821,0.114,PEF
0.9977,REBGLO,0.0,0.804,0.196,PEF
0.0,REBGLO,0.061,0.872,0.066,PEF
0.9816,REBGLO,0.005,0.919,0.077,PEF
0.9974,REBGLO,0.036,0.843,0.121,PEF
0.9977,REBGLO,0.015,0.875,0.11,PEF
0.9765,REBGLO,0.004,0.982,0.014,PEF
0.9746,REBGLO,0.004,0.984,0.012,PEF
0.9984,REBGLO,0.039,0.784,0.177,PEF
0.9968,REBGLO,0.009,0.893,0.098,PEF
0.9969,REBGLO,0.009,0.893,0.098,PEF
0.9921,REBGLO,0.007,0.927,0.067,PEF
0.9929,REBGLO,0.007,0.926,0.067,PEF
0.9968,REBGLO,0.009,0.891,0.099,PEF
0.9936,REBGLO,0.027,0.815,0.158,PEF
0.997,REBGLO,0.004,0.827,0.168,PEF
0.996,REBGLO,0.005,0.902,0.093,PEF
0.9376,REBGLO,0.041,0.881,0.078,PEF
0.9921,REBGLO,0.007,0.926,0.067,PEF
0.9956,REBGLO,0.005,0.899,0.095,PEF
-0.9992,REBGLO,0.139,0.767,0.094,PEF
0.9753,REBGLO,0.01,0.87,0.119,PEF
0.9989,REBGLO,0.026,0.762,0.212,PEF
0.9788,REBGLO,0.009,0.872,0.119,PEF
0.9808,REBGLO,0.041,0.862,0.097,PEF
0.9753,REBGLO,0.089,0.778,0.133,PEF
0.997,REBGLO,0.004,0.827,0.168,PEF
0.8104,REBGLO,0.046,0.886,0.069,PEF
0.9931,REBGLO,0.007,0.922,0.071,PEF
0.9984,REBGLO,0.046,0.844,0.109,PEF
0.9994,REBGLO,0.022,0.855,0.123,PEF
0.9997,REBGLO,0.036,0.842,0.122,PEF
0.9942,REBGLO,0.052,0.86,0.088,PEF
0.9781,REBGLO,0.045,0.884,0.071,PEF
0.964,REBGLO,0.08,0.826,0.094,PEF
0.915,REBGLO,0.044,0.827,0.128,PEF
0.9994,REBGLO,0.027,0.86,0.113,PEF
0.998,REBGLO,0.089,0.752,0.16,PEF
0.9945,REBGLO,0.044,0.844,0.112,PEF
0.9867,REBGLO,0.031,0.897,0.072,PEF
-0.9997,REBGLO,0.064,0.897,0.038,PEF
0.9979,REBGLO,0.005,0.978,0.017,PEF
0.9901,REBGLO,0.09,0.782,0.128,PEF
0.9916,REBGLO,0.069,0.819,0.113,PEF
0.964,REBGLO,0.08,0.826,0.094,PEF
-0.3911,REBGLO,0.057,0.892,0.051,PEF
0.9626,REBGLO,0.032,0.814,0.155,PEF
0.9543,REBGLO,0.017,0.822,0.161,PEF
0.9628,REBGLO,0.014,0.826,0.16,PEF
0.9933,REBGLO,0.04,0.872,0.088,PEF
0.9933,REBGLO,0.04,0.872,0.088,PEF
0.9872,REBGLO,0.084,0.808,0.108,PEF
-0.9842,REBGLO,0.112,0.816,0.072,PEF
0.9957,REBGLO,0.02,0.897,0.083,PEF
0.8481,REBGLO,0.048,0.868,0.084,PEF
0.9511,REBGLO,0.099,0.798,0.103,PEF
0.9565,REBGLO,0.008,0.886,0.107,PEF
0.9975,REBGLO,0.097,0.79,0.112,PEF
-0.9999,REBGLO,0.106,0.813,0.082,PEF
0.9716,REBGLO,0.024,0.885,0.091,PEF
0.9664,REBGLO,0.004,0.983,0.012,PEF
0.9995,REBGLO,0.041,0.867,0.091,PEF
1.0,REBGLO,0.049,0.857,0.094,PEF
0.9208,REBGLO,0.078,0.805,0.118,PEF
0.9839,REBGLO,0.025,0.89,0.086,PEF
0.9965,REBGLO,0.026,0.881,0.093,PEF
0.9952,REBGLO,0.021,0.897,0.083,PEF
0.9991,REBGLO,0.015,0.775,0.21,PEF
0.9957,REBGLO,0.019,0.904,0.078,PEF
0.9957,REBGLO,0.019,0.902,0.079,PEF
0.996,REBGLO,0.018,0.903,0.079,PEF
0.9514,REBGLO,0.0,0.891,0.109,PEF
0.8883,REBGLO,0.031,0.894,0.075,PEF
0.9909,REBGLO,0.007,0.923,0.07,PEF
0.9919,REBGLO,0.007,0.923,0.07,PEF
0.9895,REBGLO,0.01,0.923,0.068,PEF
0.9998,REBGLO,0.03,0.804,0.166,PEF
0.9891,REBGLO,0.01,0.921,0.069,PEF
0.9891,REBGLO,0.01,0.922,0.068,PEF
0.994,REBGLO,0.005,0.975,0.02,PEF
0.912,REBGLO,0.029,0.899,0.072,PEF
0.9898,REBGLO,0.01,0.918,0.071,PEF
0.9909,REBGLO,0.008,0.916,0.077,PEF
0.9952,REBGLO,0.021,0.892,0.086,PEF
0.9776,REBGLO,0.006,0.924,0.07,PEF
0.996,REBGLO,0.007,0.887,0.106,PEF
0.9954,REBGLO,0.006,0.889,0.105,PEF
0.765,REBGLO,0.0,0.78,0.22,PEF
0.9944,REBGLO,0.051,0.813,0.136,PEF
0.9334,REBGLO,0.019,0.923,0.058,PEF
0.9735,REBGLO,0.006,0.922,0.073,PEF
0.9756,REBGLO,0.01,0.912,0.078,PEF
0.9815,REBGLO,0.015,0.923,0.062,PEF
0.9986,REBGLO,0.053,0.662,0.285,PEF
0.92,REBGLO,0.038,0.895,0.067,PEF
0.9721,REBGLO,0.105,0.736,0.159,PEF
0.9921,REBGLO,0.0,0.886,0.114,PEF
