compound,name,negative,neutral,positive,ticker
0.9984,REBGLO,0.035,0.911,0.054,PERL
0.0,REBGLO,0.0,1.0,0.0,PERL
-1.0,REBGLO,0.089,0.883,0.029,PERL
0.354,REBGLO,0.071,0.85,0.079,PERL
0.9989,REBGLO,0.007,0.76,0.233,PERL
-0.9312,REBGLO,0.037,0.941,0.022,PERL
0.9994,REBGLO,0.009,0.935,0.056,PERL
0.9985,REBGLO,0.009,0.952,0.039,PERL
0.9993,REBGLO,0.028,0.754,0.217,PERL
0.9992,REBGLO,0.024,0.765,0.211,PERL
0.9993,REBGLO,0.029,0.754,0.218,PERL
0.9982,REBGLO,0.012,0.948,0.04,PERL
0.999,REBGLO,0.02,0.897,0.083,PERL
0.9993,REBGLO,0.023,0.766,0.211,PERL
0.9992,REBGLO,0.024,0.765,0.211,PERL
0.9904,REBGLO,0.029,0.896,0.076,PERL
