compound,name,negative,neutral,positive,ticker
0.9984,REBGLO,0.035,0.911,0.054,PING
0.3127,REBGLO,0.058,0.874,0.068,PING
0.6705,REBGLO,0.0,0.933,0.067,PING
-0.9987,REBGLO,0.07,0.879,0.05,PING
-0.9986,REBGLO,0.071,0.881,0.048,PING
-0.9981,REBGLO,0.071,0.88,0.049,PING
-0.999,REBGLO,0.072,0.878,0.05,PING
-0.9979,REBGLO,0.067,0.886,0.047,PING
-0.9856,REBGLO,0.139,0.782,0.079,PING
-0.998,REBGLO,0.069,0.883,0.048,PING
-0.9986,REBGLO,0.066,0.885,0.048,PING
-0.9827,REBGLO,0.111,0.806,0.084,PING
1.0,REBGLO,0.054,0.795,0.151,PING
-0.6531,REBGLO,0.072,0.891,0.037,PING
0.9994,REBGLO,0.009,0.935,0.056,PING
0.9985,REBGLO,0.009,0.952,0.039,PING
-0.9965,REBGLO,0.08,0.866,0.054,PING
-0.997,REBGLO,0.078,0.866,0.057,PING
0.4404,REBGLO,0.048,0.896,0.056,PING
0.9957,REBGLO,0.064,0.736,0.201,PING
0.8868,REBGLO,0.015,0.95,0.036,PING
-0.6597,REBGLO,0.048,0.952,0.0,PING
1.0,REBGLO,0.023,0.834,0.143,PING
1.0,REBGLO,0.016,0.818,0.166,PING
-0.8725,REBGLO,0.078,0.841,0.081,PING
0.7802,REBGLO,0.014,0.968,0.018,PING
0.9925,REBGLO,0.024,0.9,0.077,PING
0.9985,REBGLO,0.021,0.892,0.087,PING
-0.6531,REBGLO,0.072,0.891,0.037,PING
0.9839,REBGLO,0.011,0.892,0.097,PING
0.9995,REBGLO,0.048,0.844,0.108,PING
0.8705,REBGLO,0.02,0.908,0.072,PING
-0.8751,REBGLO,0.046,0.918,0.035,PING
-0.9433,REBGLO,0.203,0.664,0.133,PING
0.7017,REBGLO,0.0,0.917,0.083,PING
0.9565,REBGLO,0.093,0.725,0.182,PING
0.9979,REBGLO,0.015,0.893,0.092,PING
-0.9576,REBGLO,0.117,0.836,0.048,PING
-0.9631,REBGLO,0.112,0.849,0.04,PING
-0.9916,REBGLO,0.105,0.802,0.094,PING
-0.9888,REBGLO,0.098,0.807,0.095,PING
0.9898,REBGLO,0.063,0.793,0.144,PING
0.9919,REBGLO,0.008,0.902,0.091,PING
0.9822,REBGLO,0.041,0.844,0.115,PING
0.9874,REBGLO,0.008,0.911,0.081,PING
0.9763,REBGLO,0.019,0.92,0.061,PING
0.9936,REBGLO,0.066,0.844,0.089,PING
0.9982,REBGLO,0.014,0.865,0.121,PING
0.9978,REBGLO,0.023,0.83,0.147,PING
0.9954,REBGLO,0.023,0.89,0.087,PING
0.9999,REBGLO,0.021,0.867,0.112,PING
