compound,name,negative,neutral,positive,ticker
0.9944,REBGLO,0.005,0.82,0.175,PITCH
0.9992,REBGLO,0.019,0.806,0.175,PITCH
-0.6501,REBGLO,0.06,0.892,0.049,PITCH
0.9997,REBGLO,0.036,0.842,0.122,PITCH
0.0,REBGLO,0.0,1.0,0.0,PITCH
0.9914,REBGLO,0.008,0.913,0.078,PITCH
0.9992,REBGLO,0.019,0.806,0.175,PITCH
0.9996,REBGLO,0.028,0.789,0.182,PITCH
0.9827,REBGLO,0.024,0.892,0.084,PITCH
0.9747,REBGLO,0.053,0.827,0.12,PITCH
0.8518,REBGLO,0.106,0.752,0.141,PITCH
0.9993,REBGLO,0.034,0.778,0.188,PITCH
0.9991,REBGLO,0.027,0.79,0.183,PITCH
0.9991,REBGLO,0.028,0.787,0.185,PITCH
0.9991,REBGLO,0.027,0.793,0.18,PITCH
0.9779,REBGLO,0.023,0.894,0.083,PITCH
0.9991,REBGLO,0.03,0.791,0.179,PITCH
0.8387,REBGLO,0.091,0.794,0.115,PITCH
0.9983,REBGLO,0.007,0.879,0.114,PITCH
-0.5954,REBGLO,0.06,0.882,0.058,PITCH
-0.7796,REBGLO,0.06,0.883,0.056,PITCH
0.9989,REBGLO,0.051,0.807,0.142,PITCH
0.9995,REBGLO,0.048,0.844,0.108,PITCH
0.9974,REBGLO,0.028,0.864,0.109,PITCH
-0.384,REBGLO,0.213,0.621,0.165,PITCH
0.9422,REBGLO,0.0,0.865,0.135,PITCH
0.995,REBGLO,0.025,0.841,0.133,PITCH
1.0,REBGLO,0.054,0.793,0.153,PITCH
-0.9998,REBGLO,0.099,0.822,0.079,PITCH
1.0,REBGLO,0.054,0.793,0.153,PITCH
-0.9998,REBGLO,0.099,0.822,0.079,PITCH
0.9999,REBGLO,0.024,0.867,0.109,PITCH
0.993,REBGLO,0.054,0.834,0.112,PITCH
0.5346,REBGLO,0.048,0.897,0.054,PITCH
0.9921,REBGLO,0.014,0.87,0.116,PITCH
