compound,name,negative,neutral,positive,ticker
0.354,REBGLO,0.071,0.85,0.079,PLA
-0.7964,REBGLO,0.025,0.971,0.004,PLA
0.4648,REBGLO,0.011,0.972,0.018,PLA
-0.0772,REBGLO,0.007,0.986,0.006,PLA
0.0516,REBGLO,0.007,0.981,0.011,PLA
-0.4767,REBGLO,0.021,0.968,0.011,PLA
0.0772,REBGLO,0.011,0.978,0.011,PLA
0.996,REBGLO,0.017,0.819,0.164,PLA
-0.0772,REBGLO,0.007,0.986,0.006,PLA
0.9967,REBGLO,0.015,0.815,0.171,PLA
0.9958,REBGLO,0.017,0.818,0.164,PLA
-0.7096,REBGLO,0.021,0.974,0.005,PLA
-0.2185,REBGLO,0.019,0.968,0.013,PLA
-0.9893,REBGLO,0.099,0.807,0.094,PLA
-0.0943,REBGLO,0.025,0.955,0.02,PLA
-0.4708,REBGLO,0.025,0.961,0.014,PLA
-0.9893,REBGLO,0.099,0.807,0.094,PLA
0.6705,REBGLO,0.0,0.703,0.297,PLA
