compound,name,negative,neutral,positive,ticker
-0.9792,REBGLO,0.105,0.839,0.056,POLL
0.9976,REBGLO,0.004,0.839,0.157,POLL
0.9976,REBGLO,0.004,0.84,0.156,POLL
0.9862,REBGLO,0.0,0.796,0.204,POLL
-0.9895,REBGLO,0.01,0.987,0.003,POLL
-0.9999,REBGLO,0.137,0.772,0.091,POLL
1.0,REBGLO,0.026,0.707,0.267,POLL
0.7676,REBGLO,0.005,0.989,0.006,POLL
0.9907,REBGLO,0.024,0.919,0.057,POLL
0.9979,REBGLO,0.005,0.978,0.017,POLL
0.9905,REBGLO,0.007,0.86,0.133,POLL
0.9254,REBGLO,0.062,0.839,0.099,POLL
0.9254,REBGLO,0.062,0.838,0.099,POLL
0.9254,REBGLO,0.062,0.839,0.099,POLL
-0.9999,REBGLO,0.12,0.792,0.088,POLL
-0.7195,REBGLO,0.062,0.904,0.034,POLL
0.9999,REBGLO,0.021,0.881,0.097,POLL
-0.2278,REBGLO,0.005,0.992,0.004,POLL
-0.4878,REBGLO,0.005,0.991,0.004,POLL
0.5719,REBGLO,0.0,0.992,0.008,POLL
0.9993,REBGLO,0.073,0.825,0.102,POLL
0.9866,REBGLO,0.052,0.842,0.106,POLL
0.9254,REBGLO,0.058,0.85,0.092,POLL
-0.9031,REBGLO,0.072,0.895,0.032,POLL
0.3407,REBGLO,0.085,0.82,0.095,POLL
0.9217,REBGLO,0.051,0.754,0.196,POLL
-0.3063,REBGLO,0.05,0.905,0.045,POLL
0.9563,REBGLO,0.036,0.835,0.129,POLL
0.9999,REBGLO,0.031,0.881,0.088,POLL
0.9914,REBGLO,0.038,0.873,0.089,POLL
0.9999,REBGLO,0.028,0.789,0.183,POLL
-0.136,REBGLO,0.047,0.911,0.042,POLL
-0.9538,REBGLO,0.006,0.993,0.001,POLL
-0.9954,REBGLO,0.059,0.895,0.046,POLL
0.9959,REBGLO,0.05,0.85,0.1,POLL
0.5542,REBGLO,0.04,0.896,0.064,POLL
0.9971,REBGLO,0.039,0.826,0.135,POLL
-0.9266,REBGLO,0.064,0.919,0.017,POLL
-0.9265,REBGLO,0.079,0.873,0.048,POLL
0.9945,REBGLO,0.0,0.987,0.013,POLL
0.5542,REBGLO,0.04,0.896,0.064,POLL
0.9996,REBGLO,0.004,0.774,0.222,POLL
-0.8932,REBGLO,0.022,0.956,0.022,POLL
0.69,REBGLO,0.048,0.889,0.063,POLL
0.9832,REBGLO,0.049,0.886,0.064,POLL
-0.9989,REBGLO,0.054,0.944,0.001,POLL
-0.6244,REBGLO,0.051,0.912,0.038,POLL
