compound,name,negative,neutral,positive,ticker
0.9874,REBGLO,0.053,0.761,0.186,PON
0.9954,REBGLO,0.036,0.821,0.143,PON
0.9989,REBGLO,0.036,0.813,0.151,PON
0.9989,REBGLO,0.036,0.811,0.154,PON
0.9989,REBGLO,0.036,0.813,0.152,PON
0.9655,REBGLO,0.023,0.855,0.123,PON
0.9989,REBGLO,0.037,0.813,0.149,PON
0.9989,REBGLO,0.036,0.813,0.152,PON
-0.8636,REBGLO,0.119,0.803,0.078,PON
0.9989,REBGLO,0.035,0.813,0.152,PON
0.6527,REBGLO,0.044,0.883,0.073,PON
0.997,REBGLO,0.022,0.826,0.153,PON
0.9989,REBGLO,0.035,0.816,0.149,PON
0.8934,REBGLO,0.048,0.882,0.07,PON
0.9956,REBGLO,0.041,0.846,0.113,PON
0.8151,REBGLO,0.052,0.881,0.068,PON
0.9971,REBGLO,0.045,0.865,0.091,PON
0.9658,REBGLO,0.032,0.891,0.077,PON
0.9994,REBGLO,0.075,0.839,0.085,PON
0.9986,REBGLO,0.029,0.818,0.153,PON
