compound,name,negative,neutral,positive,ticker
-0.6486,REBGLO,0.072,0.88,0.048,PPT
-0.3506,REBGLO,0.051,0.908,0.04,PPT
-0.6486,REBGLO,0.071,0.882,0.047,PPT
-0.6486,REBGLO,0.07,0.883,0.047,PPT
-0.6962,REBGLO,0.103,0.79,0.107,PPT
-0.8555,REBGLO,0.078,0.882,0.041,PPT
-0.6486,REBGLO,0.075,0.876,0.05,PPT
0.9238,REBGLO,0.017,0.914,0.069,PPT
0.9786,REBGLO,0.004,0.91,0.086,PPT
0.9938,REBGLO,0.009,0.878,0.113,PPT
0.9815,REBGLO,0.015,0.923,0.062,PPT
0.9971,REBGLO,0.006,0.941,0.053,PPT
0.9999,REBGLO,0.032,0.843,0.125,PPT
0.9862,REBGLO,0.041,0.862,0.097,PPT
0.9862,REBGLO,0.041,0.862,0.097,PPT
0.2957,REBGLO,0.034,0.925,0.042,PPT
0.9229,REBGLO,0.055,0.86,0.085,PPT
0.9995,REBGLO,0.057,0.812,0.131,PPT
0.992,REBGLO,0.012,0.886,0.102,PPT
0.9977,REBGLO,0.064,0.794,0.142,PPT
-0.3506,REBGLO,0.064,0.886,0.05,PPT
0.9378,REBGLO,0.01,0.968,0.022,PPT
0.9954,REBGLO,0.07,0.825,0.105,PPT
0.995,REBGLO,0.065,0.836,0.099,PPT
0.7862,REBGLO,0.0,0.997,0.003,PPT
