compound,name,negative,neutral,positive,ticker
0.9996,REBGLO,0.074,0.817,0.109,PROFF
0.5424,REBGLO,0.074,0.844,0.082,PROFF
0.9991,REBGLO,0.049,0.824,0.127,PROFF
0.9997,REBGLO,0.021,0.851,0.128,PROFF
0.998,REBGLO,0.022,0.821,0.157,PROFF
0.998,REBGLO,0.022,0.822,0.157,PROFF
0.5424,REBGLO,0.074,0.844,0.082,PROFF
0.9982,REBGLO,0.035,0.811,0.155,PROFF
0.9978,REBGLO,0.057,0.819,0.124,PROFF
0.9978,REBGLO,0.058,0.817,0.125,PROFF
0.9921,REBGLO,0.012,0.861,0.127,PROFF
0.9851,REBGLO,0.031,0.902,0.067,PROFF
0.9946,REBGLO,0.055,0.794,0.151,PROFF
0.9982,REBGLO,0.027,0.866,0.108,PROFF
1.0,REBGLO,0.026,0.707,0.267,PROFF
0.9851,REBGLO,0.028,0.888,0.084,PROFF
0.9978,REBGLO,0.056,0.822,0.122,PROFF
-0.9992,REBGLO,0.139,0.767,0.094,PROFF
0.9977,REBGLO,0.058,0.819,0.123,PROFF
0.9978,REBGLO,0.056,0.822,0.122,PROFF
0.9992,REBGLO,0.037,0.843,0.12,PROFF
0.9991,REBGLO,0.038,0.84,0.122,PROFF
0.9935,REBGLO,0.037,0.866,0.097,PROFF
0.7332,REBGLO,0.069,0.852,0.078,PROFF
1.0,REBGLO,0.029,0.825,0.146,PROFF
0.9647,REBGLO,0.011,0.904,0.085,PROFF
0.9978,REBGLO,0.056,0.821,0.123,PROFF
0.9995,REBGLO,0.075,0.812,0.113,PROFF
-0.9538,REBGLO,0.154,0.715,0.131,PROFF
0.9978,REBGLO,0.03,0.847,0.123,PROFF
0.9979,REBGLO,0.023,0.86,0.117,PROFF
0.9732,REBGLO,0.057,0.834,0.108,PROFF
0.9968,REBGLO,0.062,0.813,0.126,PROFF
0.9964,REBGLO,0.061,0.829,0.11,PROFF
-0.722,REBGLO,0.089,0.824,0.086,PROFF
0.9512,REBGLO,0.062,0.802,0.136,PROFF
0.9983,REBGLO,0.034,0.813,0.153,PROFF
0.9917,REBGLO,0.069,0.815,0.116,PROFF
0.9973,REBGLO,0.024,0.866,0.11,PROFF
0.9921,REBGLO,0.028,0.901,0.071,PROFF
1.0,REBGLO,0.054,0.795,0.151,PROFF
0.9881,REBGLO,0.113,0.761,0.127,PROFF
0.9984,REBGLO,0.034,0.809,0.157,PROFF
0.9918,REBGLO,0.028,0.902,0.071,PROFF
0.3384,REBGLO,0.108,0.758,0.134,PROFF
0.9751,REBGLO,0.081,0.821,0.098,PROFF
0.7259,REBGLO,0.061,0.844,0.095,PROFF
0.9883,REBGLO,0.108,0.703,0.189,PROFF
0.9671,REBGLO,0.019,0.91,0.071,PROFF
0.9989,REBGLO,0.046,0.833,0.121,PROFF
0.9982,REBGLO,0.011,0.902,0.088,PROFF
0.1578,REBGLO,0.06,0.87,0.07,PROFF
0.9982,REBGLO,0.011,0.902,0.088,PROFF
0.5331,REBGLO,0.071,0.853,0.076,PROFF
0.9598,REBGLO,0.049,0.796,0.155,PROFF
-0.2465,REBGLO,0.034,0.922,0.043,PROFF
0.8872,REBGLO,0.063,0.861,0.076,PROFF
0.9999,REBGLO,0.013,0.845,0.141,PROFF
0.9945,REBGLO,0.043,0.88,0.077,PROFF
0.9982,REBGLO,0.067,0.854,0.079,PROFF
0.9998,REBGLO,0.056,0.849,0.095,PROFF
0.9933,REBGLO,0.04,0.872,0.088,PROFF
-0.6553,REBGLO,0.177,0.709,0.115,PROFF
0.8934,REBGLO,0.051,0.877,0.071,PROFF
0.8934,REBGLO,0.051,0.878,0.071,PROFF
0.9933,REBGLO,0.04,0.872,0.088,PROFF
-0.9999,REBGLO,0.12,0.792,0.088,PROFF
0.9968,REBGLO,0.062,0.813,0.126,PROFF
0.9213,REBGLO,0.056,0.835,0.109,PROFF
0.9894,REBGLO,0.041,0.863,0.096,PROFF
0.6527,REBGLO,0.044,0.883,0.073,PROFF
-0.9517,REBGLO,0.098,0.813,0.089,PROFF
-0.4588,REBGLO,0.14,0.766,0.095,PROFF
0.2023,REBGLO,0.098,0.759,0.142,PROFF
-0.9999,REBGLO,0.106,0.813,0.082,PROFF
-0.9999,REBGLO,0.139,0.774,0.086,PROFF
0.9998,REBGLO,0.058,0.823,0.119,PROFF
0.9945,REBGLO,0.043,0.88,0.077,PROFF
0.9945,REBGLO,0.043,0.88,0.077,PROFF
1.0,REBGLO,0.049,0.857,0.094,PROFF
-0.9451,REBGLO,0.098,0.812,0.09,PROFF
-0.9661,REBGLO,0.1,0.813,0.087,PROFF
-0.9678,REBGLO,0.097,0.818,0.085,PROFF
0.6871,REBGLO,0.057,0.798,0.145,PROFF
0.9995,REBGLO,0.0,0.829,0.171,PROFF
-0.9886,REBGLO,0.153,0.769,0.078,PROFF
0.9947,REBGLO,0.03,0.835,0.135,PROFF
